subject_id	object_id	predicate_id	mapping_justification
bigg.compartment:c	GO:0005829	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:e	GO:0005615	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:f	GO:0005929	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:g	GO:0005794	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:h	GO:0009507	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:im	GO:0005758	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:l	GO:0005764	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:m	GO:0005739	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:mm	GO:0005743	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:n	GO:0005634	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:p	GO:0042597	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:r	GO:0005783	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:s	GO:1990413	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:u	GO:0009579	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:um	GO:0042651	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:v	GO:0005773	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:x	GO:0005777	skos:exactMatch	semapv:UnspecifiedMatching
bigg.compartment:y	GO:0070069	skos:exactMatch	semapv:UnspecifiedMatching
