identifier	name	definition	synonyms	alts	parents	species
c	cytosol					
cm	cytosolic membrane					
cx	carboxyzome					
e	extracellular space					
f	flagellum					
g	golgi apparatus					
h	chloroplast					
i	inner mitochondrial compartment					
im	intermembrane space of mitochondria					
l	lysosome					
m	mitochondria					
mm	mitochondrial intermembrane					
n	nucleus					
p	periplasm					
r	endoplasmic reticulum					
s	eyespot					
u	thylakoid					
um	thylakoid membrane					
v	vacuole					
w	wildtype staph aureus					
x	peroxisome/glyoxysome					
y	cytochrome complex					
