text	curie	name	predicate	source
10-Formyltetrahydrofolate	bigg.metabolite:10fthf	10-Formyltetrahydrofolate	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolate	bigg.metabolite:10fthf	10-Formyltetrahydrofolate	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolate	bigg.metabolite:10fthf	10-Formyltetrahydrofolate	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolate	bigg.metabolite:10fthf	10-Formyltetrahydrofolate	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolate	bigg.metabolite:10fthf	10-Formyltetrahydrofolate	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolate	bigg.metabolite:10fthf	10-Formyltetrahydrofolate	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](5)	bigg.metabolite:10fthf5glu	10-formyltetrahydrofolate-[Glu](5)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](5)	bigg.metabolite:10fthf5glu	10-formyltetrahydrofolate-[Glu](5)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](5)	bigg.metabolite:10fthf5glu	10-formyltetrahydrofolate-[Glu](5)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](5)	bigg.metabolite:10fthf5glu	10-formyltetrahydrofolate-[Glu](5)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](6)	bigg.metabolite:10fthf6glu	10-formyltetrahydrofolate-[Glu](6)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](6)	bigg.metabolite:10fthf6glu	10-formyltetrahydrofolate-[Glu](6)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](6)	bigg.metabolite:10fthf6glu	10-formyltetrahydrofolate-[Glu](6)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](6)	bigg.metabolite:10fthf6glu	10-formyltetrahydrofolate-[Glu](6)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](7)	bigg.metabolite:10fthf7glu	10-formyltetrahydrofolate-[Glu](7)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](7)	bigg.metabolite:10fthf7glu	10-formyltetrahydrofolate-[Glu](7)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](7)	bigg.metabolite:10fthf7glu	10-formyltetrahydrofolate-[Glu](7)	rdfs:label	bigg.metabolite
10-formyltetrahydrofolate-[Glu](7)	bigg.metabolite:10fthf7glu	10-formyltetrahydrofolate-[Glu](7)	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolyl L-glutamate	bigg.metabolite:10fthfglu__L	10-Formyltetrahydrofolyl L-glutamate	rdfs:label	bigg.metabolite
10-Formyltetrahydrofolyl L-glutamate	bigg.metabolite:10fthfglu__L	10-Formyltetrahydrofolyl L-glutamate	rdfs:label	bigg.metabolite
10-methyl-3-oxo-undecanoyl-ACP	bigg.metabolite:10m3ouACP	10-methyl-3-oxo-undecanoyl-ACP	rdfs:label	bigg.metabolite
10-methyl-3-hydroxy-undecanoyl-ACP	bigg.metabolite:10m3uACP	10-methyl-3-hydroxy-undecanoyl-ACP	rdfs:label	bigg.metabolite
10-methyl-dodecanoyl-ACP	bigg.metabolite:10mdACP	10-methyl-dodecanoyl-ACP	rdfs:label	bigg.metabolite
10-methyl-trans-dodec-2-enoyl-ACP	bigg.metabolite:10mtd2eACP	10-methyl-trans-dodec-2-enoyl-ACP	rdfs:label	bigg.metabolite
10-methyl-trans-undec-2-enoyl-ACP	bigg.metabolite:10mtu2eACP	10-methyl-trans-undec-2-enoyl-ACP	rdfs:label	bigg.metabolite
