identifier	name	definition	synonyms	alts	parents	species
10fthf	10-Formyltetrahydrofolate			bigg.metabolite:10fthf_e		
10fthf	10-Formyltetrahydrofolate			bigg.metabolite:10fthf_c|bigg.metabolite:_10fthf_c		
10fthf	10-Formyltetrahydrofolate			bigg.metabolite:10fthf_x		
10fthf	10-Formyltetrahydrofolate			bigg.metabolite:10fthf_m		
10fthf	10-Formyltetrahydrofolate			bigg.metabolite:10fthf_l		
10fthf	10-Formyltetrahydrofolate			bigg.metabolite:10fthf_h		
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)			bigg.metabolite:10fthf5glu_l		
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)			bigg.metabolite:10fthf5glu_m		
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)			bigg.metabolite:10fthf5glu_c		
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)			bigg.metabolite:10fthf5glu_e		
10fthf6glu	10-formyltetrahydrofolate-[Glu](6)			bigg.metabolite:10fthf6glu_e		
10fthf6glu	10-formyltetrahydrofolate-[Glu](6)			bigg.metabolite:10fthf6glu_l		
10fthf6glu	10-formyltetrahydrofolate-[Glu](6)			bigg.metabolite:10fthf6glu_m		
10fthf6glu	10-formyltetrahydrofolate-[Glu](6)			bigg.metabolite:10fthf6glu_c		
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)			bigg.metabolite:10fthf7glu_e		
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)			bigg.metabolite:10fthf7glu_c		
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)			bigg.metabolite:10fthf7glu_l		
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)			bigg.metabolite:10fthf7glu_m		
10fthfglu__L	10-Formyltetrahydrofolyl L-glutamate			bigg.metabolite:10fthfglu_DASH_L_m|bigg.metabolite:10fthfglu__L_m		
10fthfglu__L	10-Formyltetrahydrofolyl L-glutamate			bigg.metabolite:10fthfglu_DASH_L_c|bigg.metabolite:10fthfglu__L_c		
10m3ouACP	10-methyl-3-oxo-undecanoyl-ACP			bigg.metabolite:10m3ouACP_c		
10m3uACP	10-methyl-3-hydroxy-undecanoyl-ACP			bigg.metabolite:10m3uACP_c		
10mdACP	10-methyl-dodecanoyl-ACP			bigg.metabolite:10mdACP_c		
10mtd2eACP	10-methyl-trans-dodec-2-enoyl-ACP			bigg.metabolite:10mtd2eACP_c		
10mtu2eACP	10-methyl-trans-undec-2-enoyl-ACP			bigg.metabolite:10mtu2eACP_c		
10muACP	10-methyl-undecanoyl-ACP			bigg.metabolite:10muACP_c		
11_cis_retfa	Fatty acid 11-cis-retinol			bigg.metabolite:11_DASH_cis_DASH_retfa_c|bigg.metabolite:11__cis__retfa_c|bigg.metabolite:11_cis_retfa_c		
11_cis_retfa	Fatty acid 11-cis-retinol			bigg.metabolite:11_DASH_cis_DASH_retfa_e|bigg.metabolite:11__cis__retfa_e|bigg.metabolite:11_cis_retfa_e		
11docrtsl	11docrtsl c			bigg.metabolite:11docrtsl_m		
11docrtsl	11docrtsl c			bigg.metabolite:11docrtsl_c		
11docrtsl	11docrtsl c			bigg.metabolite:11docrtsl_r		
11docrtsl	11docrtsl c			bigg.metabolite:11docrtsl_e		
11docrtstrn	11-Deoxycorticosterone			bigg.metabolite:11docrtstrn_e		
11docrtstrn	11-Deoxycorticosterone			bigg.metabolite:11docrtstrn_c		
11docrtstrn	11-Deoxycorticosterone			bigg.metabolite:11docrtstrn_r		
11docrtstrn	11-Deoxycorticosterone			bigg.metabolite:11docrtstrn_m		
11m3hdACP	11-methyl-3-hydroxy-dodecanoyl-ACP			bigg.metabolite:11m3hdACP_c		
11m3odACP	11-methyl-3-oxo-dodecanoyl-ACP			bigg.metabolite:11m3odACP_c		
11mdACP	11-methyl-dodecanoyl-ACP			bigg.metabolite:11mdACP_c		
11mtdeACP	11-methyl-trans-dodec-2-enoyl-ACP			bigg.metabolite:11mtdeACP_c		
123oxtACP	12-methyl-3-oxo-tetra-decanoyl-ACP			bigg.metabolite:123oxtACP_c		
12HPET	12-Hydroperoxyeicosa-5,8,10,14-tetraenoate			bigg.metabolite:12HPET_n		
