identifier	name	definition	synonyms	alts	parents	species
RECON1						ncbitaxon:9606
Recon3D						ncbitaxon:9606
STM_v1_0						ncbitaxon:99287
e_coli_core						ncbitaxon:511145
iAB_RBC_283						ncbitaxon:9606
iAF1260						ncbitaxon:511145
iAF1260b						ncbitaxon:511145
iAF692						ncbitaxon:269797
iAF987						ncbitaxon:269799
iAM_Pb448						ncbitaxon:5821
iAM_Pc455						ncbitaxon:1120755
iAM_Pf480						ncbitaxon:36329
iAM_Pk459						ncbitaxon:5851
iAM_Pv461						ncbitaxon:126793
iAPECO1_1312						ncbitaxon:405955
iAT_PLT_636						ncbitaxon:9606
iB21_1397						ncbitaxon:469008
iBWG_1329						ncbitaxon:595496
iCHOv1						ncbitaxon:10029
iCHOv1_DG44						ncbitaxon:10029
iCN718						ncbitaxon:509173
iCN900						ncbitaxon:272563
iE2348C_1286						ncbitaxon:574521
iEC042_1314						ncbitaxon:216592
iEC1344_C						ncbitaxon:498388
iEC1349_Crooks						ncbitaxon:481805
iEC1356_Bl21DE3						ncbitaxon:469008
iEC1364_W						ncbitaxon:566546
iEC1368_DH5a						ncbitaxon:668369
iEC1372_W3110						ncbitaxon:316407
iEC55989_1330						ncbitaxon:585055
iECABU_c1320						ncbitaxon:655817
iECBD_1354						ncbitaxon:866768
iECB_1328						ncbitaxon:413997
iECDH10B_1368						ncbitaxon:316385
iECDH1ME8569_1439						ncbitaxon:536056
iECD_1391						ncbitaxon:469008
iECED1_1282						ncbitaxon:585397
iECH74115_1262						ncbitaxon:444450
iECIAI1_1343						ncbitaxon:585034
iECIAI39_1322						ncbitaxon:585057
iECNA114_1301						ncbitaxon:1033813
iECO103_1326						ncbitaxon:585395
iECO111_1330						ncbitaxon:585396
iECO26_1355						ncbitaxon:573235
iECOK1_1307						ncbitaxon:714962
iECP_1309						ncbitaxon:362663
iECS88_1305						ncbitaxon:585035
iECSE_1348						ncbitaxon:409438
iECSF_1327						ncbitaxon:431946
iECSP_1301						ncbitaxon:544404
iECUMN_1333						ncbitaxon:585056
iECW_1372						ncbitaxon:566546
iECs_1301						ncbitaxon:386585
iEK1008						ncbitaxon:83332
iEKO11_1354						ncbitaxon:595495
iETEC_1333						ncbitaxon:316401
iEcDH1_1363						ncbitaxon:536056
iEcE24377_1341						ncbitaxon:331111
iEcHS_1320						ncbitaxon:331112
iEcSMS35_1347						ncbitaxon:439855
iEcolC_1368						ncbitaxon:481805
iG2583_1286						ncbitaxon:701177
iHN637						ncbitaxon:748727
iIS312						ncbitaxon:1416333
iIS312_Amastigote						ncbitaxon:1416333
iIS312_Epimastigote						ncbitaxon:1416333
iIS312_Trypomastigote						ncbitaxon:1416333
iIT341						ncbitaxon:85962
iJB785						
iJN1463						ncbitaxon:160488
iJN678						ncbitaxon:1148
iJN746						ncbitaxon:160488
iJO1366						ncbitaxon:511145
iJR904						ncbitaxon:511145
iLB1027_lipid						ncbitaxon:556484
iLF82_1304						ncbitaxon:591946
iLJ478						ncbitaxon:243274
iML1515						ncbitaxon:511145
iMM1415						ncbitaxon:10090
iMM904						ncbitaxon:559292
iND750						ncbitaxon:559292
iNF517						
iNJ661						ncbitaxon:83332
iNRG857_1313						ncbitaxon:685038
iPC815						ncbitaxon:214092
iRC1080						ncbitaxon:3055
iSB619						ncbitaxon:158879
iSBO_1134						ncbitaxon:300268
iSDY_1059						ncbitaxon:300267
iSFV_1184						ncbitaxon:373384
iSF_1195						ncbitaxon:198214
iSFxv_1172						ncbitaxon:591020
iSSON_1240						ncbitaxon:300269
iS_1188						ncbitaxon:198215
iSbBS512_1146						ncbitaxon:344609
iSynCJ816						ncbitaxon:1148
iUMN146_1321						ncbitaxon:869729
iUMNK88_1353						ncbitaxon:696406
iUTI89_1310						ncbitaxon:364106
iWFL_1372						ncbitaxon:566546
iY75_1357						ncbitaxon:316407
iYL1228						ncbitaxon:272620
iYO844						ncbitaxon:224308
iYS1720						
iYS854						ncbitaxon:451516
iZ_1308						ncbitaxon:155864
ic_1306						ncbitaxon:199310
