text	curie	name	predicate	source
5-glutamyl-10FTHF transport, lysosomal	bigg.reaction:10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal	rdfs:label	bigg.reaction
5-glutamyl-10FTHF transport, mitochondrial	bigg.reaction:10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial	rdfs:label	bigg.reaction
6-glutamyl-10FTHF transport, lysosomal	bigg.reaction:10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal	rdfs:label	bigg.reaction
6-glutamyl-10FTHF transport, mitochondrial	bigg.reaction:10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial	rdfs:label	bigg.reaction
7-glutamyl-10FTHF transport, lysosomal	bigg.reaction:10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal	rdfs:label	bigg.reaction
7-glutamyl-10FTHF transport, mitochondrial	bigg.reaction:10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial	rdfs:label	bigg.reaction
10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	bigg.reaction:10FTHFGLULL	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	rdfs:label	bigg.reaction
10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	bigg.reaction:10FTHFGLULLm	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	rdfs:label	bigg.reaction
10-Formyltetrahydrofolateapicoplast transport	bigg.reaction:10FTHFtc	10-Formyltetrahydrofolateapicoplast transport	rdfs:label	bigg.reaction
10-Formyltetrahydrofolate lysosomal transport via diffusion	bigg.reaction:10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion	rdfs:label	bigg.reaction
10-Formyltetrahydrofolate mitochondrial transport via diffusion	bigg.reaction:10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion	rdfs:label	bigg.reaction
10-Formyltetrahydrofolate glyoxysomal transport via diffusion	bigg.reaction:10FTHFtx	10-Formyltetrahydrofolate glyoxysomal transport via diffusion	rdfs:label	bigg.reaction
10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase 	bigg.reaction:10M3HDHL	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase 	rdfs:label	bigg.reaction
10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase 	bigg.reaction:10M3OACPO	10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase 	rdfs:label	bigg.reaction
10-methyl-3-oxo-undecanoyl-ACP NADP oxidoreductase 	bigg.reaction:10M3OUO	10-methyl-3-oxo-undecanoyl-ACP NADP oxidoreductase 	rdfs:label	bigg.reaction
