identifier	name	definition	synonyms	alts	parents	species
10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal	10fthf5glu_c <-> 10fthf5glu_l				
10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial	10fthf5glu_m <-> 10fthf5glu_c				
10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal	10fthf6glu_c <-> 10fthf6glu_l				
10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial	10fthf6glu_m <-> 10fthf6glu_c				
10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal	10fthf7glu_c <-> 10fthf7glu_l				
10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial	10fthf7glu_m <-> 10fthf7glu_c				
10FTHFGLULL	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	10fthf_c + atp_c + glu__L_c <-> 10fthfglu__L_c + adp_c + pi_c				
10FTHFGLULLm	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	10fthf_m + atp_m + glu__L_m <-> 10fthfglu__L_m + adp_m + pi_m				
10FTHFtc	10-Formyltetrahydrofolateapicoplast transport	10fthf_c <-> 10fthf_h				
10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion	10fthf_c <-> 10fthf_l				
10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion	10fthf_c <-> 10fthf_m				
10FTHFtx	10-Formyltetrahydrofolate glyoxysomal transport via diffusion	10fthf_c <-> 10fthf_x				
10M3HDHL	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase 	10m3uACP_c <-> 10mtu2eACP_c + h2o_c				
10M3OACPO	10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase 	3oddecACP_c + h_c + nadph_c <-> 3hoddecACP_c + nadp_c				
10M3OUO	10-methyl-3-oxo-undecanoyl-ACP NADP oxidoreductase 	10m3ouACP_c + h_c + nadph_c <-> 10m3uACP_c + nadp_c				
10MDOD	10-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating 	10mdACP_c + h_c + malACP_c <-> 123oxtACP_c + ACP_c + co2_c				
10MTDAO	10-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific 	10mtd2eACP_c + h_c + nadph_c <-> 10mdACP_c + nadp_c				
10MTU2A	10-methyl-trans-undec-2-enoyl-ACP NAD oxidoreductase A-specific 	10mtu2eACP_c + h_c + nadph_c <-> 10muACP_c + nadp_c				
