text	curie	name	predicate	source
1321N1	ccle:1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1	rdfs:label	ccle
143B	ccle:143B_BONE	143B	rdfs:label	ccle
22Rv1	ccle:22RV1_PROSTATE	22Rv1	rdfs:label	ccle
23132/87	ccle:2313287_STOMACH	23132/87	rdfs:label	ccle
253J-BV	ccle:253JBV_URINARY_TRACT	253J-BV	rdfs:label	ccle
253J	ccle:253J_URINARY_TRACT	253J	rdfs:label	ccle
42-MG-BA	ccle:42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA	rdfs:label	ccle
5637	ccle:5637_URINARY_TRACT	5637	rdfs:label	ccle
59M	ccle:59M_OVARY	59M	rdfs:label	ccle
639-V	ccle:639V_URINARY_TRACT	639-V	rdfs:label	ccle
647-V	ccle:647V_URINARY_TRACT	647-V	rdfs:label	ccle
697	ccle:697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	rdfs:label	ccle
769-P	ccle:769P_KIDNEY	769-P	rdfs:label	ccle
786-O	ccle:786O_KIDNEY	786-O	rdfs:label	ccle
8305C	ccle:8305C_THYROID	8305C	rdfs:label	ccle
8505C	ccle:8505C_THYROID	8505C	rdfs:label	ccle
8-MG-BA	ccle:8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA	rdfs:label	ccle
A101D	ccle:A101D_SKIN	A101D	rdfs:label	ccle
A1207	ccle:A1207_CENTRAL_NERVOUS_SYSTEM	A1207	rdfs:label	ccle
A172	ccle:A172_CENTRAL_NERVOUS_SYSTEM	A172	rdfs:label	ccle
A-204	ccle:A204_SOFT_TISSUE	A-204	rdfs:label	ccle
A2058	ccle:A2058_SKIN	A2058	rdfs:label	ccle
A-253	ccle:A253_SALIVARY_GLAND	A-253	rdfs:label	ccle
A2780	ccle:A2780_OVARY	A2780	rdfs:label	ccle
A-375	ccle:A375_SKIN	A-375	rdfs:label	ccle
A3/KAW	ccle:A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW	rdfs:label	ccle
A-498	ccle:A498_KIDNEY	A-498	rdfs:label	ccle
A4/Fuk	ccle:A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk	rdfs:label	ccle
A549	ccle:A549_LUNG	A549	rdfs:label	ccle
A-673	ccle:A673_BONE	A-673	rdfs:label	ccle
A-704	ccle:A704_KIDNEY	A-704	rdfs:label	ccle
ABC-1	ccle:ABC1_LUNG	ABC-1	rdfs:label	ccle
ACC-MESO-1	ccle:ACCMESO1_PLEURA	ACC-MESO-1	rdfs:label	ccle
ACCS	ccle:ACCS_URINARY_TRACT	ACCS	rdfs:label	ccle
ACHN	ccle:ACHN_KIDNEY	ACHN	rdfs:label	ccle
AGS	ccle:AGS_STOMACH	AGS	rdfs:label	ccle
ALL-SIL	ccle:ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL	rdfs:label	ccle
AM-38	ccle:AM38_CENTRAL_NERVOUS_SYSTEM	AM-38	rdfs:label	ccle
AML-193	ccle:AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193	rdfs:label	ccle
AMO-1	ccle:AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	rdfs:label	ccle
AN3 CA	ccle:AN3CA_ENDOMETRIUM	AN3 CA	rdfs:label	ccle
AsPC-1	ccle:ASPC1_PANCREAS	AsPC-1	rdfs:label	ccle
AU565	ccle:AU565_BREAST	AU565	rdfs:label	ccle
AZ-521	ccle:AZ521_SMALL_INTESTINE	AZ-521	rdfs:label	ccle
BC-3C	ccle:BC3C_URINARY_TRACT	BC-3C	rdfs:label	ccle
BCP-1	ccle:BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1	rdfs:label	ccle
B-CPAP	ccle:BCPAP_THYROID	B-CPAP	rdfs:label	ccle
BDCM	ccle:BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	rdfs:label	ccle
Becker	ccle:BECKER_CENTRAL_NERVOUS_SYSTEM	Becker	rdfs:label	ccle
BEN	ccle:BEN_LUNG	BEN	rdfs:label	ccle
BFTC-905	ccle:BFTC905_URINARY_TRACT	BFTC-905	rdfs:label	ccle
BFTC-909	ccle:BFTC909_KIDNEY	BFTC-909	rdfs:label	ccle
BGC-823	ccle:BGC823_STOMACH	BGC-823	rdfs:label	ccle
BHT-101	ccle:BHT101_THYROID	BHT-101	rdfs:label	ccle
BHY	ccle:BHY_UPPER_AERODIGESTIVE_TRACT	BHY	rdfs:label	ccle
BICR 16	ccle:BICR16_UPPER_AERODIGESTIVE_TRACT	BICR 16	rdfs:label	ccle
BICR 18	ccle:BICR18_UPPER_AERODIGESTIVE_TRACT	BICR 18	rdfs:label	ccle
BICR 22	ccle:BICR22_UPPER_AERODIGESTIVE_TRACT	BICR 22	rdfs:label	ccle
BICR 31	ccle:BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31	rdfs:label	ccle
BICR 56	ccle:BICR56_UPPER_AERODIGESTIVE_TRACT	BICR 56	rdfs:label	ccle
BICR 6	ccle:BICR6_UPPER_AERODIGESTIVE_TRACT	BICR 6	rdfs:label	ccle
BJ hTERT	ccle:BJHTERT_SKIN	BJ hTERT	rdfs:label	ccle
BL-41	ccle:BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41	rdfs:label	ccle
BL-70	ccle:BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	rdfs:label	ccle
BT-20	ccle:BT20_BREAST	BT-20	rdfs:label	ccle
BT-474	ccle:BT474_BREAST	BT-474	rdfs:label	ccle
BT-483	ccle:BT483_BREAST	BT-483	rdfs:label	ccle
BT-549	ccle:BT549_BREAST	BT-549	rdfs:label	ccle
BV-173	ccle:BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV-173	rdfs:label	ccle
BxPC-3	ccle:BXPC3_PANCREAS	BxPC-3	rdfs:label	ccle
C2BBe1	ccle:C2BBE1_LARGE_INTESTINE	C2BBe1	rdfs:label	ccle
C32	ccle:C32_SKIN	C32	rdfs:label	ccle
C3A	ccle:C3A_LIVER	C3A	rdfs:label	ccle
CA46	ccle:CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46	rdfs:label	ccle
CADO-ES1	ccle:CADOES1_BONE	CADO-ES1	rdfs:label	ccle
Caki-1	ccle:CAKI1_KIDNEY	Caki-1	rdfs:label	ccle
Caki-2	ccle:CAKI2_KIDNEY	Caki-2	rdfs:label	ccle
CAL-120	ccle:CAL120_BREAST	CAL-120	rdfs:label	ccle
CAL-12T	ccle:CAL12T_LUNG	CAL-12T	rdfs:label	ccle
CAL-148	ccle:CAL148_BREAST	CAL-148	rdfs:label	ccle
CAL 27	ccle:CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27	rdfs:label	ccle
CAL-29	ccle:CAL29_URINARY_TRACT	CAL-29	rdfs:label	ccle
CAL-33	ccle:CAL33_UPPER_AERODIGESTIVE_TRACT	CAL-33	rdfs:label	ccle
CAL-51	ccle:CAL51_BREAST	CAL-51	rdfs:label	ccle
CAL-54	ccle:CAL54_KIDNEY	CAL-54	rdfs:label	ccle
CAL-62	ccle:CAL62_THYROID	CAL-62	rdfs:label	ccle
CAL-78	ccle:CAL78_BONE	CAL-78	rdfs:label	ccle
CAL-85-1	ccle:CAL851_BREAST	CAL-85-1	rdfs:label	ccle
Calu-1	ccle:CALU1_LUNG	Calu-1	rdfs:label	ccle
Calu-3	ccle:CALU3_LUNG	Calu-3	rdfs:label	ccle
Calu-6	ccle:CALU6_LUNG	Calu-6	rdfs:label	ccle
CAMA-1	ccle:CAMA1_BREAST	CAMA-1	rdfs:label	ccle
Caov-3	ccle:CAOV3_OVARY	Caov-3	rdfs:label	ccle
Caov-4	ccle:CAOV4_OVARY	Caov-4	rdfs:label	ccle
Capan-1	ccle:CAPAN1_PANCREAS	Capan-1	rdfs:label	ccle
Capan-2	ccle:CAPAN2_PANCREAS	Capan-2	rdfs:label	ccle
CAS-1	ccle:CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1	rdfs:label	ccle
CCF-STTG1	ccle:CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCF-STTG1	rdfs:label	ccle
CCK-81	ccle:CCK81_LARGE_INTESTINE	CCK-81	rdfs:label	ccle
CFPAC-1	ccle:CFPAC1_PANCREAS	CFPAC-1	rdfs:label	ccle
