identifier	name	definition	synonyms	alts	parents	species
127399_SOFT_TISSUE						
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1					
143B_BONE	143B					
201T_LUNG						
22RV1_PROSTATE	22Rv1					
2313287_STOMACH	23132/87					
253JBV_URINARY_TRACT	253J-BV					
253J_URINARY_TRACT	253J					
42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA					
451LU_SKIN						
5637_URINARY_TRACT	5637					
59M_OVARY	59M					
639V_URINARY_TRACT	639-V					
647V_URINARY_TRACT	647-V					
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697					
769P_KIDNEY	769-P					
786O_KIDNEY	786-O					
8305C_THYROID	8305C					
8505C_THYROID	8505C					
8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA					
A101D_SKIN	A101D					
A1207_CENTRAL_NERVOUS_SYSTEM	A1207					
A172_CENTRAL_NERVOUS_SYSTEM	A172					
A204_SOFT_TISSUE	A-204					
A2058_SKIN	A2058					
A253_SALIVARY_GLAND	A-253					
A2780_OVARY	A2780					
A375_SKIN	A-375					
A388_SKIN						
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW					
A427_LUNG						
A431_SKIN						
A498_KIDNEY	A-498					
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk					
A549_LUNG	A549					
A673_BONE	A-673					
A704_KIDNEY	A-704					
ABC1_LUNG	ABC-1					
ACCMESO1_PLEURA	ACC-MESO-1					
ACCS_URINARY_TRACT	ACCS					
ACHN_KIDNEY	ACHN					
ACN_AUTONOMIC_GANGLIA						
AGS_STOMACH	AGS					
ALEXANDERCELLS_LIVER						
ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE						
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL					
AM38_CENTRAL_NERVOUS_SYSTEM	AM-38					
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193					
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1					
AN3CA_ENDOMETRIUM	AN3 CA					
ANGMCSS_CENTRAL_NERVOUS_SYSTEM						
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE						
ASH3_THYROID						
