subject_id	object_id	predicate_id	mapping_justification
ccle:127399_SOFT_TISSUE	depmap:ACH-001270	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:1321N1_CENTRAL_NERVOUS_SYSTEM	depmap:ACH-001000	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:143B_BONE	depmap:ACH-001001	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:201T_LUNG	depmap:ACH-002089	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:22RV1_PROSTATE	depmap:ACH-000956	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:2313287_STOMACH	depmap:ACH-000948	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:253JBV_URINARY_TRACT	depmap:ACH-000026	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:253J_URINARY_TRACT	depmap:ACH-000011	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:42MGBA_CENTRAL_NERVOUS_SYSTEM	depmap:ACH-000323	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:451LU_SKIN	depmap:ACH-001002	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:5637_URINARY_TRACT	depmap:ACH-000905	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:59M_OVARY	depmap:ACH-000520	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:639V_URINARY_TRACT	depmap:ACH-000973	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:647V_URINARY_TRACT	depmap:ACH-000896	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	depmap:ACH-000070	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:769P_KIDNEY	depmap:ACH-000411	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:786O_KIDNEY	depmap:ACH-000649	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:8305C_THYROID	depmap:ACH-001306	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:8505C_THYROID	depmap:ACH-001307	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:8MGBA_CENTRAL_NERVOUS_SYSTEM	depmap:ACH-000137	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A101D_SKIN	depmap:ACH-000008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A1207_CENTRAL_NERVOUS_SYSTEM	depmap:ACH-000283	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A172_CENTRAL_NERVOUS_SYSTEM	depmap:ACH-000558	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A204_SOFT_TISSUE	depmap:ACH-000201	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A2058_SKIN	depmap:ACH-000788	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A253_SALIVARY_GLAND	depmap:ACH-000740	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A2780_OVARY	depmap:ACH-000657	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A375_SKIN	depmap:ACH-000219	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A388_SKIN	depmap:ACH-001442	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	depmap:ACH-000697	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A427_LUNG	depmap:ACH-000757	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A431_SKIN	depmap:ACH-001328	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A498_KIDNEY	depmap:ACH-000555	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	depmap:ACH-000157	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A549_LUNG	depmap:ACH-000681	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A673_BONE	depmap:ACH-000052	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:A704_KIDNEY	depmap:ACH-000429	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:ABC1_LUNG	depmap:ACH-000528	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:ACCMESO1_PLEURA	depmap:ACH-000086	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:ACCS_URINARY_TRACT	depmap:ACH-001011	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:ACHN_KIDNEY	depmap:ACH-000046	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:ACN_AUTONOMIC_GANGLIA	depmap:ACH-002389	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ccle:AGS_STOMACH	depmap:ACH-000880	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
