subject_id	object_id	predicate_id	mapping_justification
cgnc:10	ncbigene:768659	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10	ensembl:ENSGALG00010001149	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10002	ncbigene:425986	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10002	ensembl:ENSGALG00010005417	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10003	ncbigene:396103	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10003	ensembl:ENSGALG00010018587	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10004	ncbigene:425991	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10004	ensembl:ENSGALG00010008170	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10005	ncbigene:373997	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10005	ensembl:ENSGALG00010013184	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10007	ncbigene:425979	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10007	ensembl:ENSGALG00010027826	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10009	ncbigene:418201	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10009	ensembl:ENSGALG00010013201	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:1001	ncbigene:415301	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:1001	ensembl:ENSGALG00010021219	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10013	ncbigene:426183	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10014	ncbigene:425989	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10014	ensembl:ENSGALG00010024622	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10017	ncbigene:374064	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10017	ensembl:ENSGALG00010024547	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10022	ncbigene:425999	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10022	ensembl:ENSGALG00010023166	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10024	ncbigene:426013	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10024	ensembl:ENSGALG00010019016	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10026	ncbigene:414854	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10026	ensembl:ENSGALG00010022601	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10027	ncbigene:430442	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10027	ensembl:ENSGALG00010002917	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10028	ncbigene:426932	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10028	ensembl:ENSGALG00010019820	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10031	ncbigene:101748423	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10031	ensembl:ENSGALG00010020160	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10033	ncbigene:431338	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10033	ensembl:ENSGALG00010019707	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10034	ncbigene:426009	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10035	ncbigene:426017	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10035	ensembl:ENSGALG00010021181	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10037	ncbigene:422968	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10037	ensembl:ENSGALG00010019617	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:1004	ncbigene:419866	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10047	ncbigene:768507	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10047	ensembl:ENSGALG00010024966	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10048	ncbigene:395950	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10048	ensembl:ENSGALG00010012489	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10049	ncbigene:768438	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10049	ensembl:ENSGALG00010024823	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:1005	ncbigene:419603	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:1005	ensembl:ENSGALG00010016383	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10051	ncbigene:426041	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10051	ensembl:ENSGALG00010028750	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10053	ncbigene:426042	oboinowl:hasDbXref	sempav:UnspecifiedMatching
cgnc:10053	ensembl:ENSGALG00010028887	oboinowl:hasDbXref	sempav:UnspecifiedMatching
