text	curie	name	predicate	source
cell death-inducing DFFA-like effector a	cgnc:10	CIDEA	oboInOwl:hasRelatedSynonym	cgnc
cell death activator CIDE-A	cgnc:10	CIDEA	oboInOwl:hasRelatedSynonym	cgnc
CIDEA	cgnc:10	CIDEA	rdfs:label	cgnc
lysyl oxidase like 3	cgnc:10002	LOXL3	oboInOwl:hasRelatedSynonym	cgnc
LOXL3	cgnc:10002	LOXL3	rdfs:label	cgnc
serum response factor	cgnc:10003	SRF	oboInOwl:hasRelatedSynonym	cgnc
SRF	cgnc:10003	SRF	rdfs:label	cgnc
phosphatidylinositol binding clathrin assembly protein	cgnc:10004	PICALM	oboInOwl:hasRelatedSynonym	cgnc
PICALM	cgnc:10004	PICALM	rdfs:label	cgnc
lactate dehydrogenase B	cgnc:10005	LDHB	oboInOwl:hasRelatedSynonym	cgnc
L-lactate dehydrogenase B chain|LDH-B	cgnc:10005	LDHB	oboInOwl:hasRelatedSynonym	cgnc
LDHB	cgnc:10005	LDHB	rdfs:label	cgnc
Rho guanine nucleotide exchange factor 11	cgnc:10007	ARHGEF11	oboInOwl:hasRelatedSynonym	cgnc
ARHGEF11	cgnc:10007	ARHGEF11	rdfs:label	cgnc
glycogen synthase 2	cgnc:10009	GYS2	oboInOwl:hasRelatedSynonym	cgnc
GYS2	cgnc:10009	GYS2	rdfs:label	cgnc
stimulated by retinoic acid 6	cgnc:1001	STRA6	oboInOwl:hasRelatedSynonym	cgnc
STRA6	cgnc:1001	STRA6	rdfs:label	cgnc
ankyrin repeat and SOCS box containing 8	cgnc:10013	ASB8	oboInOwl:hasRelatedSynonym	cgnc
ASB8	cgnc:10013	ASB8	rdfs:label	cgnc
protein arginine methyltransferase 1	cgnc:10014	PRMT1	oboInOwl:hasRelatedSynonym	cgnc
PRMT1	cgnc:10014	PRMT1	rdfs:label	cgnc
phosphofructokinase, muscle	cgnc:10017	PFKM	oboInOwl:hasRelatedSynonym	cgnc
PFKM	cgnc:10017	PFKM	rdfs:label	cgnc
lysine (K)-specific demethylase 2A	cgnc:10022	KDM2A	oboInOwl:hasRelatedSynonym	cgnc
KDM2A	cgnc:10022	KDM2A	rdfs:label	cgnc
pleckstrin homology and RhoGEF domain containing G5	cgnc:10024	PLEKHG5	oboInOwl:hasRelatedSynonym	cgnc
PLEKHG5	cgnc:10024	PLEKHG5	rdfs:label	cgnc
cytochrome P450 family 19 subfamily A member 1	cgnc:10026	CYP19A1	oboInOwl:hasRelatedSynonym	cgnc
CYP19A1	cgnc:10026	CYP19A1	rdfs:label	cgnc
6-phosphogluconolactonase	cgnc:10027	PGLS	oboInOwl:hasRelatedSynonym	cgnc
PGLS	cgnc:10027	PGLS	rdfs:label	cgnc
gamma-butyrobetaine hydroxylase 1	cgnc:10028	BBOX1	oboInOwl:hasRelatedSynonym	cgnc
BBOX1	cgnc:10028	BBOX1	rdfs:label	cgnc
synaptotagmin VII	cgnc:10031	SYT7	oboInOwl:hasRelatedSynonym	cgnc
SYT7	cgnc:10031	SYT7	rdfs:label	cgnc
solute carrier family 5 member 12	cgnc:10033	SLC5A12	oboInOwl:hasRelatedSynonym	cgnc
SLC5A12	cgnc:10033	SLC5A12	rdfs:label	cgnc
nucleoredoxin-like 1	cgnc:10034	NXNL1	oboInOwl:hasRelatedSynonym	cgnc
NXNL1	cgnc:10034	NXNL1	rdfs:label	cgnc
diacylglycerol lipase alpha	cgnc:10035	DAGLA	oboInOwl:hasRelatedSynonym	cgnc
DAGLA	cgnc:10035	DAGLA	rdfs:label	cgnc
anoctamin 3	cgnc:10037	ANO3	oboInOwl:hasRelatedSynonym	cgnc
ANO3	cgnc:10037	ANO3	rdfs:label	cgnc
ATP synthase peripheral stalk-membrane subunit b	cgnc:1004	ATP5PB	oboInOwl:hasRelatedSynonym	cgnc
ATP5PB	cgnc:1004	ATP5PB	rdfs:label	cgnc
ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	cgnc:10047	AGAP3	oboInOwl:hasRelatedSynonym	cgnc
AGAP3	cgnc:10047	AGAP3	rdfs:label	cgnc
gastrulation brain homeobox 2	cgnc:10048	GBX2	oboInOwl:hasRelatedSynonym	cgnc
GBX2	cgnc:10048	GBX2	rdfs:label	cgnc
ankyrin repeat and SOCS box containing 10	cgnc:10049	ASB10	oboInOwl:hasRelatedSynonym	cgnc
ASB10	cgnc:10049	ASB10	rdfs:label	cgnc
family with sequence similarity 110 member D	cgnc:1005	FAM110D	oboInOwl:hasRelatedSynonym	cgnc
FAM110D	cgnc:1005	FAM110D	rdfs:label	cgnc
OTU deubiquitinase 7B	cgnc:10051	OTUD7B	oboInOwl:hasRelatedSynonym	cgnc
OTUD7B	cgnc:10051	OTUD7B	rdfs:label	cgnc
splicing factor 3b subunit 4	cgnc:10053	SF3B4	oboInOwl:hasRelatedSynonym	cgnc
SF3B4	cgnc:10053	SF3B4	rdfs:label	cgnc
ATP binding cassette subfamily F member 2	cgnc:10054	ABCF2	oboInOwl:hasRelatedSynonym	cgnc
ABCF2	cgnc:10054	ABCF2	rdfs:label	cgnc
inhibitor of nuclear factor kappa B kinase subunit epsilon	cgnc:10056	IKBKE	oboInOwl:hasRelatedSynonym	cgnc
IKBKE	cgnc:10056	IKBKE	rdfs:label	cgnc
microtubule crosslinking factor 1	cgnc:10057	MTCL1	oboInOwl:hasRelatedSynonym	cgnc
MTCL1	cgnc:10057	MTCL1	rdfs:label	cgnc
calcium binding protein 7	cgnc:10059	CABP7	oboInOwl:hasRelatedSynonym	cgnc
