identifier	name	definition	synonyms	alts	parents	species
10	CIDEA		cell death-inducing DFFA-like effector a|cell death activator CIDE-A			NCBITaxon:9031
10002	LOXL3		lysyl oxidase like 3			NCBITaxon:9031
10003	SRF		serum response factor			NCBITaxon:9031
10004	PICALM		phosphatidylinositol binding clathrin assembly protein			NCBITaxon:9031
10005	LDHB		lactate dehydrogenase B|L-lactate dehydrogenase B chain|LDH-B			NCBITaxon:9031
10007	ARHGEF11		Rho guanine nucleotide exchange factor 11			NCBITaxon:9031
10009	GYS2		glycogen synthase 2			NCBITaxon:9031
1001	STRA6		stimulated by retinoic acid 6			NCBITaxon:9031
10013	ASB8		ankyrin repeat and SOCS box containing 8			NCBITaxon:9031
10014	PRMT1		protein arginine methyltransferase 1			NCBITaxon:9031
10017	PFKM		phosphofructokinase, muscle			NCBITaxon:9031
10022	KDM2A		lysine (K)-specific demethylase 2A			NCBITaxon:9031
10024	PLEKHG5		pleckstrin homology and RhoGEF domain containing G5			NCBITaxon:9031
10026	CYP19A1		cytochrome P450 family 19 subfamily A member 1			NCBITaxon:9031
10027	PGLS		6-phosphogluconolactonase			NCBITaxon:9031
10028	BBOX1		gamma-butyrobetaine hydroxylase 1			NCBITaxon:9031
10031	SYT7		synaptotagmin VII			NCBITaxon:9031
10033	SLC5A12		solute carrier family 5 member 12			NCBITaxon:9031
10034	NXNL1		nucleoredoxin-like 1			NCBITaxon:9031
10035	DAGLA		diacylglycerol lipase alpha			NCBITaxon:9031
10037	ANO3		anoctamin 3			NCBITaxon:9031
1004	ATP5PB		ATP synthase peripheral stalk-membrane subunit b			NCBITaxon:9031
10047	AGAP3		ArfGAP with GTPase domain, ankyrin repeat and PH domain 3			NCBITaxon:9031
10048	GBX2		gastrulation brain homeobox 2			NCBITaxon:9031
10049	ASB10		ankyrin repeat and SOCS box containing 10			NCBITaxon:9031
1005	FAM110D		family with sequence similarity 110 member D			NCBITaxon:9031
