text	curie	name	predicate	source
SB-203580	chembl.compound:CHEMBL10	SB-203580	rdfs:label	chembl.compound
LEVCROMAKALIM	chembl.compound:CHEMBL100	LEVCROMAKALIM	rdfs:label	chembl.compound
CETIRIZINE	chembl.compound:CHEMBL1000	CETIRIZINE	rdfs:label	chembl.compound
AN-9	chembl.compound:CHEMBL100014	AN-9	rdfs:label	chembl.compound
PENTAZOCINE	chembl.compound:CHEMBL100116	PENTAZOCINE	rdfs:label	chembl.compound
TERTIARY ALCOHOL PRIMARY SUCCINATEESTER	chembl.compound:CHEMBL10017	TERTIARY ALCOHOL PRIMARY SUCCINATEESTER	rdfs:label	chembl.compound
LEVOSALBUTAMOL	chembl.compound:CHEMBL1002	LEVOSALBUTAMOL	rdfs:label	chembl.compound
URIDINE	chembl.compound:CHEMBL100259	URIDINE	rdfs:label	chembl.compound
CLAVULANATE POTASSIUM	chembl.compound:CHEMBL1003	CLAVULANATE POTASSIUM	rdfs:label	chembl.compound
LY-117018	chembl.compound:CHEMBL10030	LY-117018	rdfs:label	chembl.compound
DOXYLAMINE	chembl.compound:CHEMBL1004	DOXYLAMINE	rdfs:label	chembl.compound
PICARTAMIDE	chembl.compound:CHEMBL100424	PICARTAMIDE	rdfs:label	chembl.compound
U-0126	chembl.compound:CHEMBL100473	U-0126	rdfs:label	chembl.compound
REMIFENTANIL	chembl.compound:CHEMBL1005	REMIFENTANIL	rdfs:label	chembl.compound
AMIFOSTINE	chembl.compound:CHEMBL1006	AMIFOSTINE	rdfs:label	chembl.compound
HEXAMETHONIUM	chembl.compound:CHEMBL100622	HEXAMETHONIUM	rdfs:label	chembl.compound
ACTINOPLANIC ACID A	chembl.compound:CHEMBL100684	ACTINOPLANIC ACID A	rdfs:label	chembl.compound
GONADORELIN	chembl.compound:CHEMBL1007	GONADORELIN	rdfs:label	chembl.compound
rac-VOROZOLE	chembl.compound:CHEMBL100749	rac-VOROZOLE	rdfs:label	chembl.compound
BEPRIDIL	chembl.compound:CHEMBL1008	BEPRIDIL	rdfs:label	chembl.compound
CHAETOMELLIC ACID B	chembl.compound:CHEMBL100815	CHAETOMELLIC ACID B	rdfs:label	chembl.compound
MAZAPERTINE	chembl.compound:CHEMBL10085	MAZAPERTINE	rdfs:label	chembl.compound
LEVODOPA	chembl.compound:CHEMBL1009	LEVODOPA	rdfs:label	chembl.compound
(E)-3,4-STILBENDIOL	chembl.compound:CHEMBL100922	(E)-3,4-STILBENDIOL	rdfs:label	chembl.compound
NALTRIBEN	chembl.compound:CHEMBL100940	NALTRIBEN	rdfs:label	chembl.compound
PHENYLBUTAZONE	chembl.compound:CHEMBL101	PHENYLBUTAZONE	rdfs:label	chembl.compound
CEFOTAXIME SODIUM	chembl.compound:CHEMBL1010	CEFOTAXIME SODIUM	rdfs:label	chembl.compound
METHYLPIPERAZINE	chembl.compound:CHEMBL1011	METHYLPIPERAZINE	rdfs:label	chembl.compound
FAMOXADONE	chembl.compound:CHEMBL10118	FAMOXADONE	rdfs:label	chembl.compound
2-PHTHALIMIDOGLUTARAMIC ACID	chembl.compound:CHEMBL1012	2-PHTHALIMIDOGLUTARAMIC ACID	rdfs:label	chembl.compound
VATALANIB	chembl.compound:CHEMBL101253	VATALANIB	rdfs:label	chembl.compound
4-NITROBENZOIC ACID	chembl.compound:CHEMBL101263	4-NITROBENZOIC ACID	rdfs:label	chembl.compound
ENCIPRAZINE	chembl.compound:CHEMBL101284	ENCIPRAZINE	rdfs:label	chembl.compound
LORACARBEF ANHYDROUS	chembl.compound:CHEMBL1013	LORACARBEF ANHYDROUS	rdfs:label	chembl.compound
AVASIMIBE	chembl.compound:CHEMBL101309	AVASIMIBE	rdfs:label	chembl.compound
FIPRONIL	chembl.compound:CHEMBL101326	FIPRONIL	rdfs:label	chembl.compound
CANDESARTAN CILEXETIL	chembl.compound:CHEMBL1014	CANDESARTAN CILEXETIL	rdfs:label	chembl.compound
EVANS BLUE FREE ACID	chembl.compound:CHEMBL1015	EVANS BLUE FREE ACID	rdfs:label	chembl.compound
PINOSYLVIN	chembl.compound:CHEMBL101506	PINOSYLVIN	rdfs:label	chembl.compound
CANDESARTAN	chembl.compound:CHEMBL1016	CANDESARTAN	rdfs:label	chembl.compound
TELMISARTAN	chembl.compound:CHEMBL1017	TELMISARTAN	rdfs:label	chembl.compound
CIDOXEPIN	chembl.compound:CHEMBL101740	CIDOXEPIN	rdfs:label	chembl.compound
METHYL (METHOXYCARBONYL)OXY(METHYLSULFONYL)CARBAMATE	chembl.compound:CHEMBL101776	METHYL (METHOXYCARBONYL)OXY(METHYLSULFONYL)CARBAMATE	rdfs:label	chembl.compound
DIENESTROL	chembl.compound:CHEMBL1018	DIENESTROL	rdfs:label	chembl.compound
TALNETANT	chembl.compound:CHEMBL10188	TALNETANT	rdfs:label	chembl.compound
SANGIVAMYCIN	chembl.compound:CHEMBL101892	SANGIVAMYCIN	rdfs:label	chembl.compound
TOLMETIN	chembl.compound:CHEMBL1020	TOLMETIN	rdfs:label	chembl.compound
NEPAFENAC	chembl.compound:CHEMBL1021	NEPAFENAC	rdfs:label	chembl.compound
COPALIC ACID	chembl.compound:CHEMBL102201	COPALIC ACID	rdfs:label	chembl.compound
IMINOCTADIENE	chembl.compound:CHEMBL102276	IMINOCTADIENE	rdfs:label	chembl.compound
BEXAROTENE	chembl.compound:CHEMBL1023	BEXAROTENE	rdfs:label	chembl.compound
IDROCILAMIDE	chembl.compound:CHEMBL102358	IDROCILAMIDE	rdfs:label	chembl.compound
IFOSFAMIDE	chembl.compound:CHEMBL1024	IFOSFAMIDE	rdfs:label	chembl.compound
THIORPHAN	chembl.compound:CHEMBL10247	THIORPHAN	rdfs:label	chembl.compound
ISOFLUROPHATE	chembl.compound:CHEMBL1025	ISOFLUROPHATE	rdfs:label	chembl.compound
FENOLDOPAM MESYLATE	chembl.compound:CHEMBL1026	FENOLDOPAM MESYLATE	rdfs:label	chembl.compound
TIAGABINE	chembl.compound:CHEMBL1027	TIAGABINE	rdfs:label	chembl.compound
SB-216763	chembl.compound:CHEMBL102714	SB-216763	rdfs:label	chembl.compound
BENZETIMIDE	chembl.compound:CHEMBL10272	BENZETIMIDE	rdfs:label	chembl.compound
ARCAINE	chembl.compound:CHEMBL102740	ARCAINE	rdfs:label	chembl.compound
N-METHYL-MITOMYCIN A	chembl.compound:CHEMBL102817	N-METHYL-MITOMYCIN A	rdfs:label	chembl.compound
SB-222200	chembl.compound:CHEMBL10284	SB-222200	rdfs:label	chembl.compound
MIGLUSTAT	chembl.compound:CHEMBL1029	MIGLUSTAT	rdfs:label	chembl.compound
PYRIDOXAL	chembl.compound:CHEMBL102970	PYRIDOXAL	rdfs:label	chembl.compound
PROGESTERONE	chembl.compound:CHEMBL103	PROGESTERONE	rdfs:label	chembl.compound
4'-HYDROXY-DICLOFENAC	chembl.compound:CHEMBL1030	4'-HYDROXY-DICLOFENAC	rdfs:label	chembl.compound
AMPELOPSIN A	chembl.compound:CHEMBL103046	AMPELOPSIN A	rdfs:label	chembl.compound
5-HYDROXY-DICLOFENAC	chembl.compound:CHEMBL1031	5-HYDROXY-DICLOFENAC	rdfs:label	chembl.compound
GW831090X	chembl.compound:CHEMBL103104	GW831090X	rdfs:label	chembl.compound
