identifier	name	definition	synonyms	alts	parents	species
CHEMBL10	SB-203580					
CHEMBL100	LEVCROMAKALIM					
CHEMBL1000	CETIRIZINE					
CHEMBL100014	AN-9					
CHEMBL100116	PENTAZOCINE					
CHEMBL10017	TERTIARY ALCOHOL PRIMARY SUCCINATEESTER					
CHEMBL1002	LEVOSALBUTAMOL					
CHEMBL100259	URIDINE					
CHEMBL1003	CLAVULANATE POTASSIUM					
CHEMBL10030	LY-117018					
CHEMBL1004	DOXYLAMINE					
CHEMBL100424	PICARTAMIDE					
CHEMBL100473	U-0126					
CHEMBL1005	REMIFENTANIL					
CHEMBL1006	AMIFOSTINE					
CHEMBL100622	HEXAMETHONIUM					
CHEMBL100684	ACTINOPLANIC ACID A					
CHEMBL1007	GONADORELIN					
CHEMBL100749	rac-VOROZOLE					
CHEMBL1008	BEPRIDIL					
CHEMBL100815	CHAETOMELLIC ACID B					
CHEMBL10085	MAZAPERTINE					
CHEMBL1009	LEVODOPA					
CHEMBL100922	(E)-3,4-STILBENDIOL					
CHEMBL100940	NALTRIBEN					
CHEMBL101	PHENYLBUTAZONE					
CHEMBL1010	CEFOTAXIME SODIUM					
CHEMBL1011	METHYLPIPERAZINE					
CHEMBL10118	FAMOXADONE					
CHEMBL1012	2-PHTHALIMIDOGLUTARAMIC ACID					
CHEMBL101253	VATALANIB					
CHEMBL101263	4-NITROBENZOIC ACID					
CHEMBL101284	ENCIPRAZINE					
CHEMBL1013	LORACARBEF ANHYDROUS					
CHEMBL101309	AVASIMIBE					
CHEMBL101326	FIPRONIL					
CHEMBL1014	CANDESARTAN CILEXETIL					
CHEMBL1015	EVANS BLUE FREE ACID					
CHEMBL101506	PINOSYLVIN					
CHEMBL1016	CANDESARTAN					
CHEMBL1017	TELMISARTAN					
CHEMBL101740	CIDOXEPIN					
CHEMBL101776	METHYL (METHOXYCARBONYL)OXY(METHYLSULFONYL)CARBAMATE					
CHEMBL1018	DIENESTROL					
CHEMBL10188	TALNETANT					
CHEMBL101892	SANGIVAMYCIN					
CHEMBL1020	TOLMETIN					
CHEMBL1021	NEPAFENAC					
CHEMBL102201	COPALIC ACID					
CHEMBL102276	IMINOCTADIENE					
CHEMBL1023	BEXAROTENE					
CHEMBL102358	IDROCILAMIDE					
CHEMBL1024	IFOSFAMIDE					
CHEMBL10247	THIORPHAN					
CHEMBL1025	ISOFLUROPHATE					
CHEMBL1026	FENOLDOPAM MESYLATE					
CHEMBL1027	TIAGABINE					
CHEMBL102714	SB-216763					
CHEMBL10272	BENZETIMIDE					
CHEMBL102740	ARCAINE					
CHEMBL102817	N-METHYL-MITOMYCIN A					
CHEMBL10284	SB-222200					
CHEMBL1029	MIGLUSTAT					
CHEMBL102970	PYRIDOXAL					
CHEMBL103	PROGESTERONE					
CHEMBL1030	4'-HYDROXY-DICLOFENAC					
CHEMBL103046	AMPELOPSIN A					
CHEMBL1031	5-HYDROXY-DICLOFENAC					
CHEMBL103104	GW831090X					
CHEMBL103111	PYRIDOXAL ISONICOTINOYL HYDRAZONE					
CHEMBL103115	GW831091X					
CHEMBL10316	IDAZOXAN					
CHEMBL1032	4',5-DIHYDROXY-DICLOFENAC					
CHEMBL103247	DIAMINOPROPANOIC ACID					
CHEMBL1033	3'-HYDROXY-4'-METHOXY-DICLOFENAC					
CHEMBL103356	3-AMINO- 3-DEOXYTHYMIDINE					
CHEMBL1034	DICLOFENAC SODIUM					
CHEMBL10347	RAUWOLSCINE					
CHEMBL1035	3'-HYDROXY-DICLOFENAC					
CHEMBL103552	LAVENDUSTIN A					
CHEMBL1036	HYDROXYHALOPERIDOL					
CHEMBL103600	DIMETHYLNORDIHYDROGUARIERATE ACID					
CHEMBL103667	DORAMAPIMOD					
CHEMBL103686	D-ORNITHINE					
CHEMBL1037	GUANADREL					
CHEMBL10372	ZOPOLRESTAT					
CHEMBL103735	ATIPRIMOD					
CHEMBL103794	NUCLEOSIDE TRIPHOSPHATE ANAOGUE					
CHEMBL1039	NORKETAMINE					
CHEMBL103955	CHAETOMELLIC ACID A					
CHEMBL104	CLOTRIMAZOLE					
CHEMBL1040	CALCIFEDIOL ANHYDROUS					
CHEMBL1041	PHENYLETHYLMALONAMIDE -					
CHEMBL10413	ZENARESTAT					
CHEMBL104186	BO-653					
CHEMBL1042	CHOLECALCIFEROL					
CHEMBL104255	FLAVOKAWAIN B					
CHEMBL104270	TOSUFLOXACIN TOSYLATE					
CHEMBL1043	DAPSONE					
CHEMBL1044	PHENYLACETIC ACID					
CHEMBL10445	CLOXACEPRIDE					
CHEMBL1045	PHTHALIC ACID					
CHEMBL104515	ANISOPIROL					
CHEMBL104560	CHLORPROPHAM					
CHEMBL1046	AMINOCAPROIC ACID					
CHEMBL104718	LEPADIN F					
CHEMBL1048	N-DEALKYLATED DERIVATIVE					
CHEMBL104829	FURO[2,3D]PYRIMIDINE ANTIFOLATE					
CHEMBL104845	N-DODECYL LYSINE AMIDE					
CHEMBL104875	D-HISTIDINE					
CHEMBL1049	DECARBOXYLATED DERIVATIVE					
CHEMBL104943	MONOETHANOLAMINE					
CHEMBL105	MITOMYCIN					
CHEMBL1050	LATANOPROST ACID					
CHEMBL105060	DNK333					
CHEMBL1051	LATANOPROST					
CHEMBL105184	BIFENDATE					
CHEMBL1052	NORMEPERIDINE					
CHEMBL105278	GUANIDINOETHYLDISULFIDE					
CHEMBL105310	2',4'-DIHYDROXYCHALCONE					
CHEMBL105318	ALOVUDINE					
CHEMBL105350	BISDEMETHOXYCURCUMIN					
CHEMBL1054	TRICHLORMETHIAZIDE					
CHEMBL105432	GERMACRENE D					
CHEMBL105442	CI-1040					
CHEMBL105496	4-METHOXY CHALCONE					
CHEMBL1055	CHLORTHALIDONE					
CHEMBL1056	4-OH-ENCLOMIPHENE					
CHEMBL105608	HEXAMETHONIUM CHLORIDE					
CHEMBL1057	FLUORESCEIN					
CHEMBL105712	PHENACYL CHLORIDE					
CHEMBL105789	ISOFEBRIFUGINE					
CHEMBL1058	DESCHLOROBENZOYL INDOMETHACIN					
CHEMBL105809	METALAXYL					
CHEMBL1059	PREGABALIN					
CHEMBL105912	RASPBERRYKETONE					
CHEMBL106	FLUCONAZOLE					
CHEMBL1060	SODIUM PHOSPHATE, DIBASIC, ANHYDROUS					
CHEMBL1061	GLITAZONE					
CHEMBL106124	SENKTIDE					
CHEMBL1062	HYDROXYPROGESTERONE					
CHEMBL106258	AMINOREX					
CHEMBL106265	8-CYCLOPENTYLTHEOPHYLLINE					
CHEMBL106296	CARACASANDIAMIDE					
CHEMBL1063	DEACETYLCOLCHICINE					
CHEMBL10634	BERMOPROFEN					
CHEMBL1064	SIMVASTATIN					
CHEMBL106425	5-N-ALLYL-ARGININE					
CHEMBL1065	METHYSERGIDE					
CHEMBL106502	ALAMIFOVIR					
CHEMBL106509	DEHYDROZINGERONE					
CHEMBL106516	THIOCITRULLINE					
CHEMBL106562	2-Methoxy-1,4-naphthoquinone					
CHEMBL106593	PRALMORELIN					
CHEMBL1066	(R,R)-TRAMADOL					
CHEMBL106612	IMIFURAMINE					
CHEMBL106666	GW7845					
CHEMBL106687	LYCETAMINE					
CHEMBL1067	LICARBAZEPINE					
CHEMBL1068	OXCARBAZEPINE					
CHEMBL106847	AMENTANTRONE					
CHEMBL1069	VALSARTAN					
CHEMBL106939	DASB					
CHEMBL106971	CALDIAMIDE					
CHEMBL107	COLCHICINE					
CHEMBL1070	NABUMETONE					
CHEMBL1071	OXAPROZIN					
CHEMBL107131	DIMETHYLPINOCEMBRIN					
CHEMBL107172	7-METHYL-8-OXO-5-P-TOLYL-7,8-DIHYDRO-[1,7]NAPHTHYRIDINE-6-CARBOXYLIC ACID (3,5-BIS-TRIFLUOROMETHYL-BENZYL)-METHYL-AMIDE (STRUCTURAL MIX)					
CHEMBL1072	BUMETANIDE					
CHEMBL107217	DITIOCARB SODIUM					
CHEMBL107251	1400W					
CHEMBL1073	GLIPIZIDE					
CHEMBL107360	QUINUPRAMINE					
CHEMBL107367	FARGLITAZAR					
CHEMBL107400	SOBETIROME					
CHEMBL107430	NRX195183					
CHEMBL107498	DECANOIC ACID					
CHEMBL1075	MORICIZINE					
CHEMBL107514	(R)-EDELFOSINE					
CHEMBL1075687	ISODARPARVINOL B					
CHEMBL1075700	PROTOXYLOCARPIN F					
CHEMBL1075701	PROTOXYLOCARPIN G					
CHEMBL1075702	PROTOXYLOCARPIN H					
CHEMBL1075721	XYLOCCENSIN O					
CHEMBL1075722	XYLOCCENSIN P					
CHEMBL1075733	VALNOCTAMIDE					
CHEMBL1075736	ISOHALITULIN					
CHEMBL1075765	SWIETMANIN A					
CHEMBL1075766	SWIETMANIN B					
CHEMBL1075767	Swietmanin C					
CHEMBL1075768	Swietmanin D					
CHEMBL1075771	Swietmanin E					
CHEMBL1075775	Swietmanin G					
CHEMBL1075776	Swietmanin I					
CHEMBL1075788	CYMARIN					
CHEMBL1075790	PERUVOSIDE					
CHEMBL1075795	FENOFIBRATE ACID					
CHEMBL1075796	HALICLORENSIN B					
CHEMBL10758	AZEPINDOLE					
CHEMBL1075814	SARMENTOGENIN					
CHEMBL1075834	ASENGEPRAST					
CHEMBL1075850	KHIVORIN					
CHEMBL1075888	BEILSCHMIEFLAVONOID A					
CHEMBL1075889	BEILSCHMIEFLAVONOID B					
CHEMBL1075892	COPRINASTATIN 1					
CHEMBL1075969	COPRINOL					
CHEMBL1075970	4-ACETYL-2-BENZOXAZOLINONE					
CHEMBL1075971	SECALONIC ACID D					
CHEMBL1075999	SECALONIC ACID B					
CHEMBL1076	DESGLYMIDODRINE					
CHEMBL1076002	RIGIDIUSCULAMIDE B					
CHEMBL1076184	CIMIRACEMATE A					
CHEMBL1076209	CRATOXYXANTHONE					
CHEMBL1076211	TOLPERISONE					
CHEMBL1076246	DIOSBULBISIN A					
CHEMBL1076248	DIOSBULBISIDE B					
CHEMBL1076249	DIOSBULBISIDE C					
CHEMBL1076253	DIOSBULBISIDE A					
CHEMBL1076256	BEFURALINE					
CHEMBL1076263	SETROBUVIR					
CHEMBL1076273	MYCALAZAL 18					
CHEMBL1076315	GANOMYCIN I					
CHEMBL1076347	TRICLOCARBAN					
CHEMBL1076356	CLOMAZONE					
CHEMBL1076430	ERYTHRIBYSSIN A					
CHEMBL1076434	VANILLINYL BETULONATE					
CHEMBL1076438	LECANINDOLE D					
CHEMBL1076452	BARBAN					
CHEMBL1076495	METHIOCARB					
CHEMBL1076496	ASTEROLAURIN A					
CHEMBL1076535	PALMYRAMIDE A					
CHEMBL1076537	PROMECARB					
CHEMBL1076544	BOSCALID					
CHEMBL1076610	2BETA,3BETA,4BETA,TRIHYDROXYCELARBICO					
CHEMBL1076666	SCHIRUBRIDILACTONE C					
CHEMBL1076667	SCHIRUBRIDILACTONE D					
CHEMBL1076668	SCHIRUBRIDILACTONE A					
CHEMBL1076669	SCHIRUBRIDILACTONE B					
