identifier	name	definition	synonyms	alts	parents	species
CHEMBL1075021	DNA gyrase subunit B				obo:chembl.target#single-protein	ncbitaxon:170187
CHEMBL1075022	ParE				obo:chembl.target#single-protein	ncbitaxon:1313
CHEMBL1075023	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase				obo:chembl.target#single-protein	ncbitaxon:170187
CHEMBL1075024	Enoyl-(Acyl-carrier-protein) reductase				obo:chembl.target#single-protein	ncbitaxon:1313
CHEMBL1075025	Isoprenyl transferase				obo:chembl.target#single-protein	ncbitaxon:170187
CHEMBL1075026	Streptavidin				obo:chembl.target#single-protein	ncbitaxon:1895
CHEMBL1075027	B-N-acetylhexosaminidase				obo:chembl.target#single-protein	ncbitaxon:1922
CHEMBL1075028	Alpha carbonic anhydrase				obo:chembl.target#single-protein	ncbitaxon:50429
CHEMBL1075029	A1 adenosine receptor				obo:chembl.target#single-protein	ncbitaxon:9823
CHEMBL1075030	Urokinase-type plasminogen activator				obo:chembl.target#single-protein	ncbitaxon:9823
CHEMBL1075031	5-methylthioadenosine/S-adenosylhomocysteine deaminase				obo:chembl.target#single-protein	ncbitaxon:243274
CHEMBL1075032	Adenosylhomocysteinase				obo:chembl.target#single-protein	ncbitaxon:243274
CHEMBL1075033	Calcium dependent protein kinase				obo:chembl.target#single-protein	ncbitaxon:4565
CHEMBL1075034	Thymidine kinase				obo:chembl.target#single-protein	ncbitaxon:10254
CHEMBL1075035	Beta-hexosaminidase				obo:chembl.target#single-protein	ncbitaxon:243277
CHEMBL1075037	Plasminogen activator				obo:chembl.target#single-protein	ncbitaxon:632
CHEMBL1075038	Beta-glucosidase				obo:chembl.target#single-protein	ncbitaxon:74562
CHEMBL1075039	Cytochrome P450 165B3				obo:chembl.target#single-protein	ncbitaxon:31958
CHEMBL1075040	UDP-3-O-acyl-N-acetylglucosamine deacetylase				obo:chembl.target#single-protein	ncbitaxon:224324
CHEMBL1075041	Peptide deformylase 1A, chloroplastic/mitochondrial				obo:chembl.target#single-protein	ncbitaxon:3702
