subject_id	object_id	predicate_id	mapping_justification
chembl.target:CHEMBL1075021	uniprot:P0A4L9	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075022	uniprot:Q7X1P7	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075023	uniprot:A0A0H2UPP7	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075024	uniprot:Q9FBC5	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075025	uniprot:Q97SR4	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075026	uniprot:P22629	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075027	uniprot:O85361	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075028	uniprot:B5SU02	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075029	uniprot:Q4VQ11	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075030	uniprot:P04185	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075031	uniprot:Q9X034	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075032	uniprot:O51933	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075033	uniprot:A0T123	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075034	uniprot:P68563	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075035	uniprot:Q9KU37	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075037	uniprot:P17811	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075038	uniprot:P12614	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075039	uniprot:Q8RN04	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075040	uniprot:O67648	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075041	uniprot:Q9FV53	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075042	uniprot:Q9ZB22	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075043	uniprot:P00651	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075044	uniprot:P54616	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075045	uniprot:Q81VW8	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075046	uniprot:A0A6L7H340	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075047	uniprot:P03007	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075048	uniprot:P32397	skos:exactMatch	semapv:UnspecifiedMatching
chembl.target:CHEMBL1075049	uniprot:P31113	skos:exactMatch	semapv:UnspecifiedMatching
