text	curie	name	predicate	source
DNA gyrase subunit B	chembl.target:CHEMBL1075021	DNA gyrase subunit B	rdfs:label	chembl.target
ParE	chembl.target:CHEMBL1075022	ParE	rdfs:label	chembl.target
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	chembl.target:CHEMBL1075023	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	rdfs:label	chembl.target
Enoyl-(Acyl-carrier-protein) reductase	chembl.target:CHEMBL1075024	Enoyl-(Acyl-carrier-protein) reductase	rdfs:label	chembl.target
Undecaprenyl pyrophosphate synthase	chembl.target:CHEMBL1075025	Undecaprenyl pyrophosphate synthase	rdfs:label	chembl.target
Streptavidin	chembl.target:CHEMBL1075026	Streptavidin	rdfs:label	chembl.target
B-N-acetylhexosaminidase	chembl.target:CHEMBL1075027	B-N-acetylhexosaminidase	rdfs:label	chembl.target
Alpha carbonic anhydrase	chembl.target:CHEMBL1075028	Alpha carbonic anhydrase	rdfs:label	chembl.target
A1 adenosine receptor	chembl.target:CHEMBL1075029	A1 adenosine receptor	rdfs:label	chembl.target
Urokinase-type plasminogen activator	chembl.target:CHEMBL1075030	Urokinase-type plasminogen activator	rdfs:label	chembl.target
5-methylthioadenosine/S-adenosylhomocysteine deaminase	chembl.target:CHEMBL1075031	5-methylthioadenosine/S-adenosylhomocysteine deaminase	rdfs:label	chembl.target
Adenosylhomocysteinase	chembl.target:CHEMBL1075032	Adenosylhomocysteinase	rdfs:label	chembl.target
Calcium dependent protein kinase	chembl.target:CHEMBL1075033	Calcium dependent protein kinase	rdfs:label	chembl.target
Thymidine kinase	chembl.target:CHEMBL1075034	Thymidine kinase	rdfs:label	chembl.target
Beta-hexosaminidase	chembl.target:CHEMBL1075035	Beta-hexosaminidase	rdfs:label	chembl.target
Coagulase/fibrinolysin	chembl.target:CHEMBL1075037	Coagulase/fibrinolysin	rdfs:label	chembl.target
Beta-glucosidase	chembl.target:CHEMBL1075038	Beta-glucosidase	rdfs:label	chembl.target
Cytochrome P450 165B3	chembl.target:CHEMBL1075039	Cytochrome P450 165B3	rdfs:label	chembl.target
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	chembl.target:CHEMBL1075040	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	rdfs:label	chembl.target
Peptide deformylase 1A, chloroplastic	chembl.target:CHEMBL1075041	Peptide deformylase 1A, chloroplastic	rdfs:label	chembl.target
Endo-beta-N-acetylglucosaminidase	chembl.target:CHEMBL1075042	Endo-beta-N-acetylglucosaminidase	rdfs:label	chembl.target
Guanyl-specific ribonuclease T1	chembl.target:CHEMBL1075043	Guanyl-specific ribonuclease T1	rdfs:label	chembl.target
Enoyl-[acyl-carrier-protein] reductase [NADH]	chembl.target:CHEMBL1075044	Enoyl-[acyl-carrier-protein] reductase [NADH]	rdfs:label	chembl.target
Dihydropteroate synthase	chembl.target:CHEMBL1075045	Dihydropteroate synthase	rdfs:label	chembl.target
Dihydrodipicolinate synthase	chembl.target:CHEMBL1075046	Dihydrodipicolinate synthase	rdfs:label	chembl.target
DNA polymerase III subunit epsilon	chembl.target:CHEMBL1075047	DNA polymerase III subunit epsilon	rdfs:label	chembl.target
Protoporphyrinogen oxidase	chembl.target:CHEMBL1075048	Protoporphyrinogen oxidase	rdfs:label	chembl.target
