text	curie	name	predicate	source
CD246	civic.gid:1	ALK	oboInOwl:hasRelatedSynonym	civic.gid
NBLST3	civic.gid:1	ALK	oboInOwl:hasRelatedSynonym	civic.gid
ALK1	civic.gid:1	ALK	oboInOwl:hasRelatedSynonym	civic.gid
ALK	civic.gid:1	ALK	rdfs:label	civic.gid
CCND3	civic.gid:10	CCND3	rdfs:label	civic.gid
MRD29	civic.gid:10024	SETBP1	oboInOwl:hasRelatedSynonym	civic.gid
SEB	civic.gid:10024	SETBP1	oboInOwl:hasRelatedSynonym	civic.gid
SETBP1	civic.gid:10024	SETBP1	rdfs:label	civic.gid
ABLL	civic.gid:101	ABL2	oboInOwl:hasRelatedSynonym	civic.gid
ARG	civic.gid:101	ABL2	oboInOwl:hasRelatedSynonym	civic.gid
ABL2	civic.gid:101	ABL2	rdfs:label	civic.gid
DAZAP1	civic.gid:10239	DAZAP1	rdfs:label	civic.gid
H731	civic.gid:10573	PDCD4	oboInOwl:hasRelatedSynonym	civic.gid
PDCD4	civic.gid:10573	PDCD4	rdfs:label	civic.gid
CCNE	civic.gid:11	CCNE1	oboInOwl:hasRelatedSynonym	civic.gid
pCCNE1	civic.gid:11	CCNE1	oboInOwl:hasRelatedSynonym	civic.gid
CCNE1	civic.gid:11	CCNE1	rdfs:label	civic.gid
APR-1	civic.gid:11261	MAGEH1	oboInOwl:hasRelatedSynonym	civic.gid
APR1	civic.gid:11261	MAGEH1	oboInOwl:hasRelatedSynonym	civic.gid
MAGEH	civic.gid:11261	MAGEH1	oboInOwl:hasRelatedSynonym	civic.gid
MAGEH1	civic.gid:11261	MAGEH1	rdfs:label	civic.gid
HBP231	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
HIF-1	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
HIP-1	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
HSPC069	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
HYPB	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
KMT3A	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
SET2	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
p231HBP	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
LLS	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
MRD70	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
RAPAS	civic.gid:11289	SETD2	oboInOwl:hasRelatedSynonym	civic.gid
SETD2	civic.gid:11289	SETD2	rdfs:label	civic.gid
ETOHI2	civic.gid:11314	DROSHA	oboInOwl:hasRelatedSynonym	civic.gid
HSA242976	civic.gid:11314	DROSHA	oboInOwl:hasRelatedSynonym	civic.gid
RANSE3L	civic.gid:11314	DROSHA	oboInOwl:hasRelatedSynonym	civic.gid
RN3	civic.gid:11314	DROSHA	oboInOwl:hasRelatedSynonym	civic.gid
RNASE3L	civic.gid:11314	DROSHA	oboInOwl:hasRelatedSynonym	civic.gid
RNASEN	civic.gid:11314	DROSHA	oboInOwl:hasRelatedSynonym	civic.gid
DROSHA	civic.gid:11314	DROSHA	rdfs:label	civic.gid
NAK	civic.gid:11322	TBK1	oboInOwl:hasRelatedSynonym	civic.gid
T2K	civic.gid:11322	TBK1	oboInOwl:hasRelatedSynonym	civic.gid
FTDALS4	civic.gid:11322	TBK1	oboInOwl:hasRelatedSynonym	civic.gid
IIAE8	civic.gid:11322	TBK1	oboInOwl:hasRelatedSynonym	civic.gid
AIARV	civic.gid:11322	TBK1	oboInOwl:hasRelatedSynonym	civic.gid
TBK1	civic.gid:11322	TBK1	rdfs:label	civic.gid
B7-H	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
B7H1	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
PD-L1	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
PDCD1L1	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
PDCD1LG1	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
PDL1	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
hPD-L1	civic.gid:11335	CD274	oboInOwl:hasRelatedSynonym	civic.gid
CD274	civic.gid:11335	CD274	rdfs:label	civic.gid
CAMEL	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
CT2	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
CT6.2	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
CT6.2a	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
CT6.2b	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
ESO2	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
LAGE-1	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
LAGE2B	civic.gid:11492	CTAG2	oboInOwl:hasRelatedSynonym	civic.gid
CTAG2	civic.gid:11492	CTAG2	rdfs:label	civic.gid
AIID	civic.gid:11587	FOXP3	oboInOwl:hasRelatedSynonym	civic.gid
DIETER	civic.gid:11587	FOXP3	oboInOwl:hasRelatedSynonym	civic.gid
IPEX	civic.gid:11587	FOXP3	oboInOwl:hasRelatedSynonym	civic.gid
JM2	civic.gid:11587	FOXP3	oboInOwl:hasRelatedSynonym	civic.gid
PIDX	civic.gid:11587	FOXP3	oboInOwl:hasRelatedSynonym	civic.gid
XPID	civic.gid:11587	FOXP3	oboInOwl:hasRelatedSynonym	civic.gid
FOXP3	civic.gid:11587	FOXP3	rdfs:label	civic.gid
MRT2	civic.gid:11761	CRBN	oboInOwl:hasRelatedSynonym	civic.gid
MRT2A	civic.gid:11761	CRBN	oboInOwl:hasRelatedSynonym	civic.gid
CRBN	civic.gid:11761	CRBN	rdfs:label	civic.gid
SFTA5	civic.gid:11781	CLDN18	oboInOwl:hasRelatedSynonym	civic.gid
SFTPJ	civic.gid:11781	CLDN18	oboInOwl:hasRelatedSynonym	civic.gid
CLDN18	civic.gid:11781	CLDN18	rdfs:label	civic.gid
DD5	civic.gid:11900	UBR5	oboInOwl:hasRelatedSynonym	civic.gid
EDD	civic.gid:11900	UBR5	oboInOwl:hasRelatedSynonym	civic.gid
EDD1	civic.gid:11900	UBR5	oboInOwl:hasRelatedSynonym	civic.gid
HYD	civic.gid:11900	UBR5	oboInOwl:hasRelatedSynonym	civic.gid
UBR5	civic.gid:11900	UBR5	rdfs:label	civic.gid
CBP	civic.gid:1193	CREBBP	oboInOwl:hasRelatedSynonym	civic.gid
KAT3A	civic.gid:1193	CREBBP	oboInOwl:hasRelatedSynonym	civic.gid
RSTS	civic.gid:1193	CREBBP	oboInOwl:hasRelatedSynonym	civic.gid
RSTS1	civic.gid:1193	CREBBP	oboInOwl:hasRelatedSynonym	civic.gid
MKHK1	civic.gid:1193	CREBBP	oboInOwl:hasRelatedSynonym	civic.gid
CREBBP	civic.gid:1193	CREBBP	rdfs:label	civic.gid
ABS	civic.gid:11932	DDX41	oboInOwl:hasRelatedSynonym	civic.gid
MPLPF	civic.gid:11932	DDX41	oboInOwl:hasRelatedSynonym	civic.gid
DDX41	civic.gid:11932	DDX41	rdfs:label	civic.gid
MCPH12	civic.gid:12	CDK6	oboInOwl:hasRelatedSynonym	civic.gid
PLSTIRE	civic.gid:12	CDK6	oboInOwl:hasRelatedSynonym	civic.gid
CDK6	civic.gid:12	CDK6	rdfs:label	civic.gid
CRKL	civic.gid:1204	CRKL	rdfs:label	civic.gid
PRO1280	civic.gid:12074	SUFU	oboInOwl:hasRelatedSynonym	civic.gid
SUFUH	civic.gid:12074	SUFU	oboInOwl:hasRelatedSynonym	civic.gid
SUFUXL	civic.gid:12074	SUFU	oboInOwl:hasRelatedSynonym	civic.gid
JBTS32	civic.gid:12074	SUFU	oboInOwl:hasRelatedSynonym	civic.gid
BCNS2	civic.gid:12074	SUFU	oboInOwl:hasRelatedSynonym	civic.gid
SUFU	civic.gid:12074	SUFU	rdfs:label	civic.gid
CRK7	civic.gid:12112	CDK12	oboInOwl:hasRelatedSynonym	civic.gid
CRKR	civic.gid:12112	CDK12	oboInOwl:hasRelatedSynonym	civic.gid
CRKRS	civic.gid:12112	CDK12	oboInOwl:hasRelatedSynonym	civic.gid
CDK12	civic.gid:12112	CDK12	rdfs:label	civic.gid
HBXAP	civic.gid:12121	RSF1	oboInOwl:hasRelatedSynonym	civic.gid
RSF-1	civic.gid:12121	RSF1	oboInOwl:hasRelatedSynonym	civic.gid
XAP8	civic.gid:12121	RSF1	oboInOwl:hasRelatedSynonym	civic.gid
p325	civic.gid:12121	RSF1	oboInOwl:hasRelatedSynonym	civic.gid
RSF1	civic.gid:12121	RSF1	rdfs:label	civic.gid
CTIP1	civic.gid:12133	BCL11A	oboInOwl:hasRelatedSynonym	civic.gid
EVI9	civic.gid:12133	BCL11A	oboInOwl:hasRelatedSynonym	civic.gid
HBFQTL5	civic.gid:12133	BCL11A	oboInOwl:hasRelatedSynonym	civic.gid
ZNF856	civic.gid:12133	BCL11A	oboInOwl:hasRelatedSynonym	civic.gid
DILOS	civic.gid:12133	BCL11A	oboInOwl:hasRelatedSynonym	civic.gid
SMARCM1	civic.gid:12133	BCL11A	oboInOwl:hasRelatedSynonym	civic.gid
BCL11A	civic.gid:12133	BCL11A	rdfs:label	civic.gid
LRP-DIT	civic.gid:12146	LRP1B	oboInOwl:hasRelatedSynonym	civic.gid
LRPDIT	civic.gid:12146	LRP1B	oboInOwl:hasRelatedSynonym	civic.gid
LRP-1B	civic.gid:12146	LRP1B	oboInOwl:hasRelatedSynonym	civic.gid
LRP1B	civic.gid:12146	LRP1B	rdfs:label	civic.gid
GENE-33	civic.gid:12271	ERRFI1	oboInOwl:hasRelatedSynonym	civic.gid
MIG-6	civic.gid:12271	ERRFI1	oboInOwl:hasRelatedSynonym	civic.gid
MIG6	civic.gid:12271	ERRFI1	oboInOwl:hasRelatedSynonym	civic.gid
RALT	civic.gid:12271	ERRFI1	oboInOwl:hasRelatedSynonym	civic.gid
ERRFI1	civic.gid:12271	ERRFI1	rdfs:label	civic.gid
CSF-1	civic.gid:1234	CSF1	oboInOwl:hasRelatedSynonym	civic.gid
MCSF	civic.gid:1234	CSF1	oboInOwl:hasRelatedSynonym	civic.gid
PG-M-CSF	civic.gid:1234	CSF1	oboInOwl:hasRelatedSynonym	civic.gid
CSF1	civic.gid:1234	CSF1	rdfs:label	civic.gid
ECSM4	civic.gid:12367	ROBO4	oboInOwl:hasRelatedSynonym	civic.gid
MRB	civic.gid:12367	ROBO4	oboInOwl:hasRelatedSynonym	civic.gid
AOVD3	civic.gid:12367	ROBO4	oboInOwl:hasRelatedSynonym	civic.gid
ROBO4	civic.gid:12367	ROBO4	rdfs:label	civic.gid
CD114	civic.gid:1239	CSF3R	oboInOwl:hasRelatedSynonym	civic.gid
GCSFR	civic.gid:1239	CSF3R	oboInOwl:hasRelatedSynonym	civic.gid
SCN7	civic.gid:1239	CSF3R	oboInOwl:hasRelatedSynonym	civic.gid
CSF3R	civic.gid:1239	CSF3R	rdfs:label	civic.gid
BILIQTL1	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
GNT1	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
HUG-BR1	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
UDPGT	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
UDPGT 1-1	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
UGT1	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
UGT1A	civic.gid:12422	UGT1A1	oboInOwl:hasRelatedSynonym	civic.gid
UGT1A1	civic.gid:12422	UGT1A1	rdfs:label	civic.gid
ANOP2	civic.gid:12555	BCOR	oboInOwl:hasRelatedSynonym	civic.gid
MAA2	civic.gid:12555	BCOR	oboInOwl:hasRelatedSynonym	civic.gid
MCOPS2	civic.gid:12555	BCOR	oboInOwl:hasRelatedSynonym	civic.gid
BCOR	civic.gid:12555	BCOR	rdfs:label	civic.gid
FAAP43	civic.gid:12754	FANCL	oboInOwl:hasRelatedSynonym	civic.gid
PHF9	civic.gid:12754	FANCL	oboInOwl:hasRelatedSynonym	civic.gid
POG	civic.gid:12754	FANCL	oboInOwl:hasRelatedSynonym	civic.gid
FANCL	civic.gid:12754	FANCL	rdfs:label	civic.gid
CT6.1	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
CTAG	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
CTAG1	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
ESO1	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
LAGE-2	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
LAGE2B	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
NY-ESO-1	civic.gid:1278	CTAG1B	oboInOwl:hasRelatedSynonym	civic.gid
CTAG1B	civic.gid:1278	CTAG1B	rdfs:label	civic.gid
ACTA	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
ASMA	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CFTD	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CFTD1	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CFTDM	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
MPFD	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
NEM1	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
NEM2	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
NEM3	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
SHPM	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CMYP2A	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CMYP2B	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CMYP2C	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CMYO2A	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CMYO2B	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
CMYO2C	civic.gid:128	ACTA1	oboInOwl:hasRelatedSynonym	civic.gid
ACTA1	civic.gid:128	ACTA1	rdfs:label	civic.gid
HCS24	civic.gid:1283	CCN2	oboInOwl:hasRelatedSynonym	civic.gid
IGFBP8	civic.gid:1283	CCN2	oboInOwl:hasRelatedSynonym	civic.gid
NOV2	civic.gid:1283	CCN2	oboInOwl:hasRelatedSynonym	civic.gid
CTGF	civic.gid:1283	CCN2	oboInOwl:hasRelatedSynonym	civic.gid
IBP-8	civic.gid:1283	CCN2	oboInOwl:hasRelatedSynonym	civic.gid
CCN2	civic.gid:1283	CCN2	rdfs:label	civic.gid
ALPS5	civic.gid:1285	CTLA4	oboInOwl:hasRelatedSynonym	civic.gid
CD	civic.gid:1285	CTLA4	oboInOwl:hasRelatedSynonym	civic.gid
CD152	civic.gid:1285	CTLA4	oboInOwl:hasRelatedSynonym	civic.gid
CELIAC3	civic.gid:1285	CTLA4	oboInOwl:hasRelatedSynonym	civic.gid
