subject_id	object_id	predicate_id	mapping_justification
civic.gid:1	NCBIGene:238	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:10	NCBIGene:896	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:10024	NCBIGene:26040	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:101	NCBIGene:27	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:10239	NCBIGene:26528	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:10573	NCBIGene:27250	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11	NCBIGene:898	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11261	NCBIGene:28986	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11289	NCBIGene:29072	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11314	NCBIGene:29102	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11322	NCBIGene:29110	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11335	NCBIGene:29126	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11492	NCBIGene:30848	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11587	NCBIGene:50943	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11761	NCBIGene:51185	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11781	NCBIGene:51208	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11900	NCBIGene:51366	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:1193	NCBIGene:1387	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:11932	NCBIGene:51428	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:12	NCBIGene:1021	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:1204	NCBIGene:1399	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:12074	NCBIGene:51684	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:12112	NCBIGene:51755	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:12121	NCBIGene:51773	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:12133	NCBIGene:53335	skos:exactMatch	semapv:UnspecifiedMatching
civic.gid:12146	NCBIGene:53353	skos:exactMatch	semapv:UnspecifiedMatching
