subject_id	object_id	predicate_id	mapping_justification
complexportal:CPX-1	reactome:R-HSA-9736938	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1	reactome:R-HSA-9736929	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-10001	flybase:FBgg0001952	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1001	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1001	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1001	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1002	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1002	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1002	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-10021	reactome:R-HSA-9033095	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1003	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1003	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1003	reactome:R-HSA-2025947	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1003	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1004	eccode:2.3.1.48	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1004	reactome:R-HSA-3662306	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1004	rhea:45948	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-10041	reactome:R-HSA-8848398	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1005	pdb:4u7u	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1005	pdb:5h9f	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1005	pdb:5cd4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1005	pdb:5h9e	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1005	pdb:4tvw	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1005	pdb:4qyz	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1006	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1006	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1006	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1007	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1007	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1007	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1008	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1008	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1008	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1009	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1009	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1009	reactome:R-HSA-2025947	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1009	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-101	pdb:1ya5	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1010	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1010	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1010	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-10101	reactome:R-HSA-8848369	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1011	rhea:20629	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1011	rhea:47004	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1011	eccode:3.1.3.16	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1012	reactome:R-HSA-2672030	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1012	matrixdb:MULT_20_human	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1013	matrixdb:MULT_20_mouse	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1014	matrixdb:MULT_21_human	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1014	reactome:R-HSA-2681754	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-10161	reactome:R-HSA-449069	oboinowl:hasDbXref	sempav:UnspecifiedMatching
complexportal:CPX-1017	eccode:3.6.5.2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
