identifier	name	definition	synonyms	alts	parents	species
CPX-1	SMAD2-SMAD3-SMAD4 complex	A transcription factor complex which binds to the promoters of target genes and recruits co-activators and histone acetyltransferases, such as p300, CBP and P300/CBP-associated factor, facilitating transcription. In response to TGF-beta/activin-family protein binding, TGF-beta type II receptors phosphorylate TGF-beta type I receptors (ALK4, 5 and 7) which in turn phosphorylates SMAD2 on two Ser-465 and Ser-467, and SMAD3 on Ser-423 and Ser-425. This enables binding to SMAD4 to form heteromeric SMAD complexes that enter the nucleus to initiate gene transcription. Because of their relatively low DNA-binding affinity, SMAD complexes interact with a wide variety of DNA-binding proteins. Crosstalk with other signalling pathways and interaction with other DNA-binding cofactors define the specific binding patterns of SMADs; in addition, interaction with coactivators/corepressors modulates their transcriptional activity.	SMAD2/SMAD3/SMAD4 transcription factor complex		go:0032991	ncbitaxon:9606
CPX-10	SMAD2-SMAD3-SMAD4 complex	A transcription factor complex which binds to the promoters of target genes and recruits co-activators and histone acetyltransferases, such as p300, CBP and P300/CBP-associated factor, facilitating transcription. In response to TGF-beta/activin-family protein binding, TGF-beta type II receptors phosphorylate TGF-beta type I receptors (ALK4, 5 and 7) which in turn phosphorylates SMAD2 on two Ser-465 and Ser-467. and Smad3 on Ser-423 and Ser-425. This enables binding to SMAD4 to form heteromeric Smad complexes that enter the nucleus to initiate gene transcription. Because of their relatively low DNA-binding affinity, Smad complexes interact with a wide variety of DNA-binding proteins. Crosstalk with other signaling pathways and interaction with other DNA-binding cofactors define the specific binding patterns of Smads; in addition, interaction with coactivators/corepressors modulates their transcriptional activity.	SMAD2/SMAD3/SMAD4 transcription factor complex		go:0032991	ncbitaxon:10090
CPX-100	Cathepsin-B - cystatin-A complex	Complex of cathepsin-B with its inhibitor cystatin-A. Cystatin displaces the occluding loop in the catalytic cleft thus inhibiting the enzyme's peptidase activity.			go:0032991	ncbitaxon:10090
CPX-1000	Rde-10/Rde-11 complex	The complex interacts with primary siRNA bound target mRNA and is required for the small interfering RNA (siRNA) amplification which triggers RNA interference (RNAi)-induced mRNA degradation. Required in the endogenous and exogenous siRNA pathways for the biogenesis and accumulation of secondary siRNA intermediates, such as 22G-siRNAs derived from ergo-1 targets. These potentiate the silencing effect of primary siRNAs at low dsRNA concentrations. The complex thus links the amplification of the RNAi response to the initial processing and utilization of the exogenous dsRNA trigger			go:0032991	ncbitaxon:6239
CPX-10001	Peroxisomal PEX13-PEX14 docking complex	Facilitates the peroxoisomal-membrane docking of cargo-loaded, peroxisomal targeting signal type 1 (PTS1) and PTS2 proteins. Proteins designated for peroxisomes are synthezised on cytosolic ribosomes and are recognised by the receptor PEX5 (O46085) via their PTS1 or PEX7 (Q9VSN7) via their PTS2 The receptor-cargo-complex bind to the docking-complex at the peroxisomal membrane. It is assumed that the binding between the docking complex and cargo-loaded receptors leads to the formation of a transient pore.	Peroxisomal docking and translocation complex		go:0032991	ncbitaxon:7227
CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	A calcium-dependent, calmodulin-stimulated protein phosphatase complex that is activated by elevated cytoplasmic calcium ion concentrations. Important for many cellular activities such as homeostasis, angiogenesis, myogenesis, adipogenesis, osteogenesis, chondrocyte differentiation, cardiovascular system development, pancreatic beta-cell proliferation, hair follicle cell differentiation and remodeling, and activities of cells of the immune. Plays a pivotal role during nervous system development and in various functions of mature central and peripheral nervous system. Regulates the NFAT signaling cascade by binding to and dephosphorylating NFAT leading to nuclear translocation of this larger complex and increasing the DNA-binding affinity of the NFAT family of transcription factors. Calcineurin also promotes nuclear retention of NFAT by masking nuclear export signals (NES) and preventing NES-dependent nuclear export. Altered calcineurin-NFAT activation can mediate both neuroprotective and neurodegenerative signals and is linked to pathological features of neurodegenerative diseases such as amyotrophic lateral sclerosis, Huntingtons, Parkinsons, and Alzheimers diseases. Modulates Ca2+-dependent inactivation (CDI) of voltage-gated L-type Ca2+ channels. CDI is initiated by Ca2+ binding to channel-associated calmodulin and subsequent activation of calcineurin, which is targeted to L channels by the A-kinase-anchoring protein AKAP5 (CPX-674). Channel activity is activated by phosphorylation of AKAP5-bound Protein Kinase A.	CALM1:PPP3CC:PPP3R1|CALM2:PPP3CC:PPP3R1|CALM3:PPP3CC:PPP3R1|CnA-CnB-Calm complex|PP2B complex|PP2BC-CANB1-CALM complex|Protein phosphatase 2B complex|Protein phosphatase 3 complex		go:0032991	ncbitaxon:9606
CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	A calcium-dependent, calmodulin-stimulated protein phosphatase complex that is activated by elevated cytoplasmic calcium ion concentrations. Important for many cellular activities such as homeostasis, angiogenesis, myogenesis, adipogenesis, osteogenesis, chondrocyte differentiation, cardiovascular system development, pancreatic beta-cell proliferation, hair follicle cell differentiation and remodeling, and activities of cells of the immune. Plays a pivotal role during nervous system development and in various functions of mature central and peripheral nervous system. Regulates the NFAT signaling cascade by binding to and dephosphorylating NFAT leading to nuclear translocation of this larger complex and increasing the DNA-binding affinity of the NFAT family of transcription factors. Calcineurin also promotes nuclear retention of NFAT by masking nuclear export signals (NES) and preventing NES-dependent nuclear export. Altered calcineurin-NFAT activation can mediate both neuroprotective and neurodegenerative signals and is linked to pathological features of neurodegenerative diseases such as amyotrophic lateral sclerosis, Huntingtons, Parkinsons, and Alzheimers diseases. Modulates Ca2+-dependent inactivation (CDI) of voltage-gated L-type Ca2+ channels. CDI is initiated by Ca2+ binding to channel-associated calmodulin and subsequent activation of calcineurin, which is targeted to L channels by the A-kinase-anchoring protein AKAP5 (CPX-674). Channel activity is activated by phosphorylation of AKAP5-bound Protein Kinase A.	CALM1:PPP3CB:PPP3R2|CALM2:PPP3CB:PPP3R2|CALM3:PPP3CB:PPP3R2|CnA-CnB-Calm complex|PP2B complex|PP2BB-CANB2-CALM complex|Protein phosphatase 2B complex|Protein phosphatase 3 complex		go:0032991	ncbitaxon:9606
CPX-10021	Peroxisomal PEX13-PEX14 docking complex	Facilitates the peroxoisomal-membrane docking of cargo-loaded, peroxisomal targeting signal type 1 (PTS1) and PTS2 proteins. Proteins designated for peroxisomes are synthezised on cytosolic ribosomes and are recognised by the receptor PEX5 (P50542) via their PTS1 or PTS2 region. The receptor-cargo-complexes bind to the docking-complex at the peroxisomal membrane. It is assumed that the binding between the docking complex and cargo-loaded receptors leads to the formation of a transient pore.			go:0032991	ncbitaxon:9606
CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	A calcium-dependent, calmodulin-stimulated protein phosphatase complex that is activated by elevated cytoplasmic calcium ion concentrations. Important for many cellular activities such as homeostasis, angiogenesis, myogenesis, adipogenesis, osteogenesis, chondrocyte differentiation, cardiovascular system development, pancreatic beta-cell proliferation, hair follicle cell differentiation and remodeling, and activities of cells of the immune. Plays a pivotal role during nervous system development and in various functions of mature central and peripheral nervous system. Regulates the NFAT signaling cascade by binding to and dephosphorylating NFAT leading to nuclear translocation of this larger complex and increasing the DNA-binding affinity of the NFAT family of transcription factors. Calcineurin also promotes nuclear retention of NFAT by masking nuclear export signals (NES) and preventing NES-dependent nuclear export. Altered calcineurin-NFAT activation can mediate both neuroprotective and neurodegenerative signals and is linked to pathological features of neurodegenerative diseases such as amyotrophic lateral sclerosis, Huntingtons, Parkinsons, and Alzheimers diseases. Modulates Ca2+-dependent inactivation (CDI) of voltage-gated L-type Ca2+ channels. CDI is initiated by Ca2+ binding to channel-associated calmodulin and subsequent activation of calcineurin, which is targeted to L channels by the A-kinase-anchoring protein AKAP5 (CPX-674). Channel activity is activated by phosphorylation of AKAP5-bound Protein Kinase A.	CALM1:PPP3CA:PPP3R1|CALM2:PPP3CA:PPP3R1|CALM3:PPP3CA:PPP3R1|CnA-CnB-Calm complex|PP2B complex|PP2BA-CANB1-CALM complex|Protein phosphatase 2B complex|Protein phosphatase 3 complex		go:0032991	ncbitaxon:9606
CPX-1004	PCAF-containing ATAC complex	Histone acetyl transferase complex that plays a role in regulation of transcription of a specific group of genes by increasing the decompaction of chromatin to facilitate the access of transcription factors to promoter regions. It preferentially acetylates a single residue of Histone H3 (Lys-14) and only weakly acetylates Histone H4. Recruited to the promoters of the IE (immediate early) gene FOS (P01100), FOSL1 (P15407), EGR1 (P18146). The complex also regulates the activity of non-histone targets and orchestrates mitotic progression by regulating Cyclin A degradation through acetylation.Cyclin A/CDK2 kinase is essential for correct centrosome formation and inhibits SIRT2 (Q8IXJ6) function.	ADA2A-containing complex|ATAC complex|Ada two A containing complex|Ada2/PCAF/Ada3 transcription activator complex|KAT2B-containing ATAC complex|P-ATAC complex		go:0032991	ncbitaxon:9606
