subject_id	object_id	predicate_id	mapping_justification
complexportal:CPX-1	reactome:R-HSA-9736929	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1	reactome:R-HSA-9736938	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-10001	FlyBase:FBgg0001952	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1001	EC:3.1.3.16	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1001	rhea:20629	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1001	rhea:47004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1002	EC:3.1.3.16	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1002	rhea:20629	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1002	rhea:47004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-10021	reactome:R-HSA-9033095	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1003	EC:3.1.3.16	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1003	reactome:R-HSA-2025947	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1003	rhea:20629	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1003	rhea:47004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1004	EC:2.3.1.48	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1004	reactome:R-HSA-3662306	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1004	rhea:45948	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-10041	reactome:R-HSA-8848398	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1005	pdb:4qyz	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1005	pdb:4tvw	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1005	pdb:4u7u	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1005	pdb:5cd4	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1005	pdb:5h9e	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1005	pdb:5h9f	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
complexportal:CPX-1006	EC:3.1.3.16	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
