text	curie	name	predicate	provenance	source
SMAD2/SMAD3/SMAD4 transcription factor complex	complexportal:CPX-1	SMAD2-SMAD3-SMAD4 complex	oboInOwl:hasRelatedSynonym		complexportal
SMAD2-SMAD3-SMAD4 complex	complexportal:CPX-1	SMAD2-SMAD3-SMAD4 complex	rdfs:label	pubmed:16322555,pubmed:35359452	complexportal
SMAD2/SMAD3/SMAD4 transcription factor complex	complexportal:CPX-10	SMAD2-SMAD3-SMAD4 complex	oboInOwl:hasRelatedSynonym		complexportal
SMAD2-SMAD3-SMAD4 complex	complexportal:CPX-10	SMAD2-SMAD3-SMAD4 complex	rdfs:label	pubmed:16322555,pubmed:35359452	complexportal
Cathepsin-B - cystatin-A complex	complexportal:CPX-100	Cathepsin-B - cystatin-A complex	rdfs:label		complexportal
Rde-10/Rde-11 complex	complexportal:CPX-1000	Rde-10/Rde-11 complex	rdfs:label	pubmed:22508728,pubmed:22542102	complexportal
Peroxisomal docking and translocation complex	complexportal:CPX-10001	Peroxisomal PEX13-PEX14 docking complex	oboInOwl:hasRelatedSynonym		complexportal
Peroxisomal PEX13-PEX14 docking complex	complexportal:CPX-10001	Peroxisomal PEX13-PEX14 docking complex	rdfs:label	pubmed:22758915	complexportal
PP2BC-CANB1-CALM complex	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 2B complex	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CC:PPP3R1	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CC:PPP3R1	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CC:PPP3R1	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, gamma-R1 variant	complexportal:CPX-1001	Calcineurin-Calmodulin complex, gamma-R1 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
