subject_id	object_id	predicate_id	mapping_justification
cpt:90281	cvx:86	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90283	cvx:87	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90287	cvx:27	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90291	cvx:29	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90296	cvx:12	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90371	cvx:30	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90375	cvx:34	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90376	cvx:34	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90378	cvx:93	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90380	cvx:306	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90381	cvx:307	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90389	cvx:13	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90393	cvx:79	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90396	cvx:36	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90470	cvx:128	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90476	cvx:54	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90477	cvx:55	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90581	cvx:24	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90581	cvx:318	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90585	cvx:19	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90589	cvx:317	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90611	cvx:206	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90619	cvx:203	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90620	cvx:163	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90621	cvx:162	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90622	cvx:75	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90623	cvx:316	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90625	cvx:174	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90626	cvx:223	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90627	cvx:224	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90630	cvx:166	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90632	cvx:52	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90633	cvx:83	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90634	cvx:84	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90636	cvx:104	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90644	cvx:148	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90645	cvx:47	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90646	cvx:46	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90647	cvx:49	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90648	cvx:48	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90649	cvx:62	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90650	cvx:118	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90651	cvx:165	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90653	cvx:168	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90654	cvx:144	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90656	cvx:140	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90657	cvx:141	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90658	cvx:141	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90659	cvx:16	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90660	cvx:111	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90661	cvx:153	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
cpt:90661	cvx:320	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
