text	curie	name	predicate	source
IG	cpt:90281	IG	rdfs:label	cpt
IGIV	cpt:90283	IGIV	rdfs:label	cpt
botulinum antitoxin	cpt:90287	botulinum antitoxin	rdfs:label	cpt
CMVIG	cpt:90291	CMVIG	rdfs:label	cpt
diphtheria antitoxin	cpt:90296	diphtheria antitoxin	rdfs:label	cpt
HBIG	cpt:90371	HBIG	rdfs:label	cpt
RIG	cpt:90375	RIG	rdfs:label	cpt
RIG	cpt:90376	RIG	rdfs:label	cpt
RSV-MAb	cpt:90378	RSV-MAb	rdfs:label	cpt
RSV, mAb, nirsevimab-alip, 0.5 mL, neonate to 24 months	cpt:90380	RSV, mAb, nirsevimab-alip, 0.5 mL, neonate to 24 months	rdfs:label	cpt
RSV, mAb, nirsevimab-alip, 1 mL, neonate to 24 months	cpt:90381	RSV, mAb, nirsevimab-alip, 1 mL, neonate to 24 months	rdfs:label	cpt
RSV, mAb, clesrovimab-cfor, 0.7 mL, neonate and infant, PF	cpt:90382	RSV, mAb, clesrovimab-cfor, 0.7 mL, neonate and infant, PF	rdfs:label	cpt
TIG	cpt:90389	TIG	rdfs:label	cpt
vaccinia immune globulin	cpt:90393	vaccinia immune globulin	rdfs:label	cpt
VZIG	cpt:90396	VZIG	rdfs:label	cpt
Novel Influenza-H1N1-09, all formulations	cpt:90470	Novel Influenza-H1N1-09, all formulations	rdfs:label	cpt
adenovirus, type 4	cpt:90476	adenovirus, type 4	rdfs:label	cpt
adenovirus, type 7	cpt:90477	adenovirus, type 7	rdfs:label	cpt
Anthrax, post-exposure prophylaxis	cpt:90581	Anthrax, post-exposure prophylaxis	rdfs:label	cpt
Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis	cpt:90581	Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis	rdfs:label	cpt
BCG	cpt:90585	BCG	rdfs:label	cpt
dengue fever tetravalent	cpt:90587	dengue fever tetravalent	rdfs:label	cpt
Chikungunya live attenuated vaccine, 0.5 mL, PF	cpt:90589	Chikungunya live attenuated vaccine, 0.5 mL, PF	rdfs:label	cpt
Chikungunya, VLP, recombinant, 0.8 mL, PF	cpt:90593	Chikungunya, VLP, recombinant, 0.8 mL, PF	rdfs:label	cpt
Vaccinia, smallpox Mpox vaccine live, PF, SQ or ID injection	cpt:90611	Vaccinia, smallpox Mpox vaccine live, PF, SQ or ID injection	rdfs:label	cpt
meningococcal conjugate quadrivalent, MenACWY-TT (MCV4)	cpt:90619	meningococcal conjugate quadrivalent, MenACWY-TT (MCV4)	rdfs:label	cpt
meningococcal B, OMV	cpt:90620	meningococcal B, OMV	rdfs:label	cpt
