identifier	name	definition	synonyms	alts	parents	species
90281	IG	Immune globulin (Ig), human, for intramuscular use				
90283	IGIV	Immune globulin (IgIV), human, for intravenous use				
90287	botulinum antitoxin	Botulinum antitoxin, equine, any route				
90291	CMVIG	Cytomegalovirus immune globulin (CMV-IgIV), human, for intravenous use				
90296	diphtheria antitoxin	Diphtheria antitoxin, equine, any route				
90371	HBIG	Hepatitis B immune globulin (HBIg), human, for intramuscular use				
90375	RIG	Rabies immune globulin (RIg), human, for intramuscular and/or subcutaneous use				
90376	RIG	Rabies immune globulin, heat-treated (RIg-HT), human, for intramuscular and/or subcutaneous use				
90378	RSV-MAb	Respiratory syncytial virus, monoclonal antibody, recombinant, for intramuscular use, 50 mg, each				
90380	RSV, mAb, nirsevimab-alip, 0.5 mL, neonate to 24 months	Respiratory syncytial virus, monoclonal antibody, seasonal dose; 0.5 mL dosage, for intramuscular use				
90381	RSV, mAb, nirsevimab-alip, 1 mL, neonate to 24 months	Respiratory syncytial virus, monoclonal antibody, seasonal dose; 1 mL dosage, for intramuscular use				
90382	RSV, mAb, clesrovimab-cfor, 0.7 mL, neonate and infant, PF	Respiratory syncytial virus, monoclonal antibody, seasonal dose, 0.7 mL, for intramuscular use				
90389	TIG	Tetanus immune globulin (TIg), human, for intramuscular use				
90393	vaccinia immune globulin	Vaccinia immune globulin, human, for intramuscular use				
90396	VZIG	Varicella-zoster immune globulin, human, for intramuscular use				
90470	Novel Influenza-H1N1-09, all formulations	H1N1 immunization administration (intramuscular, intranasal), including counseling when performed				
90476	adenovirus, type 4	Adenovirus vaccine, type 4, live, for oral use				
90477	adenovirus, type 7	Adenovirus vaccine, type 7, live, for oral use				
90581	Anthrax, post-exposure prophylaxis	Anthrax vaccine, for subcutaneous or intramuscular use				
90581	Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis	Anthrax vaccine, for subcutaneous or intramuscular use				
90585	BCG	Bacillus Calmette-Guerin vaccine (BCG) for tuberculosis, live, for percutaneous use				
90587	dengue fever tetravalent	Dengue vaccine, quadrivalent, live, 3 dose schedule, for subcutaneous use				
90589	Chikungunya live attenuated vaccine, 0.5 mL, PF	Chikungunya virus vaccine, live attenuated, for intramuscular use				
90593	Chikungunya, VLP, recombinant, 0.8 mL, PF	Chikungunya virus vaccine, recombinant, for intramuscular use				
90611	Vaccinia, smallpox Mpox vaccine live, PF, SQ or ID injection	Smallpox and monkeypox vaccine, attenuated vaccinia virus, live, non-replicating, preservative free, 0.5 mL dosage, suspension, for subcutaneous use				
90619	meningococcal conjugate quadrivalent, MenACWY-TT (MCV4)	Meningococcal conjugate vaccine, serogroups A, C, W, Y, quadrivalent, tetanus toxoid carrier (MenACWY-TT), for intramuscular use				
90620	meningococcal B, OMV	Meningococcal recombinant protein and outer membrane vesicle vaccine, serogroup B (MenB-4C), for intramuscular use				
90621	meningococcal B, recombinant	Meningococcal recombinant lipoprotein vaccine, serogroup B (MenB-FHbp), 2 or 3 dose schedule, for intramuscular use				
90622	Vaccinia (smallpox, mpox), live	Vaccinia (smallpox) virus vaccine, live, lyophilized, 0.3 mL dosage, for percutaneous use				
90623	Meningococcal polysaccharide (MenACWY-TT conjugate), (MenB), PF	Meningococcal pentavalent vaccine, conjugated Men A, C, W, Y- tetanus toxoid carrier, and Men B-FHbp, for intramuscular use				
90624	Meningococcal oligosaccharide (MenACWY), (MenB), PF	Meningococcal pentavalent vaccine, Men B-4C recombinant proteins and outer membrane vesicle and conjugated Men A, C, W, Y-diphtheria toxoid carrier, for intramuscular use				
90625	cholera, live attenuated	Cholera vaccine, live, adult dosage, 1 dose schedule, for oral use				
90626	Tick-borne encephalitis, inactivated, PF, 0.25mL	Tick-borne encephalitis virus vaccine, inactivated; 0.25 mL dosage, for intramuscular use				
90627	Tick-borne encephalitis, inactivated, PF, 0.5mL	Tick-borne encephalitis virus vaccine, inactivated; 0.5 mL dosage, for intramuscular use				
90630	influenza, intradermal, quadrivalent, preservative free	Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, for intradermal use				
90632	Hep A, adult	Hepatitis A vaccine (HepA), adult dosage, for intramuscular use				
90633	Hep A, ped/adol, 2 dose	Hepatitis A vaccine (HepA), pediatric/adolescent dosage-2 dose schedule, for intramuscular use				
