text	curie	name	predicate	source
Conceptualization	credit:conceptualization	Conceptualization	rdfs:label	credit
Data curation	credit:data-curation	Data curation	rdfs:label	credit
Formal analysis	credit:formal-analysis	Formal analysis	rdfs:label	credit
Funding acquisition	credit:funding-acquisition	Funding acquisition	rdfs:label	credit
Investigation	credit:investigation	Investigation	rdfs:label	credit
Methodology	credit:methodology	Methodology	rdfs:label	credit
Project administration	credit:project-administration	Project administration	rdfs:label	credit
Resources	credit:resources	Resources	rdfs:label	credit
Software	credit:software	Software	rdfs:label	credit
Supervision	credit:supervision	Supervision	rdfs:label	credit
Validation	credit:validation	Validation	rdfs:label	credit
Visualization	credit:visualization	Visualization	rdfs:label	credit
Writing – original draft	credit:writing-original-draft	Writing – original draft	rdfs:label	credit
Writing – review & editing	credit:writing-review-editing	Writing – review & editing	rdfs:label	credit
