identifier	name	definition	synonyms	alts	parents	species
conceptualization	Conceptualization	Ideas; formulation or evolution of overarching research goals and aims.				
data-curation	Data curation	Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.				
formal-analysis	Formal analysis	Application of statistical, mathematical, computational, or other formal techniques to analyse or synthesize study data.				
funding-acquisition	Funding acquisition	Acquisition of the financial support for the project leading to this publication.				
investigation	Investigation	Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.				
methodology	Methodology	Development or design of methodology; creation of models.				
project-administration	Project administration	Management and coordination responsibility for the research activity planning and execution.				
resources	Resources	Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.				
software	Software	Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.				
supervision	Supervision	Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.				
validation	Validation	Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.				
visualization	Visualization	Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.				
writing-original-draft	Writing – original draft	Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).				
writing-review-editing	Writing – review & editing	Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision — including pre- or post-publication stages.				
