identifier	name	definition	synonyms	alts	parents	species
01	diphtheria, tetanus toxoids and pertussis vaccine		DTP			
02	trivalent poliovirus vaccine, live, oral		OPV		cvx:89	
03	measles, mumps and rubella virus vaccine		MMR		cvx:03	
04	measles and rubella virus vaccine		M/R		cvx:03	
05	measles virus vaccine		measles		cvx:03	
06	rubella virus vaccine		rubella		cvx:03	
07	mumps virus vaccine		mumps		cvx:03	
08	hepatitis B vaccine, pediatric or pediatric/adolescent dosage		Hep B, adolescent or pediatric		cvx:45	
09	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)		Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed		cvx:139	
10	poliovirus vaccine, inactivated		IPV		cvx:89	
100	pneumococcal conjugate vaccine, 7 valent		pneumococcal conjugate PCV 7		cvx:152	
101	typhoid Vi capsular polysaccharide vaccine		typhoid, ViCPs		cvx:91	
102	DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine		DTP-Hib-Hep B		cvx:107|cvx:17|cvx:45	
103	meningococcal C conjugate vaccine		meningococcal C conjugate		cvx:108	
104	hepatitis A and hepatitis B vaccine		Hep A-Hep B		cvx:45|cvx:85	
105	vaccinia (smallpox) vaccine, diluted		vaccinia (smallpox) diluted		cvx:75	
106	diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens		DTaP, 5 pertussis antigens		cvx:107	
107	diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation		DTaP, unspecified formulation		cvx:107	
108	meningococcal ACWY vaccine, unspecified formulation		meningococcal ACWY, unspecified formulation		cvx:108	
109	pneumococcal vaccine, unspecified formulation		pneumococcal, unspecified formulation		cvx:152|cvx:33	
11	pertussis vaccine		pertussis			
110	DTaP-hepatitis B and poliovirus vaccine		DTaP-Hep B-IPV		cvx:107|cvx:45|cvx:89	
111	Influenza, live, trivalent, intranasal				cvx:88	
112	tetanus toxoid, unspecified formulation					
113	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)		Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed		cvx:139	
114	meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)		meningococcal MCV4P		cvx:108	
115	tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed		Tdap		cvx:115	
