identifier	name	definition	synonyms	alts	parents	species
ACH-000001	NIH:OVCAR-3		NIHOVCAR3|OVCAR3			
ACH-000002	HL-60		HL60			
ACH-000003	CACO2		CACO2|CaCo-2			
ACH-000004	HEL		HEL			
ACH-000005	HEL 92.1.7		HEL9217			
ACH-000006	MONO-MAC-6		MONOMAC6			
ACH-000007	LS513		LS513			
ACH-000008	A101D		A101D			
ACH-000009	C2BBe1		C2BBE1			
ACH-000010	NCI-H2077		NCI-H1581|NCIH2077			
ACH-000011	253J		253J			
ACH-000012	HCC827		HCC827			
ACH-000013	ONCO-DG-1		ONCODG1			
ACH-000014	Hs 294T		A101D|HS294T|Hs 294.T			
ACH-000015	NCI-H1581		NCI-H2077|NCIH1581			
ACH-000016	SLR 21		SLR21			
ACH-000017	SK-BR-3		SKBR3			
ACH-000018	T24		T24			
ACH-000019	MCF7		MCF7			
ACH-000020	MHH-CALL-2		MHHCALL2			
ACH-000021	NCI-H1693		NCIH1693			
ACH-000022	PA-TU-8988S		PATU8988S			
ACH-000023	PA-TU-8988T		PATU8988T			
ACH-000024	OPM-2		OPM2			
ACH-000025	CH-157MN		CH157MN			
ACH-000026	253J-BV		253JBV			
ACH-000027	GOS-3		GOS3			
ACH-000028	KPL-1		KPL1			
ACH-000029	HCC-827-GR5		HCC827 GR5|HCC827GR5			
ACH-000030	PC-14		PC14			
ACH-000031	Panc 02.13		PANC0213			
ACH-000032	MHH-CALL-3		MHHCALL3			
ACH-000033	NCI-H1819		NCIH1819			
ACH-000034	PLB985		PLB-985			
ACH-000035	NCI-H1650		NCIH1650			
ACH-000036	U343		U343			
ACH-000037	S-117		S117			
ACH-000038	EHEB		EHEB			
ACH-000039	SK-N-MC		SKNMC			
ACH-000040	U-118 MG		U118MG			
ACH-000041	RD-ES		RDES			
ACH-000042	Panc 02.03		PANC0203			
ACH-000043	Hs 895.T		HS895T			
ACH-000044	MDA-MB-134-VI		MDAMB134VI			
ACH-000045	MV4;11		MV-4-11|MV411			
ACH-000046	ACHN		ACHN			
ACH-000047	GCIY		GCIY			
ACH-000048	TOV-112D		TOV112D			
ACH-000049	HEK TE		HEKTE			
ACH-000050	NCI-H929		NCIH929			
ACH-000051	TE 617.T		TE617T			
ACH-000052	A-673		A673			
ACH-000053	KARPAS-299		KARPAS299			
ACH-000054	HT-1080		HT1080			
ACH-000055	D283 Med		D283|D283MED			
ACH-000056	DOHH-2		DOHH2			
ACH-000057	OPM-1		OPM1			
ACH-000058	ML-1		ML1			
ACH-000059	SUP-B15		SUPB15			
ACH-000060	Panc 10.05		PANC1005			
ACH-000061	HH		HH			
ACH-000062	RERF-LC-MS		RERFLCMS			
