subject_id	object_id	predicate_id	mapping_justification
depmap:ACH-000001	cellosaurus:0465	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000001	cosmic.cell:905933	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000002	cellosaurus:0002	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000002	cosmic.cell:905938	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000003	cellosaurus:0025	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000004	cellosaurus:0001	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000004	cosmic.cell:907053	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000005	cellosaurus:2481	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000006	cellosaurus:1426	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000006	cosmic.cell:908148	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000007	cellosaurus:1386	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000007	cosmic.cell:907795	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000008	cellosaurus:1057	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000008	cosmic.cell:910921	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000009	cellosaurus:1096	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000009	cosmic.cell:910700	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000010	cellosaurus:5157	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000011	cellosaurus:7935	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000012	cellosaurus:2063	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000012	cosmic.cell:1240146	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000013	cellosaurus:1882	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000014	cellosaurus:0331	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000015	cellosaurus:1479	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000015	cosmic.cell:908471	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000016	cellosaurus:V607	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000017	cellosaurus:0033	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000018	cellosaurus:0554	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000018	cosmic.cell:724812	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000019	cellosaurus:0031	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000019	cosmic.cell:905946	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000020	cellosaurus:1409	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000020	cosmic.cell:908132	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000021	cellosaurus:1488	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000021	cosmic.cell:687802	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000022	cellosaurus:1846	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000023	cellosaurus:1847	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000023	cosmic.cell:1240201	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000024	cellosaurus:1625	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000024	cosmic.cell:909249	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000025	cellosaurus:5723	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000026	cellosaurus:7937	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000027	cellosaurus:2050	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000028	cellosaurus:2094	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000029	cellosaurus:V622	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000030	cellosaurus:1640	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000030	cosmic.cell:753608	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000031	cellosaurus:1634	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000032	cellosaurus:0089	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000033	cellosaurus:1497	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000034	cellosaurus:2162	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000035	cellosaurus:1483	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000035	cosmic.cell:687800	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000036	cellosaurus:4773	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000037	cellosaurus:1674	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000038	cellosaurus:1194	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000038	cosmic.cell:906854	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000039	cellosaurus:0530	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000040	cellosaurus:0633	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000040	cosmic.cell:687588	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000041	cellosaurus:2169	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000042	cellosaurus:1633	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000042	cosmic.cell:1298475	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000043	cellosaurus:0993	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000044	cellosaurus:0617	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000045	cellosaurus:0064	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000045	cosmic.cell:908156	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000046	cellosaurus:1067	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000046	cosmic.cell:905950	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000047	cellosaurus:1228	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000047	cosmic.cell:906869	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000048	cellosaurus:3612	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000048	cosmic.cell:1299070	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000049	cellosaurus:WS59	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000050	cellosaurus:1600	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000050	cosmic.cell:724825	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000051	cellosaurus:1755	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000052	cellosaurus:0080	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000052	cosmic.cell:684052	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000053	cellosaurus:1324	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000053	cosmic.cell:907273	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000054	cellosaurus:0317	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000054	cosmic.cell:907064	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000055	cellosaurus:1155	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000055	cosmic.cell:906834	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000056	cellosaurus:1179	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000056	cosmic.cell:906842	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000057	cellosaurus:5210	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000058	cellosaurus:H525	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000058	cosmic.cell:1240178	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000059	cellosaurus:0103	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000059	cosmic.cell:1247871	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000060	cellosaurus:1639	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000060	cosmic.cell:925348	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000061	cellosaurus:1280	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000061	cosmic.cell:907056	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000062	cellosaurus:1655	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000062	cosmic.cell:910931	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000063	cellosaurus:0825	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000064	cellosaurus:WS60	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000065	cellosaurus:1620	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000065	cosmic.cell:1330983	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000066	cellosaurus:1269	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000067	cellosaurus:0844	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000067	cosmic.cell:1240150	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000068	cellosaurus:1884	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000069	cellosaurus:0823	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000070	cellosaurus:0079	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000070	cosmic.cell:906800	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000071	cellosaurus:0863	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000072	cellosaurus:0425	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000072	cosmic.cell:908126	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000073	cellosaurus:1818	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000073	cosmic.cell:1303897	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000074	cellosaurus:0379	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000074	cosmic.cell:907311	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000075	cellosaurus:0022	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000075	cosmic.cell:687590	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000076	cellosaurus:3043	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000077	cellosaurus:1414	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000078	cellosaurus:1412	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000078	cosmic.cell:908135	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000079	cellosaurus:1740	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000080	cellosaurus:4613	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000081	cellosaurus:1230	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000081	cosmic.cell:906870	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000082	cellosaurus:2909	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000082	cosmic.cell:1290807	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000083	cellosaurus:0715	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000084	cellosaurus:1433	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000085	cellosaurus:4056	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000086	cellosaurus:5113	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000087	cellosaurus:0627	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000087	cosmic.cell:684072	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000088	cellosaurus:0660	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000089	cellosaurus:9980	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000090	cellosaurus:0035	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000090	cosmic.cell:905934	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000091	cellosaurus:2673	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000091	cosmic.cell:1480362	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000092	cellosaurus:1553	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000092	cosmic.cell:908462	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000093	cellosaurus:1637	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000094	cellosaurus:0313	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000094	cosmic.cell:724869	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000095	cellosaurus:0018	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000096	cellosaurus:0270	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000096	cosmic.cell:907299	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000097	cellosaurus:0588	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000098	cellosaurus:1226	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000098	cosmic.cell:906868	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000099	cellosaurus:1695	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000099	cosmic.cell:753620	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000100	cellosaurus:2176	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000100	cosmic.cell:1240210	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000101	cellosaurus:1327	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000101	cosmic.cell:907277	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000102	cellosaurus:1233	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000102	cosmic.cell:906873	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000103	cellosaurus:0202	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000103	cosmic.cell:949090	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000104	cellosaurus:1380	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000104	cosmic.cell:907789	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000105	cellosaurus:1805	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000105	cosmic.cell:1295740	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000106	cellosaurus:1319	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000106	cosmic.cell:907269	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000107	cellosaurus:0026	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000107	cosmic.cell:910915	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000108	cellosaurus:3005	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000108	cosmic.cell:1298219	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000109	cellosaurus:6831	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000110	cellosaurus:3055	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000111	cellosaurus:1247	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000111	cosmic.cell:749711	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000112	cellosaurus:1694	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000112	cosmic.cell:909715	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000113	cellosaurus:1619	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000113	cosmic.cell:910947	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000114	cellosaurus:3881	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000114	cosmic.cell:1240218	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000115	cellosaurus:2235	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000115	cosmic.cell:1299075	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000116	cellosaurus:1614	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000116	cosmic.cell:946360	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000117	cellosaurus:1812	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000117	cosmic.cell:1290798	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000118	cellosaurus:1299	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000118	cosmic.cell:907285	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000119	cellosaurus:0959	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000120	cellosaurus:1125	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000120	cosmic.cell:906820	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000121	cellosaurus:1551	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000121	cosmic.cell:687821	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000122	cellosaurus:2210	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000123	cellosaurus:2010	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000124	cellosaurus:1878	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000124	cosmic.cell:1330984	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000125	cellosaurus:3806	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000126	cellosaurus:2971	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000127	cellosaurus:V606	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000128	cellosaurus:3958	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000129	cellosaurus:1463	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000129	cosmic.cell:1330964	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000130	cellosaurus:1835	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000131	cellosaurus:0698	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000132	cellosaurus:4647	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000132	cosmic.cell:1479995	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000133	cellosaurus:0871	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000134	cellosaurus:0711	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000135	cellosaurus:1038	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000135	cosmic.cell:1298145	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000136	cellosaurus:1123	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000136	cosmic.cell:910567	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000137	cellosaurus:1052	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000137	cosmic.cell:687562	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000138	cellosaurus:1119	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000138	cosmic.cell:906821	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000139	cellosaurus:1635	skos:exactMatch	semapv:UnspecifiedMatching
depmap:ACH-000139	cosmic.cell:925346	skos:exactMatch	semapv:UnspecifiedMatching
