text	curie	name	predicate	source
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267178	DDB_G0267178_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267178_RTE	dictybase.gene:DDB_G0267178	DDB_G0267178_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1	dictybase.gene:DDB_G0267180	DDB_G0267180_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267180_RTE	dictybase.gene:DDB_G0267180	DDB_G0267180_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267182	DDB_G0267182_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267182_RTE	dictybase.gene:DDB_G0267182	DDB_G0267182_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267184	DDB_G0267184_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267184_RTE	dictybase.gene:DDB_G0267184	DDB_G0267184_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1 fragment	dictybase.gene:DDB_G0267186	DDB_G0267186_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267186_RTE	dictybase.gene:DDB_G0267186	DDB_G0267186_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267188	DDB_G0267188_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267188_RTE	dictybase.gene:DDB_G0267188	DDB_G0267188_RTE	rdfs:label	dictybase.gene
DDT-A	dictybase.gene:DDB_G0267190	DDB_G0267190_TE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267190_TE	dictybase.gene:DDB_G0267190	DDB_G0267190_TE	rdfs:label	dictybase.gene
DDB_G0267194	dictybase.gene:DDB_G0267194	DDB_G0267194	rdfs:label	dictybase.gene
DDB_G0267196	dictybase.gene:DDB_G0267196	DDB_G0267196	rdfs:label	dictybase.gene
DDB_G0267198	dictybase.gene:DDB_G0267198	DDB_G0267198	rdfs:label	dictybase.gene
DDT-B	dictybase.gene:DDB_G0267202	DDB_G0267202_TE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267202_TE	dictybase.gene:DDB_G0267202	DDB_G0267202_TE	rdfs:label	dictybase.gene
pseudogene	dictybase.gene:DDB_G0267204	DDB_G0267204_ps	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267204_ps	dictybase.gene:DDB_G0267204	DDB_G0267204_ps	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267206	DDB_G0267206_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267206_RTE	dictybase.gene:DDB_G0267206	DDB_G0267206_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1 fragment	dictybase.gene:DDB_G0267208	DDB_G0267208_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267208_RTE	dictybase.gene:DDB_G0267208	DDB_G0267208_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267210	DDB_G0267210_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267210_RTE	dictybase.gene:DDB_G0267210	DDB_G0267210_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1/ORF2/ORF3 fusion fragment	dictybase.gene:DDB_G0267212	DDB_G0267212_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267212_RTE	dictybase.gene:DDB_G0267212	DDB_G0267212_RTE	rdfs:label	dictybase.gene
DDB_G0267216	dictybase.gene:DDB_G0267216	DDB_G0267216	rdfs:label	dictybase.gene
DDB_G0267218	dictybase.gene:DDB_G0267218	DDB_G0267218	rdfs:label	dictybase.gene
DDB_G0267220	dictybase.gene:DDB_G0267220	DDB_G0267220	rdfs:label	dictybase.gene
DDB_G0267222	dictybase.gene:DDB_G0267222	DDB_G0267222	rdfs:label	dictybase.gene
DDB_G0267224	dictybase.gene:DDB_G0267224	DDB_G0267224	rdfs:label	dictybase.gene
DDB_G0267226	dictybase.gene:DDB_G0267226	DDB_G0267226	rdfs:label	dictybase.gene
DDT-B	dictybase.gene:DDB_G0267228	DDB_G0267228_TE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267228_TE	dictybase.gene:DDB_G0267228	DDB_G0267228_TE	rdfs:label	dictybase.gene
DDB_G0267230	dictybase.gene:DDB_G0267230	DDB_G0267230	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267236	DDB_G0267236_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267236_RTE	dictybase.gene:DDB_G0267236	DDB_G0267236_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1	dictybase.gene:DDB_G0267238	DDB_G0267238_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267238_RTE	dictybase.gene:DDB_G0267238	DDB_G0267238_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267240	DDB_G0267240_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267240_RTE	dictybase.gene:DDB_G0267240	DDB_G0267240_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1 fragment	dictybase.gene:DDB_G0267242	DDB_G0267242_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267242_RTE	dictybase.gene:DDB_G0267242	DDB_G0267242_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267244	DDB_G0267244_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267244_RTE	dictybase.gene:DDB_G0267244	DDB_G0267244_RTE	rdfs:label	dictybase.gene
DIRS1 ORF1	dictybase.gene:DDB_G0267246	DDB_G0267246_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267246_RTE	dictybase.gene:DDB_G0267246	DDB_G0267246_RTE	rdfs:label	dictybase.gene
DIRS1 ORF2 fragment	dictybase.gene:DDB_G0267248	DDB_G0267248_RTE	oboInOwl:hasRelatedSynonym	dictybase.gene
DDB_G0267248_RTE	dictybase.gene:DDB_G0267248	DDB_G0267248_RTE	rdfs:label	dictybase.gene
