identifier	name	definition	synonyms	alts	parents	species
DDB_G0267178	DDB_G0267178_RTE		DIRS1 ORF2 fragment			
DDB_G0267180	DDB_G0267180_RTE		DIRS1 ORF1			
DDB_G0267182	DDB_G0267182_RTE		DIRS1 ORF2 fragment			
DDB_G0267184	DDB_G0267184_RTE		DIRS1 ORF2 fragment			
DDB_G0267186	DDB_G0267186_RTE		DIRS1 ORF1 fragment			
DDB_G0267188	DDB_G0267188_RTE		DIRS1 ORF2 fragment			
DDB_G0267190	DDB_G0267190_TE		DDT-A			
DDB_G0267194	DDB_G0267194					
DDB_G0267196	DDB_G0267196					
DDB_G0267198	DDB_G0267198					
DDB_G0267202	DDB_G0267202_TE		DDT-B			
DDB_G0267204	DDB_G0267204_ps		pseudogene			
DDB_G0267206	DDB_G0267206_RTE		DIRS1 ORF2 fragment			
DDB_G0267208	DDB_G0267208_RTE		DIRS1 ORF1 fragment			
DDB_G0267210	DDB_G0267210_RTE		DIRS1 ORF2 fragment			
DDB_G0267212	DDB_G0267212_RTE		DIRS1 ORF1/ORF2/ORF3 fusion fragment			
DDB_G0267216	DDB_G0267216					
DDB_G0267218	DDB_G0267218					
DDB_G0267220	DDB_G0267220					
DDB_G0267222	DDB_G0267222					
DDB_G0267224	DDB_G0267224					
DDB_G0267226	DDB_G0267226					
DDB_G0267228	DDB_G0267228_TE		DDT-B			
DDB_G0267230	DDB_G0267230					
DDB_G0267236	DDB_G0267236_RTE		DIRS1 ORF2 fragment			
DDB_G0267238	DDB_G0267238_RTE		DIRS1 ORF1			
DDB_G0267240	DDB_G0267240_RTE		DIRS1 ORF2 fragment			
DDB_G0267242	DDB_G0267242_RTE		DIRS1 ORF1 fragment			
DDB_G0267244	DDB_G0267244_RTE		DIRS1 ORF2 fragment			
DDB_G0267246	DDB_G0267246_RTE		DIRS1 ORF1			
DDB_G0267248	DDB_G0267248_RTE		DIRS1 ORF2 fragment			
DDB_G0267250	DDB_G0267250_TE		DDT-B			
DDB_G0267252	DDB_G0267252					
DDB_G0267254	DDB_G0267254_ps		pseudogene			
DDB_G0267258	DDB_G0267258_RTE		DIRS1 ORF2 fragment			
DDB_G0267260	DDB_G0267260_RTE		DIRS1 ORF1			
DDB_G0267262	DDB_G0267262_RTE		DIRS1 ORF2 fragment			
DDB_G0267264	DDB_G0267264_RTE		DIRS1 ORF1 fragment			
DDB_G0267270	DDB_G0267270_RTE		DIRS1 ORF1 fragment			
