text	curie	name	predicate	source
nitric oxide	drugcentral:1	nitric oxide	rdfs:label	drugcentral
propiolactone	drugcentral:10	propiolactone	rdfs:label	drugcentral
ajmaline hydrochloride	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
ajmaline HCl	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
aritmina	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
rauverid	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
ajmaline	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
(+)-Ajmaline	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
ajmalin	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
cardiorythmine	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
gilurytmal	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
raugalline	drugcentral:100	methyl nicotinate	oboInOwl:hasRelatedSynonym	drugcentral
methyl nicotinate	drugcentral:100	methyl nicotinate	rdfs:label	drugcentral
emetine dihydrochloride	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
emetine hydrochloride	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
methylcephaeline	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
ipecine	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
emetine	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
(-)-Emetine	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
cephaeline methyl ether	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
emetin	drugcentral:1001	butanilicaine	oboInOwl:hasRelatedSynonym	drugcentral
butanilicaine	drugcentral:1001	butanilicaine	rdfs:label	drugcentral
emorfazone	drugcentral:1002	ganciclovir	oboInOwl:hasRelatedSynonym	drugcentral
nandron	drugcentral:1002	ganciclovir	oboInOwl:hasRelatedSynonym	drugcentral
pentoil	drugcentral:1002	ganciclovir	oboInOwl:hasRelatedSynonym	drugcentral
pentoyl	drugcentral:1002	ganciclovir	oboInOwl:hasRelatedSynonym	drugcentral
M 73101	drugcentral:1002	ganciclovir	oboInOwl:hasRelatedSynonym	drugcentral
M73101	drugcentral:1002	ganciclovir	oboInOwl:hasRelatedSynonym	drugcentral
ganciclovir	drugcentral:1002	ganciclovir	rdfs:label	drugcentral
emtricitabine	drugcentral:1003	pranoprofen	oboInOwl:hasRelatedSynonym	drugcentral
coviracil	drugcentral:1003	pranoprofen	oboInOwl:hasRelatedSynonym	drugcentral
emtriva	drugcentral:1003	pranoprofen	oboInOwl:hasRelatedSynonym	drugcentral
pranoprofen	drugcentral:1003	pranoprofen	rdfs:label	drugcentral
emylcamate	drugcentral:1004	ketorolac	oboInOwl:hasRelatedSynonym	drugcentral
3-Methyl-3-pentanol carbamate	drugcentral:1004	ketorolac	oboInOwl:hasRelatedSynonym	drugcentral
diethyl methyl carbinol urethan	drugcentral:1004	ketorolac	oboInOwl:hasRelatedSynonym	drugcentral
ketorolac	drugcentral:1004	ketorolac	rdfs:label	drugcentral
enalaprilat	drugcentral:1006	tenonitrozole	oboInOwl:hasRelatedSynonym	drugcentral
enalapril acid	drugcentral:1006	tenonitrozole	oboInOwl:hasRelatedSynonym	drugcentral
enalaprilate	drugcentral:1006	tenonitrozole	oboInOwl:hasRelatedSynonym	drugcentral
enalaprilic acid	drugcentral:1006	tenonitrozole	oboInOwl:hasRelatedSynonym	drugcentral
enalaprilat hydrate	drugcentral:1006	tenonitrozole	oboInOwl:hasRelatedSynonym	drugcentral
enalaprilat dihydrate	drugcentral:1006	tenonitrozole	oboInOwl:hasRelatedSynonym	drugcentral
tenonitrozole	drugcentral:1006	tenonitrozole	rdfs:label	drugcentral
encainide hydrochloride	drugcentral:1007	cetoxime	oboInOwl:hasRelatedSynonym	drugcentral
MJ 9067	drugcentral:1007	cetoxime	oboInOwl:hasRelatedSynonym	drugcentral
MJ-9067	drugcentral:1007	cetoxime	oboInOwl:hasRelatedSynonym	drugcentral
encainide	drugcentral:1007	cetoxime	oboInOwl:hasRelatedSynonym	drugcentral
