identifier	name	definition	synonyms	alts	parents	species
1	nitric oxide	A free radical gas produced endogenously by a variety of mammalian cells, synthesized from ARGININE by NITRIC OXIDE SYNTHASE. Nitric oxide is one of the ENDOTHELIUM-DEPENDENT RELAXING FACTORS released by the vascular endothelium and mediates VASODILATION. It also inhibits platelet aggregation, induces disaggregation of aggregated platelets, and inhibits platelet adhesion to the vascular endothelium. Nitric oxide activates cytosolic GUANYLATE CYCLASE and thus elevates intracellular levels of CYCLIC GMP. It has been shown to have in vitro activity against severe acute res-piratory syndrome corona-virus (SARS-CoV-1) but evidence supporting the use of inhaled nitric oxide in COVID-19 patients is currently limited.				
10	propiolactone	Disinfectant used in vapor form to sterilize vaccines, grafts, etc. The vapor is very irritating and the liquid form is carcinogenic.				
100	methyl nicotinate	erythema provoked is basis of a methylnicotinate test of anti-inflammatories	(+)-Ajmaline|ajmalin|ajmaline|ajmaline HCl|ajmaline hydrochloride|aritmina|cardiorythmine|gilurytmal|raugalline|rauverid			
1001	butanilicaine		(-)-Emetine|cephaeline methyl ether|emetin|emetine|emetine dihydrochloride|emetine hydrochloride|ipecine|methylcephaeline			
1002	ganciclovir	An ACYCLOVIR analog that is a potent inhibitor of the Herpesvirus family including cytomegalovirus. Ganciclovir is used to treat complications from AIDS-associated cytomegalovirus infections.	M 73101|M73101|emorfazone|nandron|pentoil|pentoyl			
1003	pranoprofen		coviracil|emtricitabine|emtriva			
1004	ketorolac	A pyrrolizine carboxylic acid derivative structurally related to INDOMETHACIN. It is a non-steroidal anti-inflammatory agent used for analgesia for postoperative pain and inhibits cyclooxygenase activity.	3-Methyl-3-pentanol carbamate|diethyl methyl carbinol urethan|emylcamate			
1006	tenonitrozole		enalapril acid|enalaprilat|enalaprilat dihydrate|enalaprilat hydrate|enalaprilate|enalaprilic acid			
1007	cetoxime		MJ 9067|MJ-9067|encainide|encainide hydrochloride			
1008	metralindole		BQ 22-708|BQ 22708|endralazine|endralazine mesilate|endralazine mesylate|miretilan			
1009	thiazosulfone		(+/-)-Enflurane|efrane|enflurane|ethrane|methylflurether			
101	salicylamide		DU-1219|alacepril|cenapride|cetapril			
1010	sulfathiazole	A sulfathiazole compound that is used as a short-acting anti-infective agent. It is no longer commonly used systemically due to its toxicity, but may still be applied topically in combination with other drugs for the treatment of vaginal and skin infections, and is still used in veterinary medicine.	enfuvirtide|fuzeon|pentafuside			
1011	tofenacin					
1012	phenyltoloxamine		behenoylcytosine arabinoside|enocitabine|sunrabin			
1013	diphenhydramine	A histamine H1 antagonist used as an antiemetic, antitussive, for dermatoses and pruritus, for hypersensitivity reactions, as a hypnotic, an antiparkinson, and as an ingredient in common cold preparations. It has some undesired antimuscarinic and sedative effects.	enofloxacin|enofloxacine|enoksetin|enoxacin|enoxacine			
1014	atomoxetine	A propylamine derivative and selective ADRENERGIC UPTAKE INHIBITOR that is used in the treatment of ATTENTION DEFICIT HYPERACTIVITY DISORDER.	enoximone|fenoximone			
1015	tripelennamine	A histamine H1 antagonist with low sedative action but frequent gastrointestinal irritation. It is used to treat ASTHMA; HAY FEVER; URTICARIA; and RHINITIS; and also in veterinary applications. Tripelennamine is administered by various routes, including topically.	3-Propylxanthine|enprofylline			
1016	dimemorfan		RS-84135|RS84135|camleed|enprostil|fundyl|gardrin|gardrine			
