subject_id	object_id	predicate_id	mapping_justification
EC:1.1.1.109	EC:1.3.1.28	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.139	EC:1.1.1.21	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.155	EC:1.1.1.87	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.158	EC:1.3.1.98	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.171	EC:1.5.1.20	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.180	EC:1.1.1.131	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.182	EC:1.1.1.198	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.182	EC:1.1.1.227	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.182	EC:1.1.1.228	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.204	EC:1.17.1.4	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.222	EC:1.1.1.110	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.242	EC:1.3.1.69	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.246	EC:1.1.1.348	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.246	EC:4.2.1.139	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.249	EC:2.5.1.46	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.253	EC:1.5.1.33	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.314	EC:1.14.14.95	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.32	EC:1.1.1.1	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.33	EC:1.1.1.2	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.5	EC:1.1.1.303	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.5	EC:1.1.1.304	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.63	EC:1.1.1.239	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.68	EC:1.5.1.20	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.70	EC:1.2.1.3	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.89	EC:1.1.1.86	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.n1	EC:1.1.1.305	IAO:0100001	semapv:UnspecifiedMatching
EC:1.1.1.n10	EC:1.1.1.301	IAO:0100001	semapv:UnspecifiedMatching
