text	curie	name	predicate	source
Oxidoreductases	ec:1	Oxidoreductases	rdfs:label	ec
Acting on the CH-OH group of donors	ec:1.1	Acting on the CH-OH group of donors	rdfs:label	ec
With NAD(+) or NADP(+) as acceptor	ec:1.1.1	With NAD(+) or NADP(+) as acceptor	rdfs:label	ec
aldehyde reductase	ec:1.1.1.1	alcohol dehydrogenase	oboInOwl:hasRelatedSynonym	ec
alcohol dehydrogenase	ec:1.1.1.1	alcohol dehydrogenase	rdfs:label	ec
L-xylulose reductase	ec:1.1.1.10	L-xylulose reductase	rdfs:label	ec
3-oxoacyl-[acyl-carrier-protein] reductase	ec:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	rdfs:label	ec
palmitoyldihydroxyacetone-phosphate reductase	ec:1.1.1.101	acylglycerone-phosphate reductase	oboInOwl:hasRelatedSynonym	ec
acylglycerone-phosphate reductase	ec:1.1.1.101	acylglycerone-phosphate reductase	rdfs:label	ec
3-ketosphinganine reductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
3-oxosphinganine:NADPH oxidoreductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
3-oxosphinganine reductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
D-3-dehydrosphinganine reductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
D-3-oxosphinganine:B-NADPH oxidoreductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
D-3-oxosphinganine reductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
DSR	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
KTS reductase	ec:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	ec
3-dehydrosphinganine reductase	ec:1.1.1.102	3-dehydrosphinganine reductase	rdfs:label	ec
TDH	ec:1.1.1.103	L-threonine 3-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
L-threonine 3-dehydrogenase	ec:1.1.1.103	L-threonine 3-dehydrogenase	rdfs:label	ec
cis-hydroxy-L-proline oxidase	ec:1.1.1.104	4-oxoproline reductase	oboInOwl:hasRelatedSynonym	ec
4-oxoproline reductase	ec:1.1.1.104	4-oxoproline reductase	rdfs:label	ec
all-trans-retinol dehydrogenase (NAD(+))	ec:1.1.1.105	all-trans-retinol dehydrogenase (NAD(+))	rdfs:label	ec
Panthothenase	ec:1.1.1.106	pantoate 4-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
pantoate 4-dehydrogenase	ec:1.1.1.106	pantoate 4-dehydrogenase	rdfs:label	ec
pyridoxal 4-dehydrogenase	ec:1.1.1.107	pyridoxal 4-dehydrogenase	rdfs:label	ec
carnitine 3-dehydrogenase	ec:1.1.1.108	carnitine 3-dehydrogenase	rdfs:label	ec
D-arabinitol 4-dehydrogenase	ec:1.1.1.11	D-arabinitol 4-dehydrogenase	rdfs:label	ec
(R)-4-hydroxyphenyllactate dehydrogenase	ec:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	ec
(R)-aromatic lactate dehydrogenase	ec:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	ec
indole-3-lactate dehydrogenase	ec:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	ec
indolelactate dehydrogenase	ec:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	ec
aromatic 2-oxoacid reductase	ec:1.1.1.110	aromatic 2-oxoacid reductase	rdfs:label	ec
3-(imidazol-5-yl)lactate dehydrogenase	ec:1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase	rdfs:label	ec
indanol dehydrogenase	ec:1.1.1.112	indanol dehydrogenase	rdfs:label	ec
L-xylose 1-dehydrogenase	ec:1.1.1.113	L-xylose 1-dehydrogenase	rdfs:label	ec
D-apiitol reductase	ec:1.1.1.114	apiose 1-reductase	oboInOwl:hasRelatedSynonym	ec
D-apiose reductase	ec:1.1.1.114	apiose 1-reductase	oboInOwl:hasRelatedSynonym	ec
apiose 1-reductase	ec:1.1.1.114	apiose 1-reductase	rdfs:label	ec
NADP-pentose-dehydrogenase	ec:1.1.1.115	ribose 1-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
ribose 1-dehydrogenase (NADP(+))	ec:1.1.1.115	ribose 1-dehydrogenase (NADP(+))	rdfs:label	ec
D-arabinose 1-dehydrogenase (NAD(+))	ec:1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))	rdfs:label	ec
D-arabinose 1-dehydrogenase [NAD(P)(+)]	ec:1.1.1.117	D-arabinose 1-dehydrogenase [NAD(P)(+)]	rdfs:label	ec
glucose 1-dehydrogenase (NAD(+))	ec:1.1.1.118	glucose 1-dehydrogenase (NAD(+))	rdfs:label	ec
glucose 1-dehydrogenase (NADP(+))	ec:1.1.1.119	glucose 1-dehydrogenase (NADP(+))	rdfs:label	ec
L-arabinitol 4-dehydrogenase	ec:1.1.1.12	L-arabinitol 4-dehydrogenase	rdfs:label	ec
galactose 1-dehydrogenase (NADP(+))	ec:1.1.1.120	galactose 1-dehydrogenase (NADP(+))	rdfs:label	ec
aldose 1-dehydrogenase (NAD(+))	ec:1.1.1.121	aldose 1-dehydrogenase (NAD(+))	rdfs:label	ec
(2S,3R)-aldose dehydrogenase	ec:1.1.1.122	D-threo-aldose 1-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
L-fucose dehydrogenase	ec:1.1.1.122	D-threo-aldose 1-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
D-threo-aldose 1-dehydrogenase	ec:1.1.1.122	D-threo-aldose 1-dehydrogenase	rdfs:label	ec
5-ketofructose reductase	ec:1.1.1.123	sorbose 5-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
sorbose 5-dehydrogenase (NADP(+))	ec:1.1.1.123	sorbose 5-dehydrogenase (NADP(+))	rdfs:label	ec
5-ketofructose reductase (NADP(+))	ec:1.1.1.124	fructose 5-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
5-ketofructose reductase (NADP+)	ec:1.1.1.124	fructose 5-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
fructose 5-dehydrogenase (NADP(+))	ec:1.1.1.124	fructose 5-dehydrogenase (NADP(+))	rdfs:label	ec
2-deoxygluconate dehydrogenase	ec:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
2-deoxy-D-gluconate 3-dehydrogenase	ec:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	rdfs:label	ec
2-keto-3-deoxy-D-gluconate dehydrogenase	ec:1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	ec:1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	rdfs:label	ec
2-keto-3-deoxy-D-gluconate dehydrogenase	ec:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
2-keto-3-deoxygluconate dehydrogenase	ec:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	ec:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	rdfs:label	ec
L-threonic acid dehydrogenase	ec:1.1.1.129	L-threonate 3-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
L-threonate 3-dehydrogenase	ec:1.1.1.129	L-threonate 3-dehydrogenase	rdfs:label	ec
L-arabinitol 2-dehydrogenase (ribulose forming)	ec:1.1.1.13	L-arabinitol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
L-arabinitol 2-dehydrogenase	ec:1.1.1.13	L-arabinitol 2-dehydrogenase	rdfs:label	ec
2,3-diketo-L-gulonate reductase	ec:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
3-keto-L-gulonate dehydrogenase	ec:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
3-dehydro-L-gulonate 2-dehydrogenase	ec:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	rdfs:label	ec
mannonate dehydrogenase	ec:1.1.1.131	mannuronate reductase	oboInOwl:hasRelatedSynonym	ec
mannuronate reductase	ec:1.1.1.131	mannuronate reductase	rdfs:label	ec
GDP-mannose 6-dehydrogenase	ec:1.1.1.132	GDP-mannose 6-dehydrogenase	rdfs:label	ec
dTDP-4-keto-L-rhamnose reductase	ec:1.1.1.133	dTDP-4-dehydrorhamnose reductase	oboInOwl:hasRelatedSynonym	ec
dTDP-6-deoxy-L-mannose dehydrogenase	ec:1.1.1.133	dTDP-4-dehydrorhamnose reductase	oboInOwl:hasRelatedSynonym	ec
dTDP-4-dehydrorhamnose reductase	ec:1.1.1.133	dTDP-4-dehydrorhamnose reductase	rdfs:label	ec
dTDP-6-deoxy-L-talose 4-dehydrogenase	ec:1.1.1.134	dTDP-6-deoxy-L-talose 4-dehydrogenase	rdfs:label	ec
GDP-6-deoxy-D-talose 4-dehydrogenase	ec:1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase	rdfs:label	ec
UDP-2-acetamido-2-deoxy-D-glucose:NAD oxidoreductase	ec:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
UDP-N-acetylglucosamine 6-dehydrogenase	ec:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	rdfs:label	ec
ribitol 5-phosphate dehydrogenase	ec:1.1.1.137	ribitol-5-phosphate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
ribitol-5-phosphate 2-dehydrogenase	ec:1.1.1.137	ribitol-5-phosphate 2-dehydrogenase	rdfs:label	ec
NADP-dependent mannitol dehydrogenase	ec:1.1.1.138	mannitol 2-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
mannitol 2-dehydrogenase (NADP(+))	ec:1.1.1.138	mannitol 2-dehydrogenase (NADP(+))	rdfs:label	ec
glucitol dehydrogenase	ec:1.1.1.14	L-iditol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
polyol dehydrogenase	ec:1.1.1.14	L-iditol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
sorbitol dehydrogenase	ec:1.1.1.14	L-iditol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
L-iditol 2-dehydrogenase	ec:1.1.1.14	L-iditol 2-dehydrogenase	rdfs:label	ec
glucitol-6-phosphate dehydrogenase	ec:1.1.1.140	sorbitol-6-phosphate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
ketosephosphate reductase	ec:1.1.1.140	sorbitol-6-phosphate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
sorbitol-6-phosphate 2-dehydrogenase	ec:1.1.1.140	sorbitol-6-phosphate 2-dehydrogenase	rdfs:label	ec
15-hydroxyprostaglandin dehydrogenase	ec:1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+))	oboInOwl:hasRelatedSynonym	ec
15-hydroxyprostaglandin dehydrogenase (NAD(+))	ec:1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+))	rdfs:label	ec
D-pinitol dehydrogenase	ec:1.1.1.142	D-pinitol dehydrogenase	rdfs:label	ec
sequoyitol dehydrogenase	ec:1.1.1.143	sequoyitol dehydrogenase	rdfs:label	ec
perillyl-alcohol dehydrogenase	ec:1.1.1.144	perillyl-alcohol dehydrogenase	rdfs:label	ec
3beta-hydroxy-5-ene steroid dehydrogenase	ec:1.1.1.145	3beta-hydroxy-Delta(5)-steroid dehydrogenase	oboInOwl:hasRelatedSynonym	ec
progesterone reductase	ec:1.1.1.145	3beta-hydroxy-Delta(5)-steroid dehydrogenase	oboInOwl:hasRelatedSynonym	ec
3beta-hydroxy-Delta(5)-steroid dehydrogenase	ec:1.1.1.145	3beta-hydroxy-Delta(5)-steroid dehydrogenase	rdfs:label	ec
corticosteroid 11beta-dehydrogenase	ec:1.1.1.146	11beta-hydroxysteroid dehydrogenase	oboInOwl:hasRelatedSynonym	ec
11beta-hydroxysteroid dehydrogenase	ec:1.1.1.146	11beta-hydroxysteroid dehydrogenase	rdfs:label	ec
16alpha-hydroxysteroid dehydrogenase	ec:1.1.1.147	16alpha-hydroxysteroid dehydrogenase	rdfs:label	ec
estradiol 17alpha-dehydrogenase	ec:1.1.1.148	estradiol 17alpha-dehydrogenase	rdfs:label	ec
20alpha-hydroxysteroid dehydrogenase	ec:1.1.1.149	20alpha-hydroxysteroid dehydrogenase	rdfs:label	ec
D-iditol 2-dehydrogenase	ec:1.1.1.15	D-iditol 2-dehydrogenase	rdfs:label	ec
21-hydroxysteroid dehydrogenase (NAD(+))	ec:1.1.1.150	21-hydroxysteroid dehydrogenase (NAD(+))	rdfs:label	ec
21-hydroxy steroid (nicotinamide adenine dinucleotide phosphate)	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
dehydrogenase	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
21-hydroxy steroid dehydrogenase	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
21-hydroxy steroid dehydrogenase (nicotinamide adenine dinucleotide	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
phosphate)	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
NADP-21-hydroxysteroid dehydrogenase	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
21-hydroxysteroid dehydrogenase (NADP(+))	ec:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))	rdfs:label	ec
etiocholanolone 3alpha-dehydrogenase	ec:1.1.1.152	3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase	oboInOwl:hasRelatedSynonym	ec
3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase	ec:1.1.1.152	3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase	rdfs:label	ec
sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	ec:1.1.1.153	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	rdfs:label	ec
ureidoglycolate dehydrogenase	ec:1.1.1.154	ureidoglycolate dehydrogenase	rdfs:label	ec
dihydroxyacetone reductase	ec:1.1.1.156	glycerol 2-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	ec
glycerol 2-dehydrogenase (NADP(+))	ec:1.1.1.156	glycerol 2-dehydrogenase (NADP(+))	rdfs:label	ec
beta-hydroxybutyryl-CoA dehydrogenase	ec:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	oboInOwl:hasRelatedSynonym	ec
BHBD	ec:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	oboInOwl:hasRelatedSynonym	ec
3-hydroxybutyryl-CoA dehydrogenase	ec:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	rdfs:label	ec
7alpha-hydroxysteroid dehydrogenase	ec:1.1.1.159	7alpha-hydroxysteroid dehydrogenase	rdfs:label	ec
galactitol 2-dehydrogenase	ec:1.1.1.16	galactitol 2-dehydrogenase	rdfs:label	ec
bunolol reductase	ec:1.1.1.160	dihydrobunolol dehydrogenase	oboInOwl:hasRelatedSynonym	ec
dihydrobunolol dehydrogenase	ec:1.1.1.160	dihydrobunolol dehydrogenase	rdfs:label	ec
D-erythrulose reductase	ec:1.1.1.162	erythrulose reductase	oboInOwl:hasRelatedSynonym	ec
erythrulose reductase	ec:1.1.1.162	erythrulose reductase	rdfs:label	ec
cyclopentanol dehydrogenase	ec:1.1.1.163	cyclopentanol dehydrogenase	rdfs:label	ec
hexadecanol dehydrogenase	ec:1.1.1.164	hexadecanol dehydrogenase	rdfs:label	ec
2-alkyn-1-ol dehydrogenase	ec:1.1.1.165	2-alkyn-1-ol dehydrogenase	rdfs:label	ec
hydroxycyclohexanecarboxylate dehydrogenase	ec:1.1.1.166	hydroxycyclohexanecarboxylate dehydrogenase	rdfs:label	ec
hydroxymalonate dehydrogenase	ec:1.1.1.167	hydroxymalonate dehydrogenase	rdfs:label	ec
