text	curie	name	predicate	source
Oxidoreductases	eccode:1	Oxidoreductases	rdfs:label	eccode
Acting on the CH-OH group of donors	eccode:1.1	Acting on the CH-OH group of donors	rdfs:label	eccode
With NAD(+) or NADP(+) as acceptor	eccode:1.1.1	With NAD(+) or NADP(+) as acceptor	rdfs:label	eccode
aldehyde reductase	eccode:1.1.1.1	alcohol dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
alcohol dehydrogenase	eccode:1.1.1.1	alcohol dehydrogenase	rdfs:label	eccode
L-xylulose reductase	eccode:1.1.1.10	L-xylulose reductase	rdfs:label	eccode
3-oxoacyl-[acyl-carrier-protein] reductase	eccode:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	rdfs:label	eccode
palmitoyldihydroxyacetone-phosphate reductase	eccode:1.1.1.101	acylglycerone-phosphate reductase	oboInOwl:hasRelatedSynonym	eccode
acylglycerone-phosphate reductase	eccode:1.1.1.101	acylglycerone-phosphate reductase	rdfs:label	eccode
3-ketosphinganine reductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
3-oxosphinganine:NADPH oxidoreductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
3-oxosphinganine reductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
D-3-dehydrosphinganine reductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
D-3-oxosphinganine:B-NADPH oxidoreductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
D-3-oxosphinganine reductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
DSR	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
KTS reductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	oboInOwl:hasRelatedSynonym	eccode
3-dehydrosphinganine reductase	eccode:1.1.1.102	3-dehydrosphinganine reductase	rdfs:label	eccode
TDH	eccode:1.1.1.103	L-threonine 3-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
L-threonine 3-dehydrogenase	eccode:1.1.1.103	L-threonine 3-dehydrogenase	rdfs:label	eccode
cis-hydroxy-L-proline oxidase	eccode:1.1.1.104	4-oxoproline reductase	oboInOwl:hasRelatedSynonym	eccode
4-oxoproline reductase	eccode:1.1.1.104	4-oxoproline reductase	rdfs:label	eccode
all-trans-retinol dehydrogenase (NAD(+))	eccode:1.1.1.105	all-trans-retinol dehydrogenase (NAD(+))	rdfs:label	eccode
Panthothenase	eccode:1.1.1.106	pantoate 4-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
pantoate 4-dehydrogenase	eccode:1.1.1.106	pantoate 4-dehydrogenase	rdfs:label	eccode
pyridoxal 4-dehydrogenase	eccode:1.1.1.107	pyridoxal 4-dehydrogenase	rdfs:label	eccode
carnitine 3-dehydrogenase	eccode:1.1.1.108	carnitine 3-dehydrogenase	rdfs:label	eccode
D-arabinitol 4-dehydrogenase	eccode:1.1.1.11	D-arabinitol 4-dehydrogenase	rdfs:label	eccode
(R)-4-hydroxyphenyllactate dehydrogenase	eccode:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	eccode
(R)-aromatic lactate dehydrogenase	eccode:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	eccode
indole-3-lactate dehydrogenase	eccode:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	eccode
indolelactate dehydrogenase	eccode:1.1.1.110	aromatic 2-oxoacid reductase	oboInOwl:hasRelatedSynonym	eccode
aromatic 2-oxoacid reductase	eccode:1.1.1.110	aromatic 2-oxoacid reductase	rdfs:label	eccode
3-(imidazol-5-yl)lactate dehydrogenase	eccode:1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase	rdfs:label	eccode
indanol dehydrogenase	eccode:1.1.1.112	indanol dehydrogenase	rdfs:label	eccode
L-xylose 1-dehydrogenase	eccode:1.1.1.113	L-xylose 1-dehydrogenase	rdfs:label	eccode
D-apiitol reductase	eccode:1.1.1.114	apiose 1-reductase	oboInOwl:hasRelatedSynonym	eccode
D-apiose reductase	eccode:1.1.1.114	apiose 1-reductase	oboInOwl:hasRelatedSynonym	eccode
apiose 1-reductase	eccode:1.1.1.114	apiose 1-reductase	rdfs:label	eccode
NADP-pentose-dehydrogenase	eccode:1.1.1.115	ribose 1-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	eccode
ribose 1-dehydrogenase (NADP(+))	eccode:1.1.1.115	ribose 1-dehydrogenase (NADP(+))	rdfs:label	eccode
D-arabinose 1-dehydrogenase (NAD(+))	eccode:1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))	rdfs:label	eccode
D-arabinose 1-dehydrogenase [NAD(P)(+)]	eccode:1.1.1.117	D-arabinose 1-dehydrogenase [NAD(P)(+)]	rdfs:label	eccode
glucose 1-dehydrogenase (NAD(+))	eccode:1.1.1.118	glucose 1-dehydrogenase (NAD(+))	rdfs:label	eccode
glucose 1-dehydrogenase (NADP(+))	eccode:1.1.1.119	glucose 1-dehydrogenase (NADP(+))	rdfs:label	eccode
L-arabinitol 4-dehydrogenase	eccode:1.1.1.12	L-arabinitol 4-dehydrogenase	rdfs:label	eccode
galactose 1-dehydrogenase (NADP(+))	eccode:1.1.1.120	galactose 1-dehydrogenase (NADP(+))	rdfs:label	eccode
aldose 1-dehydrogenase (NAD(+))	eccode:1.1.1.121	aldose 1-dehydrogenase (NAD(+))	rdfs:label	eccode
(2S,3R)-aldose dehydrogenase	eccode:1.1.1.122	D-threo-aldose 1-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
L-fucose dehydrogenase	eccode:1.1.1.122	D-threo-aldose 1-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
D-threo-aldose 1-dehydrogenase	eccode:1.1.1.122	D-threo-aldose 1-dehydrogenase	rdfs:label	eccode
5-ketofructose reductase	eccode:1.1.1.123	sorbose 5-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	eccode
sorbose 5-dehydrogenase (NADP(+))	eccode:1.1.1.123	sorbose 5-dehydrogenase (NADP(+))	rdfs:label	eccode
5-ketofructose reductase (NADP(+))	eccode:1.1.1.124	fructose 5-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	eccode
5-ketofructose reductase (NADP+)	eccode:1.1.1.124	fructose 5-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	eccode
fructose 5-dehydrogenase (NADP(+))	eccode:1.1.1.124	fructose 5-dehydrogenase (NADP(+))	rdfs:label	eccode
2-deoxygluconate dehydrogenase	eccode:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
2-deoxy-D-gluconate 3-dehydrogenase	eccode:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	rdfs:label	eccode
2-keto-3-deoxy-D-gluconate dehydrogenase	eccode:1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	eccode:1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	rdfs:label	eccode
2-keto-3-deoxy-D-gluconate dehydrogenase	eccode:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
2-keto-3-deoxygluconate dehydrogenase	eccode:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	eccode:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	rdfs:label	eccode
L-threonic acid dehydrogenase	eccode:1.1.1.129	L-threonate 3-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
L-threonate 3-dehydrogenase	eccode:1.1.1.129	L-threonate 3-dehydrogenase	rdfs:label	eccode
L-arabinitol 2-dehydrogenase (ribulose forming)	eccode:1.1.1.13	L-arabinitol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
L-arabinitol 2-dehydrogenase	eccode:1.1.1.13	L-arabinitol 2-dehydrogenase	rdfs:label	eccode
2,3-diketo-L-gulonate reductase	eccode:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
3-keto-L-gulonate dehydrogenase	eccode:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
3-dehydro-L-gulonate 2-dehydrogenase	eccode:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	rdfs:label	eccode
mannonate dehydrogenase	eccode:1.1.1.131	mannuronate reductase	oboInOwl:hasRelatedSynonym	eccode
mannuronate reductase	eccode:1.1.1.131	mannuronate reductase	rdfs:label	eccode
GDP-mannose 6-dehydrogenase	eccode:1.1.1.132	GDP-mannose 6-dehydrogenase	rdfs:label	eccode
dTDP-4-keto-L-rhamnose reductase	eccode:1.1.1.133	dTDP-4-dehydrorhamnose reductase	oboInOwl:hasRelatedSynonym	eccode
dTDP-6-deoxy-L-mannose dehydrogenase	eccode:1.1.1.133	dTDP-4-dehydrorhamnose reductase	oboInOwl:hasRelatedSynonym	eccode
dTDP-4-dehydrorhamnose reductase	eccode:1.1.1.133	dTDP-4-dehydrorhamnose reductase	rdfs:label	eccode
dTDP-6-deoxy-L-talose 4-dehydrogenase	eccode:1.1.1.134	dTDP-6-deoxy-L-talose 4-dehydrogenase	rdfs:label	eccode
GDP-6-deoxy-D-talose 4-dehydrogenase	eccode:1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase	rdfs:label	eccode
UDP-2-acetamido-2-deoxy-D-glucose:NAD oxidoreductase	eccode:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
UDP-N-acetylglucosamine 6-dehydrogenase	eccode:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	rdfs:label	eccode
ribitol 5-phosphate dehydrogenase	eccode:1.1.1.137	ribitol-5-phosphate 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
ribitol-5-phosphate 2-dehydrogenase	eccode:1.1.1.137	ribitol-5-phosphate 2-dehydrogenase	rdfs:label	eccode
NADP-dependent mannitol dehydrogenase	eccode:1.1.1.138	mannitol 2-dehydrogenase (NADP(+))	oboInOwl:hasRelatedSynonym	eccode
mannitol 2-dehydrogenase (NADP(+))	eccode:1.1.1.138	mannitol 2-dehydrogenase (NADP(+))	rdfs:label	eccode
glucitol dehydrogenase	eccode:1.1.1.14	L-iditol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
polyol dehydrogenase	eccode:1.1.1.14	L-iditol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
sorbitol dehydrogenase	eccode:1.1.1.14	L-iditol 2-dehydrogenase	oboInOwl:hasRelatedSynonym	eccode
