identifier	name	definition	synonyms	alts	parents	species
1	Oxidoreductases					
1.1	Acting on the CH-OH group of donors				eccode:1	
1.1.1	With NAD(+) or NADP(+) as acceptor				eccode:1.1	
1.1.1.1	alcohol dehydrogenase		aldehyde reductase		eccode:1.1.1	
1.1.1.10	L-xylulose reductase				eccode:1.1.1	
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase				eccode:1.1.1	
1.1.1.101	acylglycerone-phosphate reductase		palmitoyldihydroxyacetone-phosphate reductase		eccode:1.1.1	
1.1.1.102	3-dehydrosphinganine reductase		3-ketosphinganine reductase|3-oxosphinganine:NADPH oxidoreductase|3-oxosphinganine reductase|D-3-dehydrosphinganine reductase|D-3-oxosphinganine:B-NADPH oxidoreductase|D-3-oxosphinganine reductase|DSR|KTS reductase		eccode:1.1.1	
1.1.1.103	L-threonine 3-dehydrogenase		TDH		eccode:1.1.1	
1.1.1.104	4-oxoproline reductase		cis-hydroxy-L-proline oxidase		eccode:1.1.1	
1.1.1.105	all-trans-retinol dehydrogenase (NAD(+))				eccode:1.1.1	
1.1.1.106	pantoate 4-dehydrogenase		Panthothenase		eccode:1.1.1	
1.1.1.107	pyridoxal 4-dehydrogenase				eccode:1.1.1	
1.1.1.108	carnitine 3-dehydrogenase				eccode:1.1.1	
1.1.1.11	D-arabinitol 4-dehydrogenase				eccode:1.1.1	
1.1.1.110	aromatic 2-oxoacid reductase		(R)-4-hydroxyphenyllactate dehydrogenase|(R)-aromatic lactate dehydrogenase|indole-3-lactate dehydrogenase|indolelactate dehydrogenase		eccode:1.1.1	
1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase				eccode:1.1.1	
1.1.1.112	indanol dehydrogenase				eccode:1.1.1	
1.1.1.113	L-xylose 1-dehydrogenase				eccode:1.1.1	
1.1.1.114	apiose 1-reductase		D-apiitol reductase|D-apiose reductase		eccode:1.1.1	
1.1.1.115	ribose 1-dehydrogenase (NADP(+))		NADP-pentose-dehydrogenase		eccode:1.1.1	
1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))				eccode:1.1.1	
1.1.1.117	D-arabinose 1-dehydrogenase [NAD(P)(+)]				eccode:1.1.1	
1.1.1.118	glucose 1-dehydrogenase (NAD(+))				eccode:1.1.1	
1.1.1.119	glucose 1-dehydrogenase (NADP(+))				eccode:1.1.1	
