text	curie	name	predicate	source
Signal recognition particle 7SL RNA CR32864	flybase:FBgn0000003	7SLRNA:CR32864	oboInOwl:hasRelatedSynonym	flybase
7SLRNA:CR32864	flybase:FBgn0000003	7SLRNA:CR32864	rdfs:label	flybase
arc	flybase:FBgn0000008	a	oboInOwl:hasRelatedSynonym	flybase
a	flybase:FBgn0000008	a	rdfs:label	flybase
arc	flybase:FBgn0000008	a	oboInOwl:hasRelatedSynonym	flybase
a	flybase:FBgn0000008	a	rdfs:label	flybase
arc	flybase:FBgn0000008	a	oboInOwl:hasRelatedSynonym	flybase
a	flybase:FBgn0000008	a	rdfs:label	flybase
arc	flybase:FBgn0000008	a	oboInOwl:hasRelatedSynonym	flybase
a	flybase:FBgn0000008	a	rdfs:label	flybase
abdominal A	flybase:FBgn0000014	abd-A	oboInOwl:hasRelatedSynonym	flybase
abd-A	flybase:FBgn0000014	abd-A	rdfs:label	flybase
abdominal A	flybase:FBgn0000014	abd-A	oboInOwl:hasRelatedSynonym	flybase
abd-A	flybase:FBgn0000014	abd-A	rdfs:label	flybase
abdominal A	flybase:FBgn0000014	abd-A	oboInOwl:hasRelatedSynonym	flybase
abd-A	flybase:FBgn0000014	abd-A	rdfs:label	flybase
abdominal A	flybase:FBgn0000014	abd-A	oboInOwl:hasRelatedSynonym	flybase
abd-A	flybase:FBgn0000014	abd-A	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abdominal B	flybase:FBgn0000015	Abd-B	oboInOwl:hasRelatedSynonym	flybase
Abd-B	flybase:FBgn0000015	Abd-B	rdfs:label	flybase
Abl tyrosine kinase	flybase:FBgn0000017	Abl	oboInOwl:hasRelatedSynonym	flybase
Abl	flybase:FBgn0000017	Abl	rdfs:label	flybase
Abl tyrosine kinase	flybase:FBgn0000017	Abl	oboInOwl:hasRelatedSynonym	flybase
Abl	flybase:FBgn0000017	Abl	rdfs:label	flybase
Abl tyrosine kinase	flybase:FBgn0000017	Abl	oboInOwl:hasRelatedSynonym	flybase
Abl	flybase:FBgn0000017	Abl	rdfs:label	flybase
Abl tyrosine kinase	flybase:FBgn0000017	Abl	oboInOwl:hasRelatedSynonym	flybase
Abl	flybase:FBgn0000017	Abl	rdfs:label	flybase
Abl tyrosine kinase	flybase:FBgn0000017	Abl	oboInOwl:hasRelatedSynonym	flybase
Abl	flybase:FBgn0000017	Abl	rdfs:label	flybase
Abl tyrosine kinase	flybase:FBgn0000017	Abl	oboInOwl:hasRelatedSynonym	flybase
