text	curie	name	predicate	source
Fellman disease	gard:1	Gracile syndrome	oboInOwl:hasRelatedSynonym	gard
Growth delay-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome	gard:1	Gracile syndrome	oboInOwl:hasRelatedSynonym	gard
Growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome	gard:1	Gracile syndrome	oboInOwl:hasRelatedSynonym	gard
Gracile syndrome	gard:1	Gracile syndrome	rdfs:label	gard
SCAN1	gard:10000	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1	oboInOwl:hasRelatedSynonym	gard
spinocerebellar ataxia type 1 with axonal neuropathy	gard:10000	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1	oboInOwl:hasRelatedSynonym	gard
spinocerebellar ataxia with axonal neuropathy	gard:10000	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1	oboInOwl:hasRelatedSynonym	gard
Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1	gard:10000	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1	rdfs:label	gard
congenital chloride diarrhea Finnish type	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
congenital chloride diarrhoea Finnish type	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
congenital chloridorrhea	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
congenital secretory chloride diarrhea type 1	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
congenital secretory chloride diarrhoea type 1	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
secretory diarrhea caused by mutation in SLC26A3	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
secretory diarrhoea caused by mutation in SLC26A3	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
SLC26A3 secretory diarrhea	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
SLC26A3 secretory diarrhoea	gard:10001	Congenital secretory chloride diarrhea 1	oboInOwl:hasRelatedSynonym	gard
Congenital secretory chloride diarrhea 1	gard:10001	Congenital secretory chloride diarrhea 1	rdfs:label	gard
Chromosome 8q12.1-q21.2 deletion syndrome	gard:10002	Chromosome 8q12.1-q21.2 deletion syndrome	rdfs:label	gard
GRN-related frontotemporal lobar degeneration with Tdp43 inclusions	gard:10004	GRN-related frontotemporal lobar degeneration with Tdp43 inclusions	rdfs:label	gard
familial Lenegre disease	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
familial Lenègre disease	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
familial Lev disease	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
familial Lev-Lenegre disease	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
familial Lev-Lenègre disease	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
familial PCCD	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
familial progressive heart block	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
PFHB	gard:10005	Progressive familial heart block	oboInOwl:hasRelatedSynonym	gard
Progressive familial heart block	gard:10005	Progressive familial heart block	rdfs:label	gard
AGMX2	gard:10007	Immunodeficiency 61	oboInOwl:hasRelatedSynonym	gard
immunodeficiency 61, X-linked recessive	gard:10007	Immunodeficiency 61	oboInOwl:hasRelatedSynonym	gard
