identifier	name	definition	synonyms	alts	parents	species
1	Gracile syndrome		Fellman disease|Growth delay-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome|Growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome		obo:gard#uncategorized	
10000	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1		scan1|spinocerebellar ataxia type 1 with axonal neuropathy		obo:gard#uncategorized	
10001	Congenital secretory diarrhea, chloride type		congenital chloride diarrhea finnish type|congenital chloride diarrhoea finnish type|congenital chloridorrhea|congenital secretory chloride diarrhea 1|congenital secretory chloride diarrhea type 1|congenital secretory chloride diarrhoea type 1|defective cl^-^/hco^-^>3< exchange in ileum and/or colon|secretory diarrhea caused by mutation in slc26a3|secretory diarrhoea caused by mutation in slc26a3|slc26a3 secretory diarrhea|slc26a3 secretory diarrhoea		obo:gard#uncategorized	
10002	Chromosome 8q12.1-q21.2 deletion syndrome				obo:gard#uncategorized	
10004	GRN-related frontotemporal lobar degeneration with Tdp43 inclusions		ftd2|grn-related frontotemporal dementia		obo:gard#uncategorized	
10005	Progressive familial heart block		PFHB|familial Lenegre disease|familial Lenègre disease|familial Lev disease|familial Lev-Lenegre disease|familial Lev-Lenègre disease|familial PCCD|familial progressive heart block		obo:gard#uncategorized	
10007	Immunodeficiency 61		agmx2|imd61|immunodeficiency 61, x-linked recessive		obo:gard#uncategorized	
10009	Opsoclonus-myoclonus syndrome		ataxo-opso-myoclonus syndrome|dancing eye syndrome|dancing eye-dancing feet syndrome|dancing eyes-dancing feet syndrome|infantile polymyoclonus|kinsbourne syndrome|oma syndrome|oms|opsoclonus-myoclonus-ataxia syndrome|paraneoplastic opsoclonus-myoclonus|paraneoplastic opsoclonus-myoclonus-ataxia syndrome|poma syndrome		obo:gard#uncategorized	
10010	Transient bullous dermolysis of the newborn		deb, bullous dermolysis of the newborn|deb-bdn|self-improving deb|self-improving dystrophic epidermolysis bullosa|transient bullous dermolysis of newborn|transient bullous of the newborn		obo:gard#uncategorized	
10011	Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome				obo:gard#uncategorized	
10012	Camptodactyly-tall stature-scoliosis-hearing loss syndrome		camptodactyly and tall stature with scoliosis and hearing loss syndrome|camptodactyly-tall stature-scoliosis-deafness syndrome|catshl (camptodactyly, tall stature, scoliosis, hearing loss) syndrome|catshl syndrome		obo:gard#uncategorized	
10014	Pellagra		niacin deficiency|niacin-tryptophan deficiency		obo:gard#uncategorized	
10018	Fuchs' endothelial dystrophy		corneal dystrophy, fuchs endothelial|endoepithelial corneal dystrophy|fced|fecd|fuch's endothelial corneal dystrophy|fuchs corneal dystrophy|fuchs' corneal dystrophy|fuchs' endothelial corneal dystrophy|late hereditary endothelial dystrophy		obo:gard#uncategorized	
1002	X-linked mandibulofacial dysostosis		X-linked branchial arch syndrome|X-linked mandibulofacial dysostosis with limb anomalies|mandibulofacial dysostosis, Toriello type|mandibulofacial dysostosis, X-linked		obo:gard#uncategorized	
10023	Bruck syndrome 2		Bruck syndrome caused by mutation in PLOD2|Bruck syndrome type 2|PLOD2 Bruck syndrome		obo:gard#uncategorized	
