text	curie	name	predicate	source
historical first-order administrative division	geonames.feature:A.ADM1H	historical first-order administrative division	rdfs:label	geonames.feature
second-order administrative division	geonames.feature:A.ADM2	second-order administrative division	rdfs:label	geonames.feature
historical second-order administrative division	geonames.feature:A.ADM2H	historical second-order administrative division	rdfs:label	geonames.feature
third-order administrative division	geonames.feature:A.ADM3	third-order administrative division	rdfs:label	geonames.feature
historical third-order administrative division	geonames.feature:A.ADM3H	historical third-order administrative division	rdfs:label	geonames.feature
fourth-order administrative division	geonames.feature:A.ADM4	fourth-order administrative division	rdfs:label	geonames.feature
historical fourth-order administrative division	geonames.feature:A.ADM4H	historical fourth-order administrative division	rdfs:label	geonames.feature
fifth-order administrative division	geonames.feature:A.ADM5	fifth-order administrative division	rdfs:label	geonames.feature
historical fifth-order administrative division	geonames.feature:A.ADM5H	historical fifth-order administrative division	rdfs:label	geonames.feature
administrative division	geonames.feature:A.ADMD	administrative division	rdfs:label	geonames.feature
historical administrative division 	geonames.feature:A.ADMDH	historical administrative division 	rdfs:label	geonames.feature
school district	geonames.feature:A.ADMS	school district	rdfs:label	geonames.feature
leased area	geonames.feature:A.LTER	leased area	rdfs:label	geonames.feature
political entity	geonames.feature:A.PCL	political entity	rdfs:label	geonames.feature
dependent political entity	geonames.feature:A.PCLD	dependent political entity	rdfs:label	geonames.feature
freely associated state	geonames.feature:A.PCLF	freely associated state	rdfs:label	geonames.feature
historical political entity	geonames.feature:A.PCLH	historical political entity	rdfs:label	geonames.feature
independent political entity	geonames.feature:A.PCLI	independent political entity	rdfs:label	geonames.feature
section of independent political entity	geonames.feature:A.PCLIX	section of independent political entity	rdfs:label	geonames.feature
semi-independent political entity	geonames.feature:A.PCLS	semi-independent political entity	rdfs:label	geonames.feature
parish	geonames.feature:A.PRSH	parish	rdfs:label	geonames.feature
territory	geonames.feature:A.TERR	territory	rdfs:label	geonames.feature
zone	geonames.feature:A.ZN	zone	rdfs:label	geonames.feature
buffer zone	geonames.feature:A.ZNB	buffer zone	rdfs:label	geonames.feature
seaplane landing area	geonames.feature:H.AIRS	seaplane landing area	rdfs:label	geonames.feature
