identifier	name	definition	synonyms	alts	parents	species
A.ADM1H	historical first-order administrative division	a former first-order administrative division			obo:geonames.feature#A	
A.ADM2	second-order administrative division	a subdivision of a first-order administrative division			obo:geonames.feature#A	
A.ADM2H	historical second-order administrative division	a former second-order administrative division			obo:geonames.feature#A	
A.ADM3	third-order administrative division	a subdivision of a second-order administrative division			obo:geonames.feature#A	
A.ADM3H	historical third-order administrative division	a former third-order administrative division			obo:geonames.feature#A	
A.ADM4	fourth-order administrative division	a subdivision of a third-order administrative division			obo:geonames.feature#A	
A.ADM4H	historical fourth-order administrative division	a former fourth-order administrative division			obo:geonames.feature#A	
A.ADM5	fifth-order administrative division	a subdivision of a fourth-order administrative division			obo:geonames.feature#A	
A.ADM5H	historical fifth-order administrative division	a former fifth-order administrative division			obo:geonames.feature#A	
A.ADMD	administrative division	an administrative division of a country, undifferentiated as to administrative level			obo:geonames.feature#A	
A.ADMDH	historical administrative division 	a former administrative division of a political entity, undifferentiated as to administrative level			obo:geonames.feature#A	
A.ADMS	school district	school district			obo:geonames.feature#A	
A.LTER	leased area	a tract of land leased to another country, usually for military installations			obo:geonames.feature#A	
A.PCL	political entity				obo:geonames.feature#A	
A.PCLD	dependent political entity				obo:geonames.feature#A	
A.PCLF	freely associated state				obo:geonames.feature#A	
A.PCLH	historical political entity	a former political entity			obo:geonames.feature#A	
A.PCLI	independent political entity				obo:geonames.feature#A	
A.PCLIX	section of independent political entity				obo:geonames.feature#A	
A.PCLS	semi-independent political entity				obo:geonames.feature#A	
A.PRSH	parish	an ecclesiastical district			obo:geonames.feature#A	
A.TERR	territory				obo:geonames.feature#A	
A.ZN	zone				obo:geonames.feature#A	
A.ZNB	buffer zone	a zone recognized as a buffer between two nations in which military presence is minimal or absent			obo:geonames.feature#A	
H.AIRS	seaplane landing area	a place on a waterbody where floatplanes land and take off			obo:geonames.feature#H	
H.ANCH	anchorage	an area where vessels may anchor			obo:geonames.feature#H	
H.BAY	bay	a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf			obo:geonames.feature#H	
H.BAYS	bays	coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf			obo:geonames.feature#H	
H.BGHT	bight(s)	an open body of water forming a slight recession in a coastline			obo:geonames.feature#H	
H.BNK	bank(s)	an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation			obo:geonames.feature#H	
