text	curie	name	predicate	source
Abu Al-Khaseeb District	geonames:100049	Abu Al-Khaseeb District	rdfs:label	geonames
Abū Ghurayb	geonames:100077	Abū Ghurayb	rdfs:label	geonames
Liuzhi	geonames:10020191	Liuzhi	rdfs:label	geonames
George	geonames:1002145	George	rdfs:label	geonames
Yanbu	geonames:100425	Yanbu	rdfs:label	geonames
Evaton	geonames:1004866	Evaton	rdfs:label	geonames
Ermelo	geonames:1005125	Ermelo	rdfs:label	geonames
eMbalenhle	geonames:1005646	eMbalenhle	rdfs:label	geonames
Iskandar Puteri	geonames:10063567	Iskandar Puteri	rdfs:label	geonames
East London	geonames:1006984	East London	rdfs:label	geonames
Durban	geonames:1007311	Durban	rdfs:label	geonames
Ferizaj	geonames:10096138	Ferizaj	rdfs:label	geonames
Gjakova	geonames:10096859	Gjakova	rdfs:label	geonames
Gjilan	geonames:10097357	Gjilan	rdfs:label	geonames
Mitrovica	geonames:10097358	Mitrovica	rdfs:label	geonames
Mitrovica	geonames:10097358	Mitrovica	rdfs:label	geonames
Pec	geonames:10097359	Pec	rdfs:label	geonames
Pristina	geonames:10097360	Pristina	rdfs:label	geonames
Pristina	geonames:10097360	Pristina	rdfs:label	geonames
Prizren	geonames:10097361	Prizren	rdfs:label	geonames
Prizren	geonames:10097361	Prizren	rdfs:label	geonames
Mitrovica Veriore	geonames:10098790	Mitrovica Veriore	rdfs:label	geonames
Mai-Mne Subregion	geonames:10114297	Mai-Mne Subregion	rdfs:label	geonames
Keserwan District	geonames:10119971	Keserwan District	rdfs:label	geonames
Miniyeh-Danniyeh	geonames:10121424	Miniyeh-Danniyeh	rdfs:label	geonames
Minie-Denniyeh	geonames:10126909	Minie-Denniyeh	rdfs:label	geonames
Carletonville	geonames:1014073	Carletonville	rdfs:label	geonames
Brits	geonames:1015621	Brits	rdfs:label	geonames
Brakpan	geonames:1016181	Brakpan	rdfs:label	geonames
Tabuk Region	geonames:101627	Tabuk Region	rdfs:label	geonames
Tabuk Region	geonames:101627	Tabuk Region	rdfs:label	geonames
Tabuk	geonames:101628	Tabuk	rdfs:label	geonames
Botshabelo	geonames:1016670	Botshabelo	rdfs:label	geonames
Logo Anseba	geonames:10172859	Logo Anseba	rdfs:label	geonames
Zaka District	geonames:10172877	Zaka District	rdfs:label	geonames
Naruto-shi	geonames:10172903	Naruto-shi	rdfs:label	geonames
Itaim Bibi	geonames:10173001	Itaim Bibi	rdfs:label	geonames
Sulţānah	geonames:101760	Sulţānah	rdfs:label	geonames
Teseney Subregion	geonames:10177504	Teseney Subregion	rdfs:label	geonames
Haykota Subregion	geonames:10177509	Haykota Subregion	rdfs:label	geonames
Gogne Subregion	geonames:10177510	Gogne Subregion	rdfs:label	geonames
Mogolo Subregion	geonames:10177511	Mogolo Subregion	rdfs:label	geonames
Mensura Subregion	geonames:10177512	Mensura Subregion	rdfs:label	geonames
Shambuko Subregion	geonames:10177513	Shambuko Subregion	rdfs:label	geonames
Areza Subregion	geonames:10177514	Areza Subregion	rdfs:label	geonames
Boksburg	geonames:1017780	Boksburg	rdfs:label	geonames
Ágios Dométios	geonames:10182655	Ágios Dométios	rdfs:label	geonames
Égkomi	geonames:10182743	Égkomi	rdfs:label	geonames
Stróvolos	geonames:10182744	Stróvolos	rdfs:label	geonames
Aglantziá	geonames:10182745	Aglantziá	rdfs:label	geonames
Ortákioi	geonames:10182746	Ortákioi	rdfs:label	geonames
Bloemfontein	geonames:1018725	Bloemfontein	rdfs:label	geonames
Tráchonas	geonames:10190038	Tráchonas	rdfs:label	geonames
Lakatámia	geonames:10190040	Lakatámia	rdfs:label	geonames
Synoikismós Anthoúpolis	geonames:10190049	Synoikismós Anthoúpolis	rdfs:label	geonames
Latsiá	geonames:10190059	Latsiá	rdfs:label	geonames
Géri	geonames:10190060	Géri	rdfs:label	geonames
Siá	geonames:10190061	Siá	rdfs:label	geonames
Mathiátis	geonames:10190555	Mathiátis	rdfs:label	geonames
Alámpra	geonames:10190556	Alámpra	rdfs:label	geonames
Agía Varvára	geonames:10190575	Agía Varvára	rdfs:label	geonames
Kotsiátis	geonames:10190576	Kotsiátis	rdfs:label	geonames
Nísou	geonames:10190577	Nísou	rdfs:label	geonames
Péra Chorió	geonames:10190578	Péra Chorió	rdfs:label	geonames
Dáli	geonames:10190579	Dáli	rdfs:label	geonames
Lýmpia	geonames:10190580	Lýmpia	rdfs:label	geonames
Lythrodóntas	geonames:10190581	Lythrodóntas	rdfs:label	geonames
Louroukína	geonames:10190582	Louroukína	rdfs:label	geonames
Potamiá	geonames:10190583	Potamiá	rdfs:label	geonames
Ágios Sozómenos	geonames:10190584	Ágios Sozómenos	rdfs:label	geonames
Pyrógi	geonames:10190585	Pyrógi	rdfs:label	geonames
Margó	geonames:10190586	Margó	rdfs:label	geonames
Agiá	geonames:10190587	Agiá	rdfs:label	geonames
Týmvou	geonames:10190588	Týmvou	rdfs:label	geonames
Móra	geonames:10190589	Móra	rdfs:label	geonames
Mia Miliá	geonames:10190590	Mia Miliá	rdfs:label	geonames
Mándres	geonames:10190591	Mándres	rdfs:label	geonames
Palaíkythro	geonames:10190592	Palaíkythro	rdfs:label	geonames
Éxo Metóchi	geonames:10190593	Éxo Metóchi	rdfs:label	geonames
Epichó	geonames:10190594	Epichó	rdfs:label	geonames
Vóni	geonames:10191329	Vóni	rdfs:label	geonames
Trachóni	geonames:10191956	Trachóni	rdfs:label	geonames
Néo Chorió	geonames:10191957	Néo Chorió	rdfs:label	geonames
Kythréa	geonames:10191958	Kythréa	rdfs:label	geonames
Béïkioï	geonames:10191959	Béïkioï	rdfs:label	geonames
Pétra tou Digení	geonames:10191962	Pétra tou Digení	rdfs:label	geonames
Kalyvákia	geonames:10191964	Kalyvákia	rdfs:label	geonames
