identifier	name	definition	synonyms	alts	parents	species
100049	Abu Al-Khaseeb District				envo:00000006	
100077	Abū Ghurayb				envo:00000856	
10020191	Liuzhi				envo:00000856	
1002145	George				envo:00000856	
100425	Yanbu				envo:00000856	
1005646	eMbalenhle				envo:00000856	
10063567	Iskandar Puteri				envo:00000856	
1006984	East London				envo:00000856	
1007311	Durban				envo:00000856	
10096138	Ferizaj				envo:00000005	
10096859	Gjakova				envo:00000005	
10097357	Gjilan				envo:00000005	
10097358	Mitrovica				envo:00000005	
10097358	Mitrovica				envo:00000005	
10097359	Pec				envo:00000005	
10097360	Pristina				envo:00000005	
10097360	Pristina				envo:00000005	
10097361	Prizren				envo:00000005	
10097361	Prizren				envo:00000005	
10098790	Mitrovica Veriore				envo:00000006	
10114297	Mai-Mne Subregion				envo:00000006	
10119971	Keserwan District				envo:00000006	
10121424	Miniyeh-Danniyeh				envo:00000006	
10126909	Minie-Denniyeh				envo:00000006	
1014073	Carletonville				envo:00000856	
1015621	Brits				envo:00000856	
1016181	Brakpan				envo:00000856	
101627	Tabuk Region				envo:00000005	
101627	Tabuk Region				envo:00000005	
101628	Tabuk				envo:00000856	
1016670	Botshabelo				envo:00000856	
10172859	Logo Anseba				envo:00000006	
10172877	Zaka District				envo:00000006	
10172903	Naruto-shi				envo:00000006	
10173001	Itaim Bibi				envo:00000856	
101760	Sulţānah				envo:00000856	
10177504	Teseney Subregion				envo:00000006	
10177509	Haykota Subregion				envo:00000006	
10177510	Gogne Subregion				envo:00000006	
10177511	Mogolo Subregion				envo:00000006	
10177512	Mensura Subregion				envo:00000006	
10177513	Shambuko Subregion				envo:00000006	
10177514	Areza Subregion				envo:00000006	
1017780	Boksburg				envo:00000856	
10182655	Ágios Dométios				envo:00000006	
10182743	Égkomi				envo:00000006	
10182744	Stróvolos				envo:00000006	
10182745	Aglantziá				envo:00000006	
10182746	Ortákioi				envo:00000006	
1018725	Bloemfontein				envo:00000856	
10190038	Tráchonas				envo:00000006	
10190040	Lakatámia				envo:00000006	
10190049	Synoikismós Anthoúpolis				envo:00000006	
10190059	Latsiá				envo:00000006	
10190060	Géri				envo:00000006	
10190061	Siá				envo:00000006	
10190555	Mathiátis				envo:00000006	
10190556	Alámpra				envo:00000006	
10190575	Agía Varvára				envo:00000006	
10190576	Kotsiátis				envo:00000006	
10190577	Nísou				envo:00000006	
10190578	Péra Chorió				envo:00000006	
10190579	Dáli				envo:00000006	
10190580	Lýmpia				envo:00000006	
10190581	Lythrodóntas				envo:00000006	
10190582	Louroukína				envo:00000006	
10190583	Potamiá				envo:00000006	
10190584	Ágios Sozómenos				envo:00000006	
10190585	Pyrógi				envo:00000006	
10190586	Margó				envo:00000006	
10190587	Agiá				envo:00000006	
10190588	Týmvou				envo:00000006	
10190589	Móra				envo:00000006	
10190590	Mia Miliá				envo:00000006	
10190591	Mándres				envo:00000006	
10190592	Palaíkythro				envo:00000006	
10190593	Éxo Metóchi				envo:00000006	
10190594	Epichó				envo:00000006	
10191329	Vóni				envo:00000006	
10191956	Trachóni				envo:00000006	
10191957	Néo Chorió				envo:00000006	
10191958	Kythréa				envo:00000006	
10191959	Béïkioï				envo:00000006	
10191962	Pétra tou Digení				envo:00000006	
10191964	Kalyvákia				envo:00000006	
10191966	Kouroú Monastíri				envo:00000006	
10191968	Kampí				envo:00000006	
10191970	Farmakás				envo:00000006	
10192043	Aplíki				envo:00000006	
10192045	Lazaniás				envo:00000006	
10192046	Goúrri				envo:00000006	
10192050	Fikárdou				envo:00000006	
10192083	Agios Epifanios (Oreinis)				envo:00000006	
10192085	Kalo Chorio (Oreinis)				envo:00000006	
10192087	Maloúnta				envo:00000006	
10192089	Klírou				envo:00000006	
10192091	Aredioú				envo:00000006	
10192092	Ágios Ioánnis				envo:00000006	
10192096	Agrokipiá				envo:00000006	
10192097	Mitseró				envo:00000006	
10192099	Kapédes				envo:00000006	
10192119	Katalióntas				envo:00000006	
10192121	Analióntas				envo:00000006	
10192261	Kampiá				envo:00000006	
10192262	Margí				envo:00000006	
10192264	Tséri				envo:00000006	
10192265	Politikó				envo:00000006	
10192266	Péra				envo:00000006	
10192267	Episkopeió				envo:00000006	
10192514	Psimolófou				envo:00000006	
10192516	Ergátes				envo:00000006	
10192517	Anágeia				envo:00000006	
10192519	Páno Defterá				envo:00000006	
