text	curie	name	predicate	type	provenance	source
analytical chemistry	goldbook:08003	analytical chemistry	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
chemical analysis	goldbook:08004	chemical analysis	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
background interference	goldbook:08005	additive matrix effect	oboInOwl:hasRelatedSynonym			goldbook
translational matrix effect	goldbook:08005	additive matrix effect	oboInOwl:hasRelatedSynonym			goldbook
additive matrix effect	goldbook:08005	additive matrix effect	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
run	goldbook:08006	analytical run	oboInOwl:hasRelatedSynonym			goldbook
analytical run	goldbook:08006	analytical run	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
background indication	goldbook:08007	background indication	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
blank correction	goldbook:08008	blank correction	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
blank indication	goldbook:08009	blank indication	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
blank	goldbook:08010	blank material	oboInOwl:hasRelatedSynonym			goldbook
blank material	goldbook:08010	blank material	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
calibration certificate	goldbook:08011	calibration certificate	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
calibration interval	goldbook:08012	calibration interval	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
certified property value	goldbook:08013	certified property value	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
purity	goldbook:08014	chemical purity	oboInOwl:hasRelatedSynonym			goldbook
chemical purity	goldbook:08014	chemical purity	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
consensus value	goldbook:08015	consensus property value	oboInOwl:hasRelatedSynonym			goldbook
consensus property value	goldbook:08015	consensus property value	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
conventional value	goldbook:08016	conventional quantity value	oboInOwl:hasRelatedSynonym			goldbook
conventional value of a quantity	goldbook:08016	conventional quantity value	oboInOwl:hasRelatedSynonym			goldbook
conventional quantity value	goldbook:08016	conventional quantity value	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
critical level	goldbook:08017	critical value	oboInOwl:hasRelatedSynonym			goldbook
decision level	goldbook:08017	critical value	oboInOwl:hasRelatedSynonym			goldbook
critical value	goldbook:08017	critical value	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
determination	goldbook:08018	determination	rdfs:label		doi:10.1515/pac-2019-0819	goldbook
