identifier	name	definition	synonyms	alts	parents	species
08003	analytical chemistry	Scientific discipline that develops and applies strategies, instruments, and procedures to obtain information on the composition and nature of matter in space and time.				
08004	chemical analysis	Application of analytical chemistry.				
08005	additive matrix effect	Matrix effect that is independent of the measured quantity value of the measurand.	background interference|translational matrix effect			
08006	analytical run	Set of measurements of the same quantity performed under repeatability conditions of measurement.	run			
08007	background indication	Indication obtained from a phenomenon, body, or substance similar to the one under investigation but for which a quantity of interest is supposed not to be present or is not contributing to the indication.				
08008	blank correction	Step in a measurement procedure in which the effect of a blank indication is removed from an indication.				
08009	blank indication	Indication obtained from a sample of blank material under the measurement conditions for the measurand.				
08010	blank material	Material which contains no, or as little as possible, of the analyte of interest used in measurement to establish a blank indication.	blank			
08011	calibration certificate	Document issued by a technically competent organization providing information about a calibration.				
08012	calibration interval	Time period between calibrations over which the performance of the measuring system may be expected to meet specified requirements.				
08013	certified property value	Property value of a reference material, accompanied by statements of associated uncertainty and traceability and identified as a certified property value in the reference material certificate.				
08014	chemical purity	Mass (amount of substance or number of entities) of a specified component divided by the mass (amount of substance or number of entities, respectively) of the system.	purity			
08015	consensus property value	Property value derived from a collection of results.	consensus value			
08016	conventional quantity value	Quantity value attributed by agreement to a quantity for a given purpose.	conventional value|conventional value of a quantity			
08017	critical value	Measured quantity value for a quantity of a component in a material, above which the component is declared to be present.	critical level|decision level			
08018	determination	Set of operations that are carried out on an object in order to provide qualitative or quantitative information about this object.				
08019	interferent	Component of the matrix that embodies an influence quantity.				
08020	intermediate measurement precision	Measurement precision under intermediate precision conditions of measurement.	intermediate precision			
08021	laboratory bias	Contribution to measurement bias that is attributed to systematic effects on measurement results made in a laboratory.				
08022	limit of quantification	Smallest or largest measured quantity value, obtained by a given measurement procedure, which fulfils a requirement of fitness for purpose.	LOQ|quantification limit			
08023	linearity of a measuring system	Ability of a measuring system to provide measured quantity values that are directly proportional to the quantity value of the measurand.				
08024	linearity of calibration	Closeness of agreement between indications obtained using calibrators in the first step of a calibration and indications predicted by the calibration function for the calibrators’ reference quantity values.	calibration linearity			
08025	material homogeneity	Uniform structure or composition of a material with respect to one or more specified properties.				
08026	material recovery	Mass (volume, amount of substance) of a specified component isolated from a system divided by the mass (volume, amount of substance) of the system prior to isolation.	recovery			
08027	material stability	Constancy of a property of a material over time.	stability			
08028	measurement procedure	Detailed description of a measurement according to one or more measurement principles and to a given measurement method, based on a measurement model and including any calculation to obtain a measurement result.				
08029	measurement procedure bias	Contribution to measurement bias that is attributed to systematic effects on measurement results made according to a measurement procedure.	measurement method bias			
08030	measurement procedure with standard addition	Measurement procedure in which indications are obtained for an analytical sample as well as for analytical samples with addition(s) of a measurement standard.	standard addition			
08031	measurement reproducibility	Measurement precision under reproducibility conditions of measurement.	reproducibility			
08032	metrological compatibility of measurement results	Property of a set of measurement results for a specified measurand, such that the absolute value of the difference of any pair of measured quantity values from two different measurement results is smaller than some chosen multiple of the standard measurement uncertainty of that difference.	metrological compatibility			
08033	metrological equivalence of measurement results	Property of two or more measurement results for a given measurand which have metrological compatibility of measurement results, so that they are each acceptable for the same specified intended use.	equivalence of measurement results			
08034	minimum sample size	Lower limit of sample size stipulated in documentation taken for chemical analysis.	minimum sample intake			
08035	multiplicative matrix effect	Matrix effect that is proportional to the measured quantity value of the measurand.				
08036	non-certified property value	Property value that is provided for information only but is not certified by a reference material producer.				
08037	object traceability	Ability to trace the history, application, or location of an object.	traceability (of an object)			
08038	property value assignment	Determination of property values obtained in the course of the production of a reference material.	value assignment			
