text	curie	name	predicate	type	provenance	source
VNN	hgnc.genegroup:10	Vanin family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Vanin family	hgnc.genegroup:10	Vanin family	rdfs:label		pubmed:22155241	hgnc.genegroup
UBA	hgnc.genegroup:100	Ubiquitin like modifier activating enzymes	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Ubiquitin like modifier activating enzymes	hgnc.genegroup:100	Ubiquitin like modifier activating enzymes	rdfs:label			hgnc.genegroup
CYP1	hgnc.genegroup:1000	Cytochrome P450 family 1	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 1	hgnc.genegroup:1000	Cytochrome P450 family 1	rdfs:label			hgnc.genegroup
CYP2	hgnc.genegroup:1001	Cytochrome P450 family 2	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 2	hgnc.genegroup:1001	Cytochrome P450 family 2	rdfs:label			hgnc.genegroup
CYP3	hgnc.genegroup:1002	Cytochrome P450 family 3	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 3	hgnc.genegroup:1002	Cytochrome P450 family 3	rdfs:label			hgnc.genegroup
CYP4	hgnc.genegroup:1003	Cytochrome P450 family 4	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 4	hgnc.genegroup:1003	Cytochrome P450 family 4	rdfs:label			hgnc.genegroup
CYP5	hgnc.genegroup:1004	Cytochrome P450 family 5	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 5	hgnc.genegroup:1004	Cytochrome P450 family 5	rdfs:label			hgnc.genegroup
CYP7	hgnc.genegroup:1005	Cytochrome P450 family 7	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 7	hgnc.genegroup:1005	Cytochrome P450 family 7	rdfs:label			hgnc.genegroup
CYP8	hgnc.genegroup:1006	Cytochrome P450 family 8	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 8	hgnc.genegroup:1006	Cytochrome P450 family 8	rdfs:label			hgnc.genegroup
CYP11	hgnc.genegroup:1007	Cytochrome P450 family 11	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 11	hgnc.genegroup:1007	Cytochrome P450 family 11	rdfs:label			hgnc.genegroup
CYP17	hgnc.genegroup:1008	Cytochrome P450 family 17	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 17	hgnc.genegroup:1008	Cytochrome P450 family 17	rdfs:label			hgnc.genegroup
CYP19	hgnc.genegroup:1009	Cytochrome P450 family 19	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 19	hgnc.genegroup:1009	Cytochrome P450 family 19	rdfs:label			hgnc.genegroup
CYP20	hgnc.genegroup:1010	Cytochrome P450 family 20	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 20	hgnc.genegroup:1010	Cytochrome P450 family 20	rdfs:label			hgnc.genegroup
CYP21	hgnc.genegroup:1011	Cytochrome P450 family 21	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 21	hgnc.genegroup:1011	Cytochrome P450 family 21	rdfs:label			hgnc.genegroup
CYP24	hgnc.genegroup:1012	Cytochrome P450 family 24	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 24	hgnc.genegroup:1012	Cytochrome P450 family 24	rdfs:label			hgnc.genegroup
CYP26	hgnc.genegroup:1013	Cytochrome P450 family 26	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 26	hgnc.genegroup:1013	Cytochrome P450 family 26	rdfs:label			hgnc.genegroup
CYP27	hgnc.genegroup:1014	Cytochrome P450 family 27	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 27	hgnc.genegroup:1014	Cytochrome P450 family 27	rdfs:label			hgnc.genegroup
CYP39	hgnc.genegroup:1015	Cytochrome P450 family 39	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 39	hgnc.genegroup:1015	Cytochrome P450 family 39	rdfs:label			hgnc.genegroup
CYP46	hgnc.genegroup:1016	Cytochrome P450 family 46	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 46	hgnc.genegroup:1016	Cytochrome P450 family 46	rdfs:label			hgnc.genegroup
CYP51	hgnc.genegroup:1017	Cytochrome P450 family 51	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cytochrome P450 family 51	hgnc.genegroup:1017	Cytochrome P450 family 51	rdfs:label			hgnc.genegroup
Death effector domain containing	hgnc.genegroup:1019	Death effector domain containing	rdfs:label			hgnc.genegroup
UBE2	hgnc.genegroup:102	Ubiquitin conjugating enzymes E2	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Ubiquitin conjugating enzymes E2	hgnc.genegroup:102	Ubiquitin conjugating enzymes E2	rdfs:label		pubmed:19940261	hgnc.genegroup
DAPK	hgnc.genegroup:1021	Death associated protein kinases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Death associated protein kinases	hgnc.genegroup:1021	Death associated protein kinases	rdfs:label		pubmed:24220854	hgnc.genegroup
ATG	hgnc.genegroup:1022	Autophagy related	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Autophagy related	hgnc.genegroup:1022	Autophagy related	rdfs:label		pubmed:14536056	hgnc.genegroup
CNOT	hgnc.genegroup:1023	CCR4-NOT transcription complex	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
CCR4-NOT transcription complex	hgnc.genegroup:1023	CCR4-NOT transcription complex	rdfs:label			hgnc.genegroup
DNA glycosylases	hgnc.genegroup:1024	DNA glycosylases	rdfs:label		pubmed:22048164	hgnc.genegroup
MBD	hgnc.genegroup:1025	Methyl-CpG binding domain containing	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Methyl-CpG binding domain containing	hgnc.genegroup:1025	Methyl-CpG binding domain containing	rdfs:label		pubmed:25927341	hgnc.genegroup
MSH	hgnc.genegroup:1026	MutS homologs	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
MutS homologs	hgnc.genegroup:1026	MutS homologs	rdfs:label		pubmed:10606644	hgnc.genegroup
MLH	hgnc.genegroup:1027	MutL homologs	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
MutL homologs	hgnc.genegroup:1027	MutL homologs	rdfs:label		pubmed:17965091	hgnc.genegroup
Cytosolic iron-sulfur assembly components	hgnc.genegroup:1028	Cytosolic iron-sulfur assembly components	rdfs:label		pubmed:23585563,pubmed:23891004,pubmed:26099175	hgnc.genegroup
Paf1/RNA polymerase II complex 	hgnc.genegroup:1029	Paf1/RNA polymerase II complex 	rdfs:label		pubmed:24038468	hgnc.genegroup
GGA	hgnc.genegroup:1031	Golgi associated, gamma adaptin ear containing, ARF binding proteins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Golgi associated, gamma adaptin ear containing, ARF binding proteins	hgnc.genegroup:1031	Golgi associated, gamma adaptin ear containing, ARF binding proteins	rdfs:label		pubmed:10747089	hgnc.genegroup
CUL	hgnc.genegroup:1032	Cullins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Cullins	hgnc.genegroup:1032	Cullins	rdfs:label		pubmed:21554755	hgnc.genegroup
SCYL	hgnc.genegroup:1033	SCY1 like pseudokinases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
SCY1 like pseudokinases	hgnc.genegroup:1033	SCY1 like pseudokinases	rdfs:label			hgnc.genegroup
SMC5-6 protein complex	hgnc.genegroup:1034	SMC5-6 protein complex	rdfs:label		pubmed:18086888	hgnc.genegroup
GPAT	hgnc.genegroup:1035	Glycerol-3-phosphate acyltransferases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Glycerol-3-phosphate acyltransferases	hgnc.genegroup:1035	Glycerol-3-phosphate acyltransferases	rdfs:label		pubmed:18658143	hgnc.genegroup
MBOAT	hgnc.genegroup:1036	Membrane bound O-acyltransferase family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Membrane bound O-acyltransferase family	hgnc.genegroup:1036	Membrane bound O-acyltransferase family	rdfs:label		pubmed:19361486	hgnc.genegroup
