identifier	name	definition	synonyms	alts	parents	species
10	Vanin family		VNN		so:0005855	
100	Ubiquitin like modifier activating enzymes	Ubiquitin-activating enzymes, also known as E1 enzymes, catalyze the first step in the ubiquitination reaction, which (among other things) can target a protein for degradation via a proteasome. This covalent attachment of ubiquitin or ubiquitin-like proteins to targeted proteins is a major mechanism for regulating protein function in eukaryotic organisms.	UBA		so:0005855	
1000	Cytochrome P450 family 1		CYP1		hgnc.genegroup:862	
1001	Cytochrome P450 family 2		CYP2		hgnc.genegroup:862	
1002	Cytochrome P450 family 3		CYP3		hgnc.genegroup:862	
1003	Cytochrome P450 family 4		CYP4		hgnc.genegroup:862	
1004	Cytochrome P450 family 5		CYP5		hgnc.genegroup:862	
1005	Cytochrome P450 family 7		CYP7		hgnc.genegroup:862	
1006	Cytochrome P450 family 8		CYP8		hgnc.genegroup:862	
1007	Cytochrome P450 family 11		CYP11		hgnc.genegroup:862	
1008	Cytochrome P450 family 17		CYP17		hgnc.genegroup:862	
1009	Cytochrome P450 family 19		CYP19		hgnc.genegroup:862	
1010	Cytochrome P450 family 20		CYP20		hgnc.genegroup:862	
1011	Cytochrome P450 family 21		CYP21		hgnc.genegroup:862	
1012	Cytochrome P450 family 24		CYP24		hgnc.genegroup:862	
1013	Cytochrome P450 family 26		CYP26		hgnc.genegroup:862	
1014	Cytochrome P450 family 27		CYP27		hgnc.genegroup:862	
1015	Cytochrome P450 family 39		CYP39		hgnc.genegroup:862	
1016	Cytochrome P450 family 46		CYP46		hgnc.genegroup:862	
1017	Cytochrome P450 family 51		CYP51		hgnc.genegroup:862	
1019	Death effector domain containing				so:0005855	
102	Ubiquitin conjugating enzymes E2	Ubiquitin-conjugating enzymes, also known as E2 enzymes and more rarely as ubiquitin-carrier enzymes, perform the second step in the ubiquitination reaction that targets a protein for degradation via the proteasome.The ubiquitination process covalently attaches ubiquitin, a short protein of 76 amino acids, to a lysine residue on the target protein.	UBE2		so:0005855	
1021	Death associated protein kinases		DAPK		so:0005855	
1022	Autophagy related		ATG		so:0005855	
1023	CCR4-NOT transcription complex		CNOT		so:0005855	
1024	DNA glycosylases	DNA glycosylases are a family of enzymes involved in base excision repair, classified under EC number EC 3.2.2. Base excision repair is the mechanism by which damaged bases in DNA are removed and replaced. DNA glycosylases catalyze the first step of this process. They remove the damaged nitrogenous base while leaving the sugar-phosphate backbone intact, creating an apurinic/apyrimidinic site, commonly referred to as an AP site. This is accomplished by flipping the damaged base out of the double helix followed by cleavage of the N- glycosidic bond.  Glycosylases were first discovered in bacteria, and have since been found in all kingdoms of life. In addition to their role in base excision repair DNA glycosylase enzymes have been implicated in the repression of gene silencing in A. thaliana, N. tabacum and other plants by active demethylation. 5-methylcytosine residues are excised and replaced with unmethylated cytosines allowing access to the chromatin structure of the enzymes and proteins necessary for transcription and subsequent translation.  			so:0005855	
1025	Methyl-CpG binding domain containing		MBD		so:0005855	
