text	curie	name	predicate	type	provenance	source
BNaC2	hgnc:100	ASIC1	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
hBNaC2	hgnc:100	ASIC1	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
ACCN2	hgnc:100	ASIC1	oboInOwl:hasRelatedSynonym	omo:0003015		hgnc
amiloride-sensitive cation channel 2, neuronal	hgnc:100	ASIC1	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
acid-sensing (proton-gated) ion channel 1	hgnc:100	ASIC1	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
acid sensing (proton gated) ion channel 1	hgnc:100	ASIC1	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
ASIC1	hgnc:100	ASIC1	rdfs:label		pubmed:9037075	hgnc
SCZD9	hgnc:10000	RGS4	oboInOwl:hasRelatedSynonym	omo:0003015		hgnc
regulator of G-protein signalling 4	hgnc:10000	RGS4	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
schizophrenia disorder 9	hgnc:10000	RGS4	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
regulator of G-protein signaling 4	hgnc:10000	RGS4	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RGS4	hgnc:10000	RGS4	rdfs:label		pubmed:8602223,pubmed:8756726	hgnc
regulator of G-protein signalling 5	hgnc:10001	RGS5	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
regulator of G-protein signaling 5	hgnc:10001	RGS5	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RGS5	hgnc:10001	RGS5	rdfs:label		pubmed:9747037	hgnc
regulator of G-protein signalling 6	hgnc:10002	RGS6	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
regulator of G-protein signaling 6	hgnc:10002	RGS6	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RGS6	hgnc:10002	RGS6	rdfs:label		pubmed:10083744,pubmed:14734556	hgnc
regulator of G-protein signalling 7	hgnc:10003	RGS7	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
regulator of G-protein signaling 7	hgnc:10003	RGS7	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RGS7	hgnc:10003	RGS7	rdfs:label		pubmed:8548815	hgnc
PERRS	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
RGS9L	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
MGC26458	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
MGC111763	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
regulator of G protein signalling 9	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym			hgnc
regulator of G protein signalling 9L	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym			hgnc
regulator of G-protein signaling 9L	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym			hgnc
regulator of G-protein signalling 9	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
regulator of G-protein signaling 9	hgnc:10004	RGS9	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RGS9	hgnc:10004	RGS9	rdfs:label		pubmed:9765512	hgnc
RH50A	hgnc:10006	RHAG	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
CD241	hgnc:10006	RHAG	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
SLC42A1	hgnc:10006	RHAG	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
Ammonium transporter Rh type A	hgnc:10006	RHAG	oboInOwl:hasRelatedSynonym			hgnc
Rhesus blood group-associated glycoprotein	hgnc:10006	RHAG	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RHAG	hgnc:10006	RHAG	rdfs:label		pubmed:22012326,pubmed:9479501	hgnc
RRP	hgnc:10007	RHBDL1	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
RHBDL	hgnc:10007	RHBDL1	oboInOwl:hasRelatedSynonym	omo:0003015		hgnc
rhomboid (veinlet, Drosophila)-like	hgnc:10007	RHBDL1	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
rhomboid, veinlet-like 1 (Drosophila)	hgnc:10007	RHBDL1	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RHBDL1	hgnc:10007	RHBDL1	rdfs:label		pubmed:9662444	hgnc
CD240CE	hgnc:10008	RHCE	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
SLC42A4	hgnc:10008	RHCE	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
RH	hgnc:10008	RHCE	oboInOwl:hasRelatedSynonym	omo:0003015		hgnc
Rhesus blood group, CcEe antigens	hgnc:10008	RHCE	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RHCE	hgnc:10008	RHCE	rdfs:label		pubmed:8220426	hgnc
Rh30a	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
Rh4	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
RhPI	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
RhII	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
DIIIc	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
CD240D	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
SLC42A5	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
RH	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003015		hgnc
Rhesus blood group, D antigen	hgnc:10009	RHD	oboInOwl:hasRelatedSynonym	omo:0003008		hgnc
RHD	hgnc:10009	RHD	rdfs:label		pubmed:8220426	hgnc
ZBTB27	hgnc:1001	BCL6	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
LAZ3	hgnc:1001	BCL6	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
BCL5	hgnc:1001	BCL6	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
BCL6A	hgnc:1001	BCL6	oboInOwl:hasRelatedSynonym	omo:0003016		hgnc
