identifier	name	definition	synonyms	alts	parents	species
100	ASIC1	acid sensing ion channel subunit 1	ACCN2|BNaC2|acid sensing (proton gated) ion channel 1|acid-sensing (proton-gated) ion channel 1|amiloride-sensitive cation channel 2, neuronal|hBNaC2		so:0001217	ncbitaxon:9606
10000	RGS4	regulator of G protein signaling 4	SCZD9|regulator of G-protein signaling 4|regulator of G-protein signalling 4|schizophrenia disorder 9		so:0001217	ncbitaxon:9606
10001	RGS5	regulator of G protein signaling 5	regulator of G-protein signaling 5|regulator of G-protein signalling 5		so:0001217	ncbitaxon:9606
10002	RGS6	regulator of G protein signaling 6	regulator of G-protein signaling 6|regulator of G-protein signalling 6		so:0001217	ncbitaxon:9606
10003	RGS7	regulator of G protein signaling 7	regulator of G-protein signaling 7|regulator of G-protein signalling 7		so:0001217	ncbitaxon:9606
10004	RGS9	regulator of G protein signaling 9	MGC111763|MGC26458|PERRS|RGS9L|regulator of G protein signalling 9|regulator of G protein signalling 9L|regulator of G-protein signaling 9|regulator of G-protein signaling 9L|regulator of G-protein signalling 9		so:0001217	ncbitaxon:9606
10006	RHAG	Rh associated glycoprotein	Ammonium transporter Rh type A|CD241|RH50A|Rhesus blood group-associated glycoprotein|SLC42A1		so:0001217	ncbitaxon:9606
10007	RHBDL1	rhomboid like 1	RHBDL|RRP|rhomboid (veinlet, Drosophila)-like|rhomboid, veinlet-like 1 (Drosophila)		so:0001217	ncbitaxon:9606
10008	RHCE	Rh blood group CcEe antigens	CD240CE|RH|Rhesus blood group, CcEe antigens|SLC42A4		so:0001217	ncbitaxon:9606
10009	RHD	Rh blood group D antigen	CD240D|DIIIc|RH|Rh30a|Rh4|RhII|RhPI|Rhesus blood group, D antigen|SLC42A5		so:0001217	ncbitaxon:9606
1001	BCL6	BCL6 transcription repressor	B cell CLL/lymphoma 6|BCL5|BCL6, transcription repressor|BCL6A|LAZ3|ZBTB27|ZNF51|zinc finger protein 51		so:0001217	ncbitaxon:9606
10010	RHEBP1	RHEB pseudogene 1	RHEB|RHEB1|Ras homolog enriched in brain 1|Ras-homolog enriched in brain pseudogene 1		so:0000336	ncbitaxon:9606
10011	RHEB	Ras homolog, mTORC1 binding	RHEB2|Ras homolog enriched in brain|Ras homolog enriched in brain 2		so:0001217	ncbitaxon:9606
10012	RHO	rhodopsin	CSNBAD1|OPN2|RP4|opsin 2, rod pigment|retinitis pigmentosa 4, autosomal dominant		so:0001217	ncbitaxon:9606
10013	GRK1	G protein-coupled receptor kinase 1	GPRK1|RHOK|RK|rhodopsin kinase		so:0001217	ncbitaxon:9606
10017	RIT2	Ras like without CAAX 2	RIBA|RIN|Ric (Drosophila)-like, expressed in neurons		so:0001217	ncbitaxon:9606
10018	RING1	ring finger protein 1	RNF1		so:0001217	ncbitaxon:9606
10019	RIPK1	receptor interacting serine/threonine kinase 1	RIP|RIP-1|RIP1|receptor (TNFRSF)-interacting serine-threonine kinase 1|receptor-interacting protein kinase 1		so:0001217	ncbitaxon:9606
1002	BCL6B	BCL6B transcription repressor	B cell CLL/lymphoma 6B|B-cell CLL/lymphoma 6, member B|B-cell CLL/lymphoma 6, member B (zinc finger protein)|BAZF|BCL6B, transcription repressor|ZBTB28|ZNF62|zinc finger protein 62		so:0001217	ncbitaxon:9606
10020	RIPK2	receptor interacting serine/threonine kinase 2	CARD3|CARDIAK|RICK|RIP2|receptor-interacting serine-threonine kinase 2		so:0001217	ncbitaxon:9606
10021	RIPK3	receptor interacting serine/threonine kinase 3	RIP3|receptor-interacting serine-threonine kinase 3		so:0001217	ncbitaxon:9606
10023	RIT1	Ras like without CAAX 1	GTP-binding protein Roc1|MGC125864|MGC125865|RIBB|RIT|ROC1|Ric (Drosophila)-like, expressed in many tissues|Ric-like, expressed in many tissues		so:0001217	ncbitaxon:9606
10024	RLBP1	retinaldehyde binding protein 1	CRALBP|retinaldehyde-binding protein 1		so:0001217	ncbitaxon:9606
10025	RLF	RLF zinc finger	ZNF292L|Zn-15L|rearranged L-myc fusion|rearranged L-myc fusion sequence		so:0001217	ncbitaxon:9606
10026	RLN1	relaxin 1	H1|prorelaxin H1|relaxin 1 (H1)		so:0001217	ncbitaxon:9606
10027	RLN2	relaxin 2	H2|RLXH2|bA12D24.1.1|bA12D24.1.2|prorelaxin H2|relaxin 2 (H2)|relaxin H2|relaxin, ovarian, of pregnancy		so:0001217	ncbitaxon:9606
10031	RMRP	RNA component of mitochondrial RNA processing endoribonuclease	CHH|NME1|RMRPR|RNase MRP RNA|RRP2|cartilage-hair hypoplasia		so:0001266	ncbitaxon:9606
10037	RN7SK	RNA component of 7SK nuclear ribonucleoprotein	7SK|RNA, 7SK small nuclear|RNA, 7SK, nuclear		so:0002127	ncbitaxon:9606
10038	RN7SL1	RNA component of signal recognition particle 7SL1	7L1a|7SL|RN7SL|RNA, 7SL, cytoplasmic|RNA, 7SL, cytoplasmic 1|RNSRP1|SRP RNA 1		so:0002127	ncbitaxon:9606
10039	RN7SL4P	RNA, 7SL, cytoplasmic 4, pseudogene	7L28|RN7SL427P|RN7SLP1|RNA, 7SL, cytoplasmic 427, pseudogene|RNA, 7SL, cytoplasmic, pseudogene 1		so:0000336	ncbitaxon:9606
1004	BCL7A	BAF chromatin remodeling complex subunit BCL7A	B-cell CLL/lymphoma 7A|BCL tumor suppressor 7A|BCL7|BCL7A, BAF complex component|SMARCJ1		so:0001217	ncbitaxon:9606
10040	RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene	7LEM1|RN7SL249P|RN7SLP2|RNA, 7SL, cytoplasmic 249, pseudogene|RNA, 7SL, cytoplasmic, pseudogene 2		so:0000336	ncbitaxon:9606
10041	RN7SL6P	RNA, 7SL, cytoplasmic 6, pseudogene	7L7|RN7SL848P|RN7SLP3|RNA, 7SL, cytoplasmic 848, pseudogene|RNA, 7SL, cytoplasmic, pseudogene 3		so:0000336	ncbitaxon:9606
10042	RN7SL7P	RNA, 7SL, cytoplasmic 7, pseudogene	7L23|RN7SL27P|RN7SLP4|RNA, 7SL, cytoplasmic 27, pseudogene|RNA, 7SL, cytoplasmic, pseudogene 4		so:0000336	ncbitaxon:9606
10043	RN7SL8P	RNA, 7SL, cytoplasmic 8, pseudogene	7L63|RN7SL433P|RN7SLP5|RNA, 7SL, cytoplasmic 433, pseudogene|RNA, 7SL, cytoplasmic, pseudogene 5		so:0000336	ncbitaxon:9606
10044	RNASE1	ribonuclease A family member 1, pancreatic	RAC1|RNS1|ribonuclease, RNase A family, 1 (pancreatic)		so:0001217	ncbitaxon:9606
10045	RNASE2	ribonuclease A family member 2	EDN|RAF3|RNS2|eosinophil-derived neurotoxin|ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)		so:0001217	ncbitaxon:9606
10046	RNASE3	ribonuclease A family member 3	ECP|RAF1|RNS3|eosinophil cationic protein|ribonuclease, RNase A family, 3		so:0001217	ncbitaxon:9606
10047	RNASE4	ribonuclease A family member 4	RAB1|ribonuclease, RNase A family, 4		so:0001217	ncbitaxon:9606
10048	RNASE6	ribonuclease A family member 6	RAD1|RNS6|RNase k6|RNaseK6|ribonuclease, RNase A family, k6		so:0001217	ncbitaxon:9606
10049	RNASEH1P1	ribonuclease H1 pseudogene 1	RNASEH1|RNH1|ribonuclease H1		so:0000336	ncbitaxon:9606
1005	BCL7B	BAF chromatin remodeling complex subunit BCL7B	B-cell CLL/lymphoma 7B|BCL tumor suppressor 7B|BCL7B, BAF complex component|SMARCJ2		so:0001217	ncbitaxon:9606
10050	RNASEL	ribonuclease L	PRCA1|RNS4|prostate cancer 1|ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)		so:0001217	ncbitaxon:9606
10055	RNF10	ring finger protein 10	KIAA0262|RIE2		so:0001217	ncbitaxon:9606
10056	RNF11	ring finger protein 11	CGI-123|MGC51169|Sid1669p		so:0001217	ncbitaxon:9606
10057	RNF13	ring finger protein 13	RZF		so:0001217	ncbitaxon:9606
10058	RNF14	ring finger protein 14	ARA54|HFB30|TRIAD2		so:0001217	ncbitaxon:9606
10059	TRIM38	tripartite motif containing 38	RNF15|RORET|ring finger protein 15|tripartite motif-containing 38		so:0001217	ncbitaxon:9606
1006	BCL7C	BAF chromatin remodeling complex subunit BCL7C	B-cell CLL/lymphoma 7C|BCL tumor suppressor 7C|BCL7C, BAF complex component|SMARCJ3		so:0001217	ncbitaxon:9606
10060	RNF17	ring finger protein 17	FLJ11045|Mmip-2|SPATA23|TDRD4|spermatogenesis associated 23|tudor domain containing 4		so:0001217	ncbitaxon:9606
10061	RNF2	ring finger protein 2	BAP-1|BAP1|DING|HIPI3|RING1B|RING2		so:0001217	ncbitaxon:9606
