subject_id	object_id	predicate_id	mapping_justification
iana.mediatype:application/ecmascript	iana.mediatype:text/javascript	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/font-sfnt	iana.mediatype:font/sfnt	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/font-woff	iana.mediatype:font/woff	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/javascript	iana.mediatype:text/javascript	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/smil	iana.mediatype:application/smil+xml	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.3gpp.mcvideo-affiliation-info+xml	iana.mediatype:application/vnd.3gpp.mcvideo-info+xml	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.arastra.swi	iana.mediatype:application/vnd.aristanetworks.swi	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.geo+json	iana.mediatype:application/geo+json	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.ibm.afplinedata	iana.mediatype:application/vnd.afpc.afplinedata	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.ibm.modcap	iana.mediatype:application/vnd.afpc.modca	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.informix-visionary	iana.mediatype:application/vnd.visionary	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.oasis.opendocument.database	iana.mediatype:application/vnd.oasis.opendocument.base	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:application/vnd.youtube.yt	iana.mediatype:video/vnd.youtube.yt	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:audio/vnd.qcelp	iana.mediatype:audio/QCELP	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:image/x-emf	iana.mediatype:image/emf	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:image/x-wmf	iana.mediatype:image/wmf	IAO:0100001	semapv:UnspecifiedMatching
iana.mediatype:text/ecmascript	iana.mediatype:text/javascript	IAO:0100001	semapv:UnspecifiedMatching
