text	curie	name	predicate	source
application	iana.mediatype:application	application	rdfs:label	iana.mediatype
1d-interleaved-parityfec	iana.mediatype:application/1d-interleaved-parityfec	1d-interleaved-parityfec	rdfs:label	iana.mediatype
3gpdash-qoe-report+xml	iana.mediatype:application/3gpdash-qoe-report+xml	3gpdash-qoe-report+xml	rdfs:label	iana.mediatype
3gpp-ims+xml	iana.mediatype:application/3gpp-ims+xml	3gpp-ims+xml	rdfs:label	iana.mediatype
3gppHal+json	iana.mediatype:application/3gppHal+json	3gppHal+json	rdfs:label	iana.mediatype
3gppHalForms+json	iana.mediatype:application/3gppHalForms+json	3gppHalForms+json	rdfs:label	iana.mediatype
A2L	iana.mediatype:application/A2L	A2L	rdfs:label	iana.mediatype
AML	iana.mediatype:application/AML	AML	rdfs:label	iana.mediatype
ATF	iana.mediatype:application/ATF	ATF	rdfs:label	iana.mediatype
ATFX	iana.mediatype:application/ATFX	ATFX	rdfs:label	iana.mediatype
ATXML	iana.mediatype:application/ATXML	ATXML	rdfs:label	iana.mediatype
CALS-1840	iana.mediatype:application/CALS-1840	CALS-1840	rdfs:label	iana.mediatype
CDFX+XML	iana.mediatype:application/CDFX+XML	CDFX+XML	rdfs:label	iana.mediatype
CEA	iana.mediatype:application/CEA	CEA	rdfs:label	iana.mediatype
CSTAdata+xml	iana.mediatype:application/CSTAdata+xml	CSTAdata+xml	rdfs:label	iana.mediatype
DCD	iana.mediatype:application/DCD	DCD	rdfs:label	iana.mediatype
DII	iana.mediatype:application/DII	DII	rdfs:label	iana.mediatype
DIT	iana.mediatype:application/DIT	DIT	rdfs:label	iana.mediatype
EDI-X12	iana.mediatype:application/EDI-X12	EDI-X12	rdfs:label	iana.mediatype
EDI-consent	iana.mediatype:application/EDI-consent	EDI-consent	rdfs:label	iana.mediatype
EDIFACT	iana.mediatype:application/EDIFACT	EDIFACT	rdfs:label	iana.mediatype
EmergencyCallData.Comment+xml	iana.mediatype:application/EmergencyCallData.Comment+xml	EmergencyCallData.Comment+xml	rdfs:label	iana.mediatype
EmergencyCallData.Control+xml	iana.mediatype:application/EmergencyCallData.Control+xml	EmergencyCallData.Control+xml	rdfs:label	iana.mediatype
EmergencyCallData.DeviceInfo+xml	iana.mediatype:application/EmergencyCallData.DeviceInfo+xml	EmergencyCallData.DeviceInfo+xml	rdfs:label	iana.mediatype
EmergencyCallData.LegacyESN+json	iana.mediatype:application/EmergencyCallData.LegacyESN+json	EmergencyCallData.LegacyESN+json	rdfs:label	iana.mediatype
EmergencyCallData.ProviderInfo+xml	iana.mediatype:application/EmergencyCallData.ProviderInfo+xml	EmergencyCallData.ProviderInfo+xml	rdfs:label	iana.mediatype
EmergencyCallData.ServiceInfo+xml	iana.mediatype:application/EmergencyCallData.ServiceInfo+xml	EmergencyCallData.ServiceInfo+xml	rdfs:label	iana.mediatype
EmergencyCallData.SubscriberInfo+xml	iana.mediatype:application/EmergencyCallData.SubscriberInfo+xml	EmergencyCallData.SubscriberInfo+xml	rdfs:label	iana.mediatype
EmergencyCallData.VEDS+xml	iana.mediatype:application/EmergencyCallData.VEDS+xml	EmergencyCallData.VEDS+xml	rdfs:label	iana.mediatype
