identifier	name	definition	synonyms	alts	parents	species
application/1d-interleaved-parityfec	1d-interleaved-parityfec				obo:iana.mediatype#application	
application/3gpdash-qoe-report+xml	3gpdash-qoe-report+xml				obo:iana.mediatype#application	
application/3gpp-ims+xml	3gpp-ims+xml				obo:iana.mediatype#application	
application/3gppHal+json	3gppHal+json				obo:iana.mediatype#application	
application/3gppHalForms+json	3gppHalForms+json				obo:iana.mediatype#application	
application/A2L	A2L				obo:iana.mediatype#application	
application/AML	AML				obo:iana.mediatype#application	
application/ATF	ATF				obo:iana.mediatype#application	
application/ATFX	ATFX				obo:iana.mediatype#application	
application/ATXML	ATXML				obo:iana.mediatype#application	
application/CALS-1840	CALS-1840				obo:iana.mediatype#application	
application/CDFX+XML	CDFX+XML				obo:iana.mediatype#application	
application/CEA	CEA				obo:iana.mediatype#application	
application/CSTAdata+xml	CSTAdata+xml				obo:iana.mediatype#application	
application/DCD	DCD				obo:iana.mediatype#application	
application/DII	DII				obo:iana.mediatype#application	
application/DIT	DIT				obo:iana.mediatype#application	
application/EDI-X12	EDI-X12				obo:iana.mediatype#application	
application/EDI-consent	EDI-consent				obo:iana.mediatype#application	
application/EDIFACT	EDIFACT				obo:iana.mediatype#application	
application/EmergencyCallData.Comment+xml	EmergencyCallData.Comment+xml				obo:iana.mediatype#application	
application/EmergencyCallData.Control+xml	EmergencyCallData.Control+xml				obo:iana.mediatype#application	
application/EmergencyCallData.DeviceInfo+xml	EmergencyCallData.DeviceInfo+xml				obo:iana.mediatype#application	
application/EmergencyCallData.LegacyESN+json	EmergencyCallData.LegacyESN+json				obo:iana.mediatype#application	
application/EmergencyCallData.ProviderInfo+xml	EmergencyCallData.ProviderInfo+xml				obo:iana.mediatype#application	
application/EmergencyCallData.ServiceInfo+xml	EmergencyCallData.ServiceInfo+xml				obo:iana.mediatype#application	
application/EmergencyCallData.SubscriberInfo+xml	EmergencyCallData.SubscriberInfo+xml				obo:iana.mediatype#application	
application/EmergencyCallData.VEDS+xml	EmergencyCallData.VEDS+xml				obo:iana.mediatype#application	
application/EmergencyCallData.cap+xml	EmergencyCallData.cap+xml				obo:iana.mediatype#application	
application/EmergencyCallData.eCall.MSD	EmergencyCallData.eCall.MSD				obo:iana.mediatype#application	
application/H224	H224				obo:iana.mediatype#application	
application/IOTP	IOTP				obo:iana.mediatype#application	
application/ISUP	ISUP				obo:iana.mediatype#application	
application/LXF	LXF				obo:iana.mediatype#application	
application/MF4	MF4				obo:iana.mediatype#application	
application/ODA	ODA				obo:iana.mediatype#application	
application/ODX	ODX				obo:iana.mediatype#application	
application/PDX	PDX				obo:iana.mediatype#application	
application/QSIG	QSIG				obo:iana.mediatype#application	
application/SGML	SGML				obo:iana.mediatype#application	
application/ST2110-41	ST2110-41				obo:iana.mediatype#application	
application/TETRA_ISI	TETRA_ISI				obo:iana.mediatype#application	
application/ace+cbor	ace+cbor				obo:iana.mediatype#application	
application/ace+json	ace+json				obo:iana.mediatype#application	
application/ace-groupcomm+cbor	ace-groupcomm+cbor				obo:iana.mediatype#application	
application/ace-trl+cbor	ace-trl+cbor				obo:iana.mediatype#application	
application/activemessage	activemessage				obo:iana.mediatype#application	
application/activity+json	activity+json				obo:iana.mediatype#application	
application/aif+cbor	aif+cbor				obo:iana.mediatype#application	
application/aif+json	aif+json				obo:iana.mediatype#application	
application/alto-cdni+json	alto-cdni+json				obo:iana.mediatype#application	
application/alto-cdnifilter+json	alto-cdnifilter+json				obo:iana.mediatype#application	
application/alto-costmap+json	alto-costmap+json				obo:iana.mediatype#application	
application/alto-costmapfilter+json	alto-costmapfilter+json				obo:iana.mediatype#application	
application/alto-directory+json	alto-directory+json				obo:iana.mediatype#application	
application/alto-endpointcost+json	alto-endpointcost+json				obo:iana.mediatype#application	
application/alto-endpointcostparams+json	alto-endpointcostparams+json				obo:iana.mediatype#application	
