text	curie	name	predicate	source
Cholera	icd10:A00	Cholera	rdfs:label	icd10
Cholera	icd10:A00	Cholera	rdfs:label	icd10
Cholera	icd10:A00	Cholera	rdfs:label	icd10
Cholera	icd10:A00	Cholera	rdfs:label	icd10
Intestinal infectious diseases	icd10:A00-A09	Intestinal infectious diseases	rdfs:label	icd10
Typhoid and paratyphoid fevers	icd10:A01	Typhoid and paratyphoid fevers	rdfs:label	icd10
Typhoid and paratyphoid fevers	icd10:A01	Typhoid and paratyphoid fevers	rdfs:label	icd10
Typhoid and paratyphoid fevers	icd10:A01	Typhoid and paratyphoid fevers	rdfs:label	icd10
Typhoid and paratyphoid fevers	icd10:A01	Typhoid and paratyphoid fevers	rdfs:label	icd10
Typhoid and paratyphoid fevers	icd10:A01	Typhoid and paratyphoid fevers	rdfs:label	icd10
Typhoid and paratyphoid fevers	icd10:A01	Typhoid and paratyphoid fevers	rdfs:label	icd10
Other salmonella infections	icd10:A02	Other salmonella infections	rdfs:label	icd10
Other salmonella infections	icd10:A02	Other salmonella infections	rdfs:label	icd10
Other salmonella infections	icd10:A02	Other salmonella infections	rdfs:label	icd10
Other salmonella infections	icd10:A02	Other salmonella infections	rdfs:label	icd10
Other salmonella infections	icd10:A02	Other salmonella infections	rdfs:label	icd10
Other salmonella infections	icd10:A02	Other salmonella infections	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Shigellosis	icd10:A03	Shigellosis	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial intestinal infections	icd10:A04	Other bacterial intestinal infections	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Other bacterial foodborne intoxications, not elsewhere classified	icd10:A05	Other bacterial foodborne intoxications, not elsewhere classified	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Amoebiasis	icd10:A06	Amoebiasis	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Other protozoal intestinal diseases	icd10:A07	Other protozoal intestinal diseases	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Viral and other specified intestinal infections	icd10:A08	Viral and other specified intestinal infections	rdfs:label	icd10
Other gastroenteritis and colitis of infectious and unspecified origin	icd10:A09	Other gastroenteritis and colitis of infectious and unspecified origin	rdfs:label	icd10
Other gastroenteritis and colitis of infectious and unspecified origin	icd10:A09	Other gastroenteritis and colitis of infectious and unspecified origin	rdfs:label	icd10
Other gastroenteritis and colitis of infectious and unspecified origin	icd10:A09	Other gastroenteritis and colitis of infectious and unspecified origin	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10:A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	rdfs:label	icd10
Tuberculosis	icd10:A15-A19	Tuberculosis	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10:A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	rdfs:label	icd10
Tuberculosis of nervous system	icd10:A17	Tuberculosis of nervous system	rdfs:label	icd10
Tuberculosis of nervous system	icd10:A17	Tuberculosis of nervous system	rdfs:label	icd10
Tuberculosis of nervous system	icd10:A17	Tuberculosis of nervous system	rdfs:label	icd10
Tuberculosis of nervous system	icd10:A17	Tuberculosis of nervous system	rdfs:label	icd10
Tuberculosis of nervous system	icd10:A17	Tuberculosis of nervous system	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Tuberculosis of other organs	icd10:A18	Tuberculosis of other organs	rdfs:label	icd10
Miliary tuberculosis	icd10:A19	Miliary tuberculosis	rdfs:label	icd10
Miliary tuberculosis	icd10:A19	Miliary tuberculosis	rdfs:label	icd10
Miliary tuberculosis	icd10:A19	Miliary tuberculosis	rdfs:label	icd10
Miliary tuberculosis	icd10:A19	Miliary tuberculosis	rdfs:label	icd10
Miliary tuberculosis	icd10:A19	Miliary tuberculosis	rdfs:label	icd10
Miliary tuberculosis	icd10:A19	Miliary tuberculosis	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Plague	icd10:A20	Plague	rdfs:label	icd10
Certain zoonotic bacterial diseases	icd10:A20-A28	Certain zoonotic bacterial diseases	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Tularaemia	icd10:A21	Tularaemia	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Anthrax	icd10:A22	Anthrax	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Brucellosis	icd10:A23	Brucellosis	rdfs:label	icd10
Glanders and melioidosis	icd10:A24	Glanders and melioidosis	rdfs:label	icd10
Glanders and melioidosis	icd10:A24	Glanders and melioidosis	rdfs:label	icd10
Glanders and melioidosis	icd10:A24	Glanders and melioidosis	rdfs:label	icd10
Glanders and melioidosis	icd10:A24	Glanders and melioidosis	rdfs:label	icd10
Glanders and melioidosis	icd10:A24	Glanders and melioidosis	rdfs:label	icd10
Glanders and melioidosis	icd10:A24	Glanders and melioidosis	rdfs:label	icd10
Rat-bite fevers	icd10:A25	Rat-bite fevers	rdfs:label	icd10
Rat-bite fevers	icd10:A25	Rat-bite fevers	rdfs:label	icd10
Rat-bite fevers	icd10:A25	Rat-bite fevers	rdfs:label	icd10
Rat-bite fevers	icd10:A25	Rat-bite fevers	rdfs:label	icd10
Erysipeloid	icd10:A26	Erysipeloid	rdfs:label	icd10
Erysipeloid	icd10:A26	Erysipeloid	rdfs:label	icd10
Erysipeloid	icd10:A26	Erysipeloid	rdfs:label	icd10
Erysipeloid	icd10:A26	Erysipeloid	rdfs:label	icd10
Erysipeloid	icd10:A26	Erysipeloid	rdfs:label	icd10
Leptospirosis	icd10:A27	Leptospirosis	rdfs:label	icd10
