identifier	name	definition	synonyms	alts	parents	species
A00	Cholera				icd10:A00-A09	
A00	Cholera				icd10:A00-A09	
A00	Cholera				icd10:A00-A09	
A00	Cholera				icd10:A00-A09	
A00-A09	Intestinal infectious diseases				icd10:I	
A01	Typhoid and paratyphoid fevers				icd10:A00-A09	
A01	Typhoid and paratyphoid fevers				icd10:A00-A09	
A01	Typhoid and paratyphoid fevers				icd10:A00-A09	
A01	Typhoid and paratyphoid fevers				icd10:A00-A09	
A01	Typhoid and paratyphoid fevers				icd10:A00-A09	
A01	Typhoid and paratyphoid fevers				icd10:A00-A09	
A02	Other salmonella infections				icd10:A00-A09	
A02	Other salmonella infections				icd10:A00-A09	
A02	Other salmonella infections				icd10:A00-A09	
A02	Other salmonella infections				icd10:A00-A09	
A02	Other salmonella infections				icd10:A00-A09	
A02	Other salmonella infections				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A03	Shigellosis				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A04	Other bacterial intestinal infections				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A05	Other bacterial foodborne intoxications, not elsewhere classified				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A06	Amoebiasis				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A07	Other protozoal intestinal diseases				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A08	Viral and other specified intestinal infections				icd10:A00-A09	
A09	Other gastroenteritis and colitis of infectious and unspecified origin				icd10:A00-A09	
A09	Other gastroenteritis and colitis of infectious and unspecified origin				icd10:A00-A09	
A09	Other gastroenteritis and colitis of infectious and unspecified origin				icd10:A00-A09	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed				icd10:A15-A19	
A15-A19	Tuberculosis				icd10:I	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically				icd10:A15-A19	
A17	Tuberculosis of nervous system				icd10:A15-A19	
A17	Tuberculosis of nervous system				icd10:A15-A19	
A17	Tuberculosis of nervous system				icd10:A15-A19	
A17	Tuberculosis of nervous system				icd10:A15-A19	
A17	Tuberculosis of nervous system				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A18	Tuberculosis of other organs				icd10:A15-A19	
A19	Miliary tuberculosis				icd10:A15-A19	
A19	Miliary tuberculosis				icd10:A15-A19	
A19	Miliary tuberculosis				icd10:A15-A19	
