subject_id	object_id	predicate_id	mapping_justification
icd11:1000004774	icd11.code:LB74.4	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000034337	icd11.code:XM85F8	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000136681	icd11.code:XM70G2	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000142683	icd11.code:XM7J43	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000217899	icd11.code:XM41B9	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000331412	icd11.code:NC56.4	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000337196	icd11.code:MB20.0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100035293	icd11.code:XE5QH	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000592924	icd11.code:1F66.31	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000635852	icd11.code:XH06M2	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000683110	icd11.code:4A44.8	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000693956	icd11.code:ND56.8	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000728679	icd11.code:XA87M9	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000771513	icd11.code:XA1XM3	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000894786	icd11.code:1A05	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000930055	icd11.code:XM5MX5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000930983	icd11.code:QD71.2	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000950656	icd11.code:9B72.0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1000964652	icd11.code:XM8MP2	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001041854	icd11.code:GA23	skos:exactMatch	semapv:UnspecifiedMatching
icd11:10010987	icd11.code:XM6027	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001180183	icd11.code:XH79L3	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001188833	icd11.code:XA8113	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001215195	icd11.code:XH0AK5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001578808	icd11.code:DA25.13	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001737902	icd11.code:8D44	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001757676	icd11.code:DA60.6	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001776219	icd11.code:PD00	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001801526	icd11.code:XN0AS	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001865004	icd11.code:NE82.00	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1001902101	icd11.code:KB48	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002019615	icd11.code:XE8Z5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002081555	icd11.code:NA07.4A	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100209899	icd11.code:6C4D.11	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002130466	icd11.code:EB90.10	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002164513	icd11.code:XM2EP3	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002206661	icd11.code:XD62N1	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002246510	icd11.code:XH9HV0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002252474	icd11.code:XM01D4	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002275014	icd11.code:DD91.02	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002292151	icd11.code:LA14.07	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002311904	icd11.code:XM5664	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002499710	icd11.code:5C78	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002532547	icd11.code:XA4947	skos:exactMatch	semapv:UnspecifiedMatching
icd11:10025514	icd11.code:DA01.13	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002894383	icd11.code:XN5PM	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002963291	icd11.code:BA03	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1002985340	icd11.code:1A72.2	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1003119079	icd11.code:SG32	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1003207826	icd11.code:ND12.0	skos:exactMatch	semapv:UnspecifiedMatching
