identifier	name	definition	synonyms	alts	parents	species
IPR000001	Kringle					
IPR000003	Retinoid X receptor/HNF4				interpro:IPR001723	
IPR000006	Metallothionein, vertebrate					
IPR000007	Tubby, C-terminal					
IPR000008	C2 domain					
IPR000009	Protein phosphatase 2A regulatory subunit PR55					
IPR000010	Cystatin domain					
IPR000011	Ubiquitin/SUMO-activating enzyme E1-like				interpro:IPR045886	
IPR000012	Retroviral VpR/VpX protein					
IPR000013	Peptidase M7, snapalysin					
IPR000014	PAS domain					
IPR000015	Outer membrane usher protein					
IPR000018	P2Y purinoceptor 4				interpro:IPR000276	
IPR000020	Anaphylatoxin/fibulin					
IPR000021	Hok/gef cell toxic protein					
IPR000023	Phosphofructokinase domain					
IPR000025	Melatonin receptor family				interpro:IPR000276	
IPR000026	Guanine-specific ribonuclease N1-like					
IPR000028	Chloroperoxidase					
IPR000030	PPE domain					
IPR000031	PurE domain					
IPR000032	Phosphocarrier protein HPr-like					
IPR000033	LDLR class B repeat					
IPR000034	Laminin IV					
IPR000035	Alkylbase DNA glycosidase, conserved site					
IPR000036	Peptidase A26, omptin					
IPR000037	SsrA-binding protein					
IPR000039	Large ribosomal subunit protein eL18					
IPR000040	Acute myeloid leukemia 1 protein (AML1)/Runt					
IPR000043	Adenosylhomocysteinase-like					
IPR000044	Uncharacterised lipoprotein MG045					
IPR000045	Prepilin type IV endopeptidase, peptidase domain					
IPR000046	Neurokinin NK1 receptor				interpro:IPR001681|interpro:IPR001681	
IPR000047	Helix-turn-helix motif					
IPR000048	IQ motif, EF-hand binding site					
IPR000049	Electron transfer flavoprotein, beta-subunit, conserved site					
IPR000052	Potex/carlavirus coat protein					
IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase					
IPR000054	Large ribosomal subunit protein eL31					
IPR000055	Type I restriction modification DNA specificity domain					
IPR000056	Ribulose-phosphate 3-epimerase-like					
IPR000057	CXC chemokine receptor 2				interpro:IPR000174|interpro:IPR000174|interpro:IPR000174|interpro:IPR000174	
IPR000058	Zinc finger, AN1-type					
IPR000059	NUDIX hydrolase, NudL, conserved site					
IPR000060	BCCT transporter family					
IPR000061	SWAP/Surp					
IPR000064	Endopeptidase, NLPC/P60 domain					
IPR000065	Leptin					
IPR000066	Antenna complex, alpha/beta subunit					
IPR000067	Flagellar M-ring protein FliF				interpro:IPR043427	
IPR000068	GPCR, family 3, extracellular calcium-sensing receptor-related					
IPR000069	Envelope glycoprotein M, flavivirus					
IPR000070	Pectinesterase, catalytic					
IPR000071	Immunodeficiency lentiviral matrix, N-terminal					
IPR000072	PDGF/VEGF domain					
IPR000073	Alpha/beta hydrolase fold-1					
IPR000074	Apolipoprotein A/E					
IPR000076	K/Cl co-transporter				interpro:IPR004842	
IPR000077	Large ribosomal subunit protein eL39					
IPR000079	High mobility group protein HMGN					
IPR000081	Peptidase C3, picornavirus core protein 2A					
IPR000082	SEA domain					
IPR000083	Fibronectin, type I					
IPR000084	PE-PGRS family, N-terminal					
IPR000085	Holliday junction branch migration complex subunit RuvA					
IPR000086	NUDIX hydrolase domain					
IPR000089	Biotin/lipoyl attachment					
IPR000090	Flagellar motor switch protein FliG					
IPR000091	Huntingtin				interpro:IPR028426	
