identifier	name	definition	synonyms	alts	parents	species
000	Erwinia pyrifoliae Ep1/96					
000	Escherichia coli UM146					
000	Campylobacter fetus subsp. venerealis cfvi03/293					
000	Anoxybacillus gonensis G2					
000	Pogona vitticeps (central bearded dragon)					
000	Endosymbiont of Sipalinus gigas					
000	Nocardioides anomalus HKS04					
000	Photorhabdus luminescens 0813-124 phase I					
000	Sinorhizobium numidicum CIP 109850 (Ensifer numidicus CIP 109850)					
001	Haemophilus influenzae Rd KW20 (serotype d)					
001	Homo sapiens (human)					
001	Escherichia coli UMNK88 (ETEC, porcine)					
001	Thermocrinis ruber DSM 23557					
001	Octadecabacter temperatus SB1					
001	Nitrospira japonica NJ1					
001	Haemophilus pittmaniae NCTC13334					
001	Nostoc edaphicum CCNP1411					
001	Leucobacter luti Wa41.01b-2					
001	Sinorhizobium garamanticum LMG 24692 (Ensifer garamanticus LMG 24692)					
001	Human immunodeficiency virus 1 (HIV-1)					
002	Mycoplasmoides genitalium G37 (Mycoplasma genitalium G37)					
002	Mus musculus (house mouse)					
002	Escherichia coli W					
002	Pseudomonas cichorii JBC1					
002	Methylophilus sp. TWE2					
002	Boleophthalmus pectinirostris (great blue-spotted mudskipper)					
002	Mycoplasmopsis bovirhinis GS01 (Mycoplasma bovirhinis GS01)					
002	Brettanomyces nanus CBS 1945					
002	Porphyromonas endodontalis FDAARGOS_1506					
002	Enterobacter quasiroggenkampii WS12-3					
002	Human immunodeficiency virus 2 (HIV-2)					
003	Methanocaldococcus jannaschii DSM 2661					
003	Rattus norvegicus (Norway rat)					
003	Escherichia coli clone D i14					
003	Spiroplasma mirum ATCC 29335					
003	Devosia sp. H5989					
003	Pseudomyrmex gracilis (graceful twig ant)					
003	Candidatus Fukatsuia symbiotica 5D					
003	Moraxella nonliquefaciens FDAARGOS_869					
003	Contarinia nasturtii (swede midge)					
003	Flavobacterium keumense K3R-10					
003	Human T-cell leukemia virus type 1 (HTLV-1)					
004	Synechocystis sp. PCC 6803					
004	Danio rerio (zebrafish)					
004	Escherichia coli clone D i2					
004	Sodalis praecaptivus HS1					
004	Bordetella hinzii F582					
004	Schistosoma haematobium (urinary blood fluke)					
004	Cupriavidus oxalaticus X32					
004	Nocardioides mesophilus KACC 16243					
004	Silurus meridionalis (southern catfish)					
004	Colossoma macropomum (tambaqui)					
004	Hepatitis B virus					
005	Saccharomyces cerevisiae S288c (budding yeast)					
005	Pan troglodytes (chimpanzee)					
005	Ralstonia solanacearum Po82					
005	Thermococcus paralvinellae (Thermococcus sp. ES1)					
005	Edwardsiella sp. LADL05-105					
005	Clostridium formicaceticum ATCC 27076					
005	Antarcticibacterium flavum KCTC 52984					
005	Borrelia maritima CA690					
005	Poecilia latipinna (sailfin molly)					
005	Pseudonaja textilis (eastern brown snake)					
005	Junin virus (Argentinian mammarenavirus)					
006	Mycoplasmoides pneumoniae M129 (Mycoplasma pneumoniae M129)					
006	Gallus gallus (chicken)					
006	Rhodospirillum rubrum F11					
006	Candidatus Sodalis pierantonius SOPE, endosymbiont of Sitophilus oryzae					
006	Pseudomonas trivialis IHBB745					
006	Flavobacterium commune PK15					
006	Salinimonas iocasae KX18D6					
006	Citrifermentans bremense R4					
006	Clostridium manihotivorum CT4					
006	Neodiprion lecontei (redheaded pine sawfly)					
006	Machupo virus (Machupo mammarenavirus)					
007	Escherichia coli K-12 MG1655					
007	Canis lupus familiaris (Canis familiaris) (dog)					
007	Riemerella anatipestifer RA-GD					
007	Desulfurella acetivorans A63					
007	Leptospirillum sp. Group II 'CF-1'					
007	Corynebacterium phocae M408/89/1					
007	Sporosarcina pasteurii BNCC 337394					
007	Corynebacterium suranareeae N24					
007	Mycoplasma miroungigenitalium ES2806-GEN					
007	Labeo rohita (rohu)					
007	Guanarito virus (Guanarito mammarenavirus)					
008	Helicobacter pylori 26695					
008	Bos taurus (cow)					
008	Staphylococcus pseudintermedius ED99					
008	Halostagnicola larsenii XH-48					
008	Mycolicibacterium goodii X7B (Mycobacterium goodii X7B)					
008	Staphylococcus cohnii SNUDS-2					
008	Brachybacterium sp. SGAir0954					
008	Mycolicibacterium psychrotolerans JCM 13323					
008	Prevotella herbatica WR041					
008	Nyctereutes procyonoides (raccoon dog)					
008	Sabia virus (Brazilian mammarenavirus)					
009	Methanothermobacter thermautotrophicus Delta H					
009	Sus scrofa (pig)					
009	Thermus thermophilus JL-18					
009	Rhizobium leguminosarum bv. trifolii WSM1689, endosymbiont of Trifolium uniflorum					
009	Methanothermobacter sp. CaT2					
009	Kitasatospora albolonga YIM 101047					
009	Aureibaculum algae 10Alg115					
009	Rhizobium indicum JKLM12A2					
009	Ignatzschineria rhizosphaerae HR5S32					
009	Balearica regulorum gibbericeps (East African grey crowned-crane)					
009	Tacaribe virus (Tacaribe mammarenavirus)					
010	Bacillus subtilis subsp. subtilis 168					
010	Xenopus laevis (African clawed frog)					
010	Yersinia enterocolitica subsp. palearctica Y11 (serotype:0:3)					
010	Escherichia coli O145:H28 RM13514 (EHEC)					
010	Chondromyces crocatus Cm c5					
010	Mucilaginibacter xinganensis BJC16-A31					
010	Pseudolysobacter antarcticus AQ6-296					
010	Streptomyces griseofuscus DSM 40191					
010	Corynebacterium macginleyi 180208					
010	Trichothermofontia sichuanensis B231					
010	Lassa virus (Lassa mammarenavirus)					
011	Archaeoglobus fulgidus DSM 4304 (VC-16)					
011	Xenopus tropicalis (tropical clawed frog)					
011	Salmonella enterica subsp. enterica serovar Heidelberg B182					
011	Escherichia coli O145:H28 RM13516 (EHEC)					
011	Wenzhouxiangella marina KCTC 42284					
011	Parabacteroides sp. CT06					
011	Physeter macrocephalus (sperm whale) (Physeter catodon)					
011	Streptomyces aquilus GGCR-6					
011	Flavihumibacter rivuli IMCC34838					
011	Halotia branconii CENA392					
011	Crimean-Congo hemorrhagic fever virus (Crimean-Congo hemorrhagic fever orthonairovirus)					
012	Borreliella burgdorferi B31 (Borrelia burgdorferi B31)					
012	Trypanosoma cruzi CL Brener					
012	Serratia sp. AS13					
012	Burkholderia pseudomallei MSHR511					
012	Staphylococcus schleiferi 1360-13					
012	Citrobacter farmeri AUSMDU00008141					
012	Pygoscelis adeliae (Adelie penguin)					
012	Corynebacterium pseudopelargi 812CH					
012	Methanococcoides orientis LMO-1					
012	Comamonas terrigena NBRC 13299					
012	Zaire ebolavirus					
013	Aquifex aeolicus VF5					
013	Trypanosoma brucei brucei TREU927					
013	Shewanella baltica OS117					
013	Salinispira pacifica L21-RPul-D2					
013	Pyrobaculum sp. WP30					
013	Mycolicibacterium neoaurum NRRL B-3805					
013	Lucilia cuprina (Australian sheep blowfly)					
