text	curie	name	predicate	source
Erwinia pyrifoliae Ep1/96	kegg.genome:000	Erwinia pyrifoliae Ep1/96	rdfs:label	kegg.genome
Escherichia coli UM146	kegg.genome:000	Escherichia coli UM146	rdfs:label	kegg.genome
Campylobacter fetus subsp. venerealis cfvi03/293	kegg.genome:000	Campylobacter fetus subsp. venerealis cfvi03/293	rdfs:label	kegg.genome
Anoxybacillus gonensis G2	kegg.genome:000	Anoxybacillus gonensis G2	rdfs:label	kegg.genome
Pogona vitticeps (central bearded dragon)	kegg.genome:000	Pogona vitticeps (central bearded dragon)	rdfs:label	kegg.genome
Endosymbiont of Sipalinus gigas	kegg.genome:000	Endosymbiont of Sipalinus gigas	rdfs:label	kegg.genome
Nocardioides anomalus HKS04	kegg.genome:000	Nocardioides anomalus HKS04	rdfs:label	kegg.genome
Photorhabdus luminescens 0813-124 phase I	kegg.genome:000	Photorhabdus luminescens 0813-124 phase I	rdfs:label	kegg.genome
Sinorhizobium numidicum CIP 109850 (Ensifer numidicus CIP 109850)	kegg.genome:000	Sinorhizobium numidicum CIP 109850 (Ensifer numidicus CIP 109850)	rdfs:label	kegg.genome
Dendrobates tinctorius (dyeing poison frog)	kegg.genome:000	Dendrobates tinctorius (dyeing poison frog)	rdfs:label	kegg.genome
Haemophilus influenzae Rd KW20 (serotype d)	kegg.genome:001	Haemophilus influenzae Rd KW20 (serotype d)	rdfs:label	kegg.genome
Homo sapiens (human)	kegg.genome:001	Homo sapiens (human)	rdfs:label	kegg.genome
Escherichia coli UMNK88 (ETEC, porcine)	kegg.genome:001	Escherichia coli UMNK88 (ETEC, porcine)	rdfs:label	kegg.genome
Thermocrinis ruber DSM 23557	kegg.genome:001	Thermocrinis ruber DSM 23557	rdfs:label	kegg.genome
Octadecabacter temperatus SB1	kegg.genome:001	Octadecabacter temperatus SB1	rdfs:label	kegg.genome
Nitrospira japonica NJ1	kegg.genome:001	Nitrospira japonica NJ1	rdfs:label	kegg.genome
Haemophilus pittmaniae NCTC13334	kegg.genome:001	Haemophilus pittmaniae NCTC13334	rdfs:label	kegg.genome
Nostoc edaphicum CCNP1411	kegg.genome:001	Nostoc edaphicum CCNP1411	rdfs:label	kegg.genome
Leucobacter luti Wa41.01b-2	kegg.genome:001	Leucobacter luti Wa41.01b-2	rdfs:label	kegg.genome
Sinorhizobium garamanticum LMG 24692 (Ensifer garamanticus LMG 24692)	kegg.genome:001	Sinorhizobium garamanticum LMG 24692 (Ensifer garamanticus LMG 24692)	rdfs:label	kegg.genome
