identifier	name	definition	synonyms	alts	parents	species
00	Rice necrosis mosaic virus					
00	Human papillomavirus type 6b					
00	Indian cassava mosaic virus					
00	Heron hepatitis B virus					
00	Dicliptera yellow mottle virus					
00	Getah virus					
00	adeno-associated virus 5					
00	Garlic common latent virus					
00	rat cytomegalovirus strain Maastricht					
00	Epiphyas postvittana nucleopolyhedrovirus					
00	Carrot red leaf virus					
00	Equine rhinitis A virus					
00	Modoc virus					
00	Narcissus latent virus					
000	Erwinia pyrifoliae Ep1/96					
000	Escherichia coli UM146					
000	Campylobacter fetus subsp. venerealis cfvi03/293					
000	Anoxybacillus gonensis G2					
000	Pogona vitticeps (central bearded dragon)					
000	Endosymbiont of Sipalinus gigas					
000	Nocardioides anomalus HKS04					
000	Photorhabdus luminescens 0813-124 phase I					
000	Sinorhizobium numidicum CIP 109850 (Ensifer numidicus CIP 109850)					
0000	Deer mastadenovirus B					
0000	Rose virus A					
0002	Sichuan takin enterovirus					
0002	Raptor adenovirus 1					
0003	Sichuan takin astrovirus					
0003	Pleioblastus mosaic virus					
0004	Skua adenovirus 1					
0004	Alteromonas phage vB_AmaP_AD45-P1					
0006	Duck adenovirus 2					
001	Haemophilus influenzae Rd KW20 (serotype d)					
001	Homo sapiens (human)					
001	Escherichia coli UMNK88 (ETEC, porcine)					
001	Thermocrinis ruber DSM 23557					
001	Octadecabacter temperatus SB1					
001	Nitrospira japonica NJ1					
001	Haemophilus pittmaniae NCTC13334					
001	Nostoc edaphicum CCNP1411					
001	Leucobacter luti Wa41.01b-2					
001	Sinorhizobium garamanticum LMG 24692 (Ensifer garamanticus LMG 24692)					
001	Human immunodeficiency virus 1 (HIV-1)					
001	Tomato leaf curl Java virus					
001	Miniopterus bat coronavirus HKU8					
0016	Xinjiang tick rhabdovirus					
0017	Fadolivirus 1					
0017	Bemisia tabaci arlivirus 1					
0018	Rodent coronavirus					
0018	Bemisia tabaci arlivirus 2					
0019	Shrew coronavirus					
0019	Escherichia phage HZP2					
002	Mycoplasmoides genitalium G37 (Mycoplasma genitalium G37)					
002	Mus musculus (house mouse)					
002	Escherichia coli W					
002	Pseudomonas cichorii JBC1					
002	Methylophilus sp. TWE2					
002	Boleophthalmus pectinirostris (great blue-spotted mudskipper)					
002	Mycoplasmopsis bovirhinis GS01 (Mycoplasma bovirhinis GS01)					
002	Brettanomyces nanus CBS 1945					
002	Porphyromonas endodontalis FDAARGOS_1506					
002	Enterobacter quasiroggenkampii WS12-3					
002	Human immunodeficiency virus 2 (HIV-2)					
0020	Rodent papillomavirus					
0021	Rodent pestivirus					
0021	Escherichia phage ZCEC5					
0023	Pseudomonas phage Psa21					
0024	Fusobacterium phage Fnu1					
0025	Pokeweed mosaic virus					
0026	Ralstonia phage RsoP1EGY					
0027	Erwinia phage Derbicus					
0028	Klebsiella phage vB_Kpn_F48					
0028	Klebsiella phage vB_KpnM_FZ14					
0029	Klebsiella phage vB_KpnS_FZ10					
003	Methanocaldococcus jannaschii DSM 2661					
003	Rattus norvegicus (Norway rat)					
003	Escherichia coli clone D i14					
003	Spiroplasma mirum ATCC 29335					
003	Devosia sp. H5989					
003	Pseudomyrmex gracilis (graceful twig ant)					
003	Candidatus Fukatsuia symbiotica 5D					
003	Moraxella nonliquefaciens FDAARGOS_869					
003	Contarinia nasturtii (swede midge)					
003	Flavobacterium keumense K3R-10					
003	Human T-cell leukemia virus type 1 (HTLV-1)					
003	Gouleako virus					
003	Passiflora chlorosis virus					
0032	Burkholderia phage BcepSaruman					
0033	Cassava green mottle virus					
0033	Burkholderia phage BcepSauron					
0037	Long-fingered bat hepatitis B virus					
0039	Potato virus U					
004	Synechocystis sp. PCC 6803					
004	Danio rerio (zebrafish)					
004	Escherichia coli clone D i2					
004	Sodalis praecaptivus HS1					
004	Bordetella hinzii F582					
004	Schistosoma haematobium (urinary blood fluke)					
004	Cupriavidus oxalaticus X32					
004	Nocardioides mesophilus KACC 16243					
004	Silurus meridionalis (southern catfish)					
004	Colossoma macropomum (tambaqui)					
004	Hepatitis B virus					
004	Sweet potato chlorotic fleck virus					
004	Tomato leaf curl Pakistan alphasatellite					
004	Sulfolobus turreted icosahedral virus 2					
0042	Shigella phage MK-13					
0043	Apis mellifera filamentous virus					
0045	Pseudomonas phage UF_RH1					
0046	Hom-1 vesivirus					
0046	Porcine parvovirus 7					
0046	Ophiovirus freesiae					
005	Saccharomyces cerevisiae S288c (budding yeast)					
005	Pan troglodytes (chimpanzee)					
005	Ralstonia solanacearum Po82					
005	Thermococcus paralvinellae (Thermococcus sp. ES1)					
005	Edwardsiella sp. LADL05-105					
005	Clostridium formicaceticum ATCC 27076					
005	Antarcticibacterium flavum KCTC 52984					
005	Borrelia maritima CA690					
005	Poecilia latipinna (sailfin molly)					
005	Pseudonaja textilis (eastern brown snake)					
005	Argentinian mammarenavirus (Junin virus)					
005	Bromus catharticus striate mosaic virus					
0057	Estero Real virus					
0057	Vibrio phage Aphrodite1					
0058	tottorivirus A1					
006	Mycoplasmoides pneumoniae M129 (Mycoplasma pneumoniae M129)					
006	Gallus gallus (chicken)					
006	Rhodospirillum rubrum F11					
006	Candidatus Sodalis pierantonius SOPE, endosymbiont of Sitophilus oryzae					
006	Pseudomonas trivialis IHBB745					
006	Flavobacterium commune PK15					
