identifier	name	definition	synonyms	alts	parents	species
MIMAT0000001	cel-let-7-5p		cel-let-7			
MIMAT0000002	cel-lin-4-5p		cel-lin-4			
MIMAT0000003	cel-miR-1-3p		cel-miR-1			
MIMAT0000004	cel-miR-2-3p		cel-miR-2			
MIMAT0000005	cel-miR-34-5p		cel-miR-34			
MIMAT0000006	cel-miR-35-3p		cel-miR-35			
MIMAT0000007	cel-miR-36-3p		cel-miR-36			
MIMAT0000008	cel-miR-37-3p		cel-miR-37			
MIMAT0000009	cel-miR-38-3p		cel-miR-38			
MIMAT0000010	cel-miR-39-3p		cel-miR-39			
MIMAT0000011	cel-miR-40-3p		cel-miR-40			
MIMAT0000012	cel-miR-41-3p		cel-miR-41			
MIMAT0000013	cel-miR-42-3p		cel-miR-42			
MIMAT0000014	cel-miR-43-3p		cel-miR-43			
MIMAT0000015	cel-miR-44-3p		cel-miR-44			
MIMAT0000016	cel-miR-45-3p		cel-miR-45			
MIMAT0000017	cel-miR-46-3p		cel-miR-46			
MIMAT0000018	cel-miR-47-3p		cel-miR-47			
MIMAT0000019	cel-miR-48-5p		cel-miR-48			
MIMAT0000020	cel-miR-49-3p		cel-miR-49			
MIMAT0000021	cel-miR-50-5p		cel-miR-50			
MIMAT0000022	cel-miR-51-5p		cel-miR-51			
MIMAT0000023	cel-miR-52-5p		cel-miR-52			
MIMAT0000024	cel-miR-53-5p		cel-miR-53			
MIMAT0000025	cel-miR-54-3p		cel-miR-54			
MIMAT0000026	cel-miR-55-3p		cel-miR-55			
MIMAT0000027	cel-miR-56-5p		cel-miR-56*			
MIMAT0000028	cel-miR-56-3p		cel-miR-56			
MIMAT0000029	cel-miR-57-5p		cel-miR-57			
MIMAT0000030	cel-miR-58a-3p		cel-miR-58-3p			
MIMAT0000031	cel-miR-59-3p		cel-miR-59			
MIMAT0000032	cel-miR-60-3p		cel-miR-60			
MIMAT0000033	cel-miR-61-3p		cel-miR-61			
MIMAT0000034	cel-miR-62					
MIMAT0000035	cel-miR-63-3p		cel-miR-63			
MIMAT0000036	cel-miR-64-5p		cel-miR-64			
MIMAT0000037	cel-miR-65-5p		cel-miR-65			
MIMAT0000038	cel-miR-66-5p		cel-miR-66			
MIMAT0000039	cel-miR-67-3p		cel-miR-67			
MIMAT0000042	cel-miR-70-3p		cel-miR-70			
MIMAT0000043	cel-miR-71-5p		cel-miR-71			
MIMAT0000044	cel-miR-72-5p		cel-miR-72			
MIMAT0000045	cel-miR-73-3p		cel-miR-73			
MIMAT0000046	cel-miR-74-3p		cel-miR-74			
MIMAT0000047	cel-miR-75-3p		cel-miR-75			
MIMAT0000048	cel-miR-76-3p		cel-miR-76			
MIMAT0000049	cel-miR-77-3p		cel-miR-77			
MIMAT0000050	cel-miR-78					
MIMAT0000051	cel-miR-79-3p		cel-miR-79			
MIMAT0000052	cel-miR-80-5p		cel-miR-227			
